collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37045,46.0,21.3,16.6,0,46.6,46.0
2020-08-09,NC,37045,40.9,20.0,14.9,0,41.0,40.9
2020-08-16,NC,37045,38.7,19.7,16.3,0,38.9,38.7
2020-08-23,NC,37045,44.3,22.3,16.1,0.0,44.3,44.3
2020-08-30,NC,37045,28.6,13.6,14.7,0.0,28.6,28.6
2020-09-06,NC,37045,31.0,13.6,19.0,0,31.1,31.0
2020-09-13,NC,37045,32.4,11.0,16.1,0,33.3,32.4
2020-09-20,NC,37045,29.6,11.0,17.1,0,30.4,29.6
2020-09-27,NC,37045,37.7,16.6,17.0,0,39.3,37.7
2020-10-04,NC,37045,44.0,21.6,16.7,0,44.9,44.0
2020-10-11,NC,37045,44.9,24.1,17.3,0,45.9,44.9
2020-10-18,NC,37045,48.4,27.9,17.3,0,49.6,48.4
2020-10-25,NC,37045,45.1,26.4,16.3,0,45.6,45.1
2020-11-01,NC,37045,40.4,24.9,17.3,0,41.0,40.4
2020-11-08,NC,37045,41.4,21.6,17.9,0,42.4,41.4
2020-11-15,NC,37045,42.6,23.7,17.1,0,43.6,42.6
2020-11-22,NC,37045,41.0,28.0,16.6,0,41.4,41.0
2020-11-29,NC,37045,49.6,35.6,17.4,0,50.1,49.6
2020-12-06,NC,37045,59.6,40.4,17.1,0.0,59.6,59.6
2020-12-13,NC,37045,60.9,47.4,17.6,0,61.0,60.9
2020-12-20,NC,37045,64.0,53.9,17.7,0,64.1,64.0
2020-12-27,NC,37045,64.1,51.0,17.0,0,64.4,64.1
2021-01-03,NC,37045,74.0,62.1,17.7,0,74.9,74.0
2021-01-10,NC,37045,76.9,65.9,18.0,0.0,76.9,76.9
2021-01-17,NC,37045,74.0,68.3,18.1,0.0,74.0,74.0
2021-01-24,NC,37045,70.1,63.3,19.3,0,70.3,70.1
2021-01-31,NC,37045,48.1,40.3,18.0,0,48.3,48.1
2021-02-07,NC,37045,34.9,28.6,16.6,0.0,34.9,34.9
2021-02-14,NC,37045,26.1,19.6,16.7,0,26.3,26.1
2021-02-21,NC,37045,23.6,15.1,17.3,0,23.9,23.6
2021-02-28,NC,37045,20.7,15.1,16.1,0,20.9,20.7
2021-03-07,NC,37045,20.0,14.3,17.6,0,20.3,20.0
2021-03-14,NC,37045,15.6,10.0,17.3,0.0,15.6,15.6
2021-03-21,NC,37045,14.3,10.3,16.1,0.0,14.3,14.3
2021-03-28,NC,37045,13.4,9.3,16.4,0.0,13.4,13.4
2021-04-04,NC,37045,12.3,10.6,16.4,0.0,12.3,12.3
2021-04-11,NC,37045,14.6,10.4,17.1,0.0,14.6,14.6
2021-04-18,NC,37045,15.6,13.1,17.4,0.0,15.6,15.6
2021-04-25,NC,37045,12.1,9.9,17.9,0,12.3,12.1
2021-05-02,NC,37045,15.9,14.0,17.3,0,16.1,15.9
2021-05-09,NC,37045,11.3,8.7,17.7,0.0,11.3,11.3
2021-05-16,NC,37045,5.0,0,17.4,0.0,5.0,5.0
2021-05-23,NC,37045,4.1,0,17.3,0.0,4.1,4.1
2021-05-30,NC,37045,0,0,16.0,0.0,0,0.0
2021-06-06,NC,37045,4.9,0,17.3,0.0,4.9,4.9
2021-06-13,NC,37045,0,0,17.3,0.0,0,0.0
2021-06-20,NC,37045,4.9,0,17.7,0.0,4.9,4.9
2021-06-27,NC,37045,5.9,4.6,17.4,0,6.0,5.9
2021-07-04,NC,37045,4.9,0,17.6,0.0,4.9,4.9
2021-07-11,NC,37045,6.3,5.6,17.7,0.0,6.3,6.3
2021-07-18,NC,37045,12.6,11.7,17.3,0.0,12.6,12.6
2021-07-25,NC,37045,11.6,11.1,17.9,0.0,11.6,11.6
2021-08-01,NC,37045,24.0,22.9,18.0,0.0,24.0,24.0
