collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37047,0.0,0.0,5.7,0.0,0.0,0.0
2020-08-09,NC,37047,0.0,0.0,5.3,0.0,0.0,0.0
2020-08-16,NC,37047,0.0,0.0,5.6,0.0,0.0,0.0
2020-08-23,NC,37047,0.0,0.0,5.2,0.0,0.0,0.0
2020-08-30,NC,37047,0.0,0.0,4.7,0.0,0.0,0.0
2020-09-06,NC,37047,0.0,0.0,4.9,0.0,0.0,0.0
2020-09-13,NC,37047,0.0,0.0,5.0,0.0,0.0,0.0
2020-09-20,NC,37047,4.9,4.3,5.7,0.0,4.9,4.9
2020-09-27,NC,37047,5.6,0,4.4,0.0,5.6,5.6
2020-10-04,NC,37047,7.5,5.5,5.8,0.0,7.5,7.5
2020-10-11,NC,37047,10.4,6.7,5.6,0.0,10.4,10.4
2020-10-18,NC,37047,11.0,7.7,5.1,0,11.1,11.0
2020-10-25,NC,37047,9.6,6.9,5.7,0.0,9.6,9.6
2020-11-01,NC,37047,11.7,8.1,5.3,0.0,11.7,11.7
2020-11-08,NC,37047,11.4,7.3,5.6,0.0,11.4,11.4
2020-11-15,NC,37047,10.0,6.6,5.3,0.0,10.0,10.0
2020-11-22,NC,37047,12.3,7.7,5.7,0.0,12.3,12.3
2020-11-29,NC,37047,9.9,5.7,5.4,0.0,9.9,9.9
2020-12-06,NC,37047,11.6,10.3,5.3,0.0,11.6,11.6
2020-12-13,NC,37047,12.1,11.1,5.1,0,12.9,12.1
2020-12-20,NC,37047,10.9,9.4,6.3,0,11.4,10.9
2020-12-27,NC,37047,21.6,21.4,6.1,0,21.7,21.6
2021-01-03,NC,37047,27.1,24.7,7.0,0.0,27.1,27.1
2021-01-10,NC,37047,23.4,22.7,8.4,0.0,23.4,23.4
2021-01-17,NC,37047,23.4,22.0,7.0,0.0,23.4,23.4
2021-01-24,NC,37047,19.4,18.4,9.1,0,19.7,19.4
2021-01-31,NC,37047,19.0,17.3,8.7,0.0,19.0,19.0
2021-02-07,NC,37047,10.6,10.0,8.9,0,10.9,10.6
2021-02-14,NC,37047,14.3,13.9,12.0,0,14.4,14.3
2021-02-21,NC,37047,10.0,9.3,12.3,0.0,10.0,10.0
2021-02-28,NC,37047,5.3,5.3,6.9,0.0,5.3,5.3
2021-03-07,NC,37047,7.0,7.0,7.6,0,7.1,7.0
2021-03-14,NC,37047,5.3,5.3,8.4,0.0,5.3,5.3
2021-03-21,NC,37047,5.1,5.1,8.3,0.0,5.1,5.1
2021-03-28,NC,37047,0,0,7.7,0.0,0,0.0
2021-04-04,NC,37047,0,0,7.6,0.0,0,0.0
2021-04-11,NC,37047,0,0,8.1,0.0,0,0.0
2021-04-18,NC,37047,0,0,7.9,0.0,0,0.0
2021-04-25,NC,37047,0,0,7.0,0.0,0,0.0
2021-05-02,NC,37047,0,0,0,0.0,0,0.0
2021-05-09,NC,37047,0,0,6.7,0.0,0,0.0
2021-05-16,NC,37047,0,0,5.7,0,0,0.0
2021-05-23,NC,37047,0,0,5.4,0.0,0,0.0
2021-05-30,NC,37047,0,0,6.0,0.0,0,0.0
2021-06-06,NC,37047,0,0,5.7,0.0,0,0.0
2021-06-13,NC,37047,0,0,8.0,0.0,0,0.0
2021-06-20,NC,37047,0,0,8.1,0.0,0,0.0
2021-06-27,NC,37047,0,0,5.3,0.0,0,0.0
2021-07-04,NC,37047,0,0,5.4,0.0,0,0.0
2021-07-11,NC,37047,0,0,6.7,0.0,0,0.0
2021-07-18,NC,37047,0,0,6.1,0.0,0,0.0
2021-07-25,NC,37047,10.7,10.7,6.1,0,10.9,10.7
2021-08-01,NC,37047,18.6,18.6,6.6,0.0,18.6,18.6
2021-08-08,NC,37047,24.4,24.4,6.7,0.0,24.4,24.4
2021-08-15,NC,37047,27.6,27.6,6.7,0.0,27.6,27.6
2021-08-22,NC,37047,36.0,36.0,7.9,0.0,36.0,36.0
2021-08-29,NC,37047,41.3,41.3,11.0,0.0,41.3,41.3
2021-09-05,NC,37047,32.4,32.3,10.9,0.0,32.4,32.4
2021-09-12,NC,37047,20.9,20.6,8.4,0.0,20.9,20.9
2021-09-19,NC,37047,17.6,17.6,7.7,0.0,17.6,17.6
2021-09-26,NC,37047,19.9,19.9,8.9,0.0,19.9,19.9
2021-10-03,NC,37047,13.0,13.0,8.0,0.0,13.0,13.0
2021-10-10,NC,37047,9.4,9.4,8.0,0.0,9.4,9.4
2021-10-17,NC,37047,7.4,7.4,7.0,0.0,7.4,7.4
2021-10-24,NC,37047,0,0,5.6,0,0,0.0
2021-10-31,NC,37047,0,0,4.7,0,4.1,0.0
2021-11-07,NC,37047,0,0,0,0.0,0,0.0
2021-11-14,NC,37047,0,0,4.7,0.0,0,0.0
2021-11-21,NC,37047,5.0,5.0,5.3,0.0,5.0,5.0
2021-11-28,NC,37047,0,0,6.9,0.0,0,0.0
2021-12-05,NC,37047,0,0,6.1,0.0,0,0.0
2021-12-12,NC,37047,0,0,5.4,0.0,0,0.0
2021-12-19,NC,37047,4.1,4.1,7.6,0.0,4.1,4.1
2021-12-26,NC,37047,4.4,4.4,4.4,0.0,4.4,4.4
