collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37049,13.0,12.4,15.6,0.0,13.0,13.0
2020-08-09,NC,37049,17.5,17.2,15.7,0.0,17.5,17.5
2020-08-16,NC,37049,16.9,16.9,15.6,0.0,16.9,16.9
2020-08-23,NC,37049,13.6,13.6,11.0,0.0,13.6,13.6
2020-08-30,NC,37049,11.0,11.0,15.7,0.0,11.0,11.0
2020-09-06,NC,37049,12.4,12.1,10.6,0.0,12.4,12.4
2020-09-13,NC,37049,14.7,14.3,15.0,0.0,14.7,14.7
2020-09-20,NC,37049,17.7,17.7,16.3,0.0,17.7,17.7
2020-09-27,NC,37049,20.9,20.9,16.4,0.0,20.9,20.9
2020-10-04,NC,37049,27.0,27.0,17.3,0.0,27.0,27.0
2020-10-11,NC,37049,33.3,33.3,18.7,0,33.4,33.3
2020-10-18,NC,37049,26.9,26.9,18.4,0.0,26.9,26.9
2020-10-25,NC,37049,26.0,26.0,17.6,0.0,26.0,26.0
2020-11-01,NC,37049,18.1,18.1,17.4,0.0,18.1,18.1
2020-11-08,NC,37049,12.6,12.6,15.6,0.0,12.6,12.6
2020-11-15,NC,37049,17.7,17.7,13.1,0.0,17.7,17.7
2020-11-22,NC,37049,22.1,22.1,13.6,0.0,22.1,22.1
2020-11-29,NC,37049,27.1,27.1,15.6,0.0,27.1,27.1
2020-12-06,NC,37049,33.6,33.6,19.6,0.0,33.6,33.6
2020-12-13,NC,37049,34.3,34.3,18.1,0.0,34.3,34.3
2020-12-20,NC,37049,37.1,37.1,17.6,0.0,37.1,37.1
2020-12-27,NC,37049,43.0,43.0,16.6,0.0,43.0,43.0
2021-01-03,NC,37049,51.7,51.7,16.7,0.0,51.7,51.7
2021-01-10,NC,37049,55.3,55.3,13.6,0.0,55.3,55.3
2021-01-17,NC,37049,50.4,50.4,18.1,0.0,50.4,50.4
2021-01-24,NC,37049,39.9,39.9,19.0,0.0,39.9,39.9
2021-01-31,NC,37049,12.0,31.3,16.7,0.0,12.0,12.0
2021-02-07,NC,37049,0.0,30.9,17.0,0.0,0.0,0.0
2021-02-14,NC,37049,0.0,23.4,19.7,0.0,0.0,0.0
2021-02-21,NC,37049,0.0,19.3,15.3,0.0,0.0,0.0
2021-02-28,NC,37049,0.0,24.3,17.7,0.0,0.0,0.0
2021-03-07,NC,37049,0.0,18.3,16.1,0.0,0.0,0.0
2021-03-14,NC,37049,0.0,14.3,15.6,0.0,0.0,0.0
2021-03-21,NC,37049,0.0,14.0,13.1,0.0,0.0,0.0
2021-03-28,NC,37049,0.0,17.3,16.3,0.0,0.0,0.0
2021-04-04,NC,37049,7.3,13.3,11.4,0.0,7.3,7.3
2021-04-11,NC,37049,7.3,7.3,14.6,0.0,7.3,7.3
2021-04-18,NC,37049,9.7,9.7,15.1,0.0,9.7,9.7
2021-04-25,NC,37049,6.4,6.4,15.7,0.0,6.4,6.4
2021-05-02,NC,37049,6.6,6.6,10.9,0.0,6.6,6.6
2021-05-09,NC,37049,9.3,9.3,13.4,0.0,9.3,9.3
2021-05-16,NC,37049,9.9,9.9,17.7,0.0,9.9,9.9
2021-05-23,NC,37049,4.4,4.4,17.1,0.0,4.4,4.4
2021-05-30,NC,37049,5.9,5.9,13.6,0.0,5.9,5.9
2021-06-06,NC,37049,5.3,5.3,13.9,0.0,5.3,5.3
2021-06-13,NC,37049,5.3,5.3,15.7,0.0,5.3,5.3
2021-06-20,NC,37049,5.9,5.9,15.3,0.0,5.9,5.9
2021-06-27,NC,37049,0,0,16.6,0.0,0,0.0
2021-07-04,NC,37049,0,0,10.3,0.0,0,0.0
2021-07-11,NC,37049,0,0,13.1,0.0,0,0.0
2021-07-18,NC,37049,5.0,5.0,8.6,0.0,5.0,5.0
2021-07-25,NC,37049,9.3,9.3,13.0,0.0,9.3,9.3
2021-08-01,NC,37049,14.6,14.6,11.3,0.0,14.6,14.6
2021-08-08,NC,37049,25.9,25.9,16.1,0.0,25.9,25.9
2021-08-15,NC,37049,28.6,28.6,17.1,0.0,28.6,28.6
2021-08-22,NC,37049,29.9,29.7,18.0,0.0,29.9,29.9
2021-08-29,NC,37049,50.4,50.4,15.0,0.0,50.4,50.4
2021-09-05,NC,37049,48.7,48.7,15.6,0.0,48.7,48.7
2021-09-12,NC,37049,50.3,50.3,17.0,0.0,50.3,50.3
2021-09-19,NC,37049,49.3,49.3,18.1,0.0,49.3,49.3
2021-09-26,NC,37049,38.6,38.6,16.4,0.0,38.6,38.6
2021-10-03,NC,37049,35.6,35.6,15.7,0.0,35.6,35.6
2021-10-10,NC,37049,35.0,34.7,16.0,0.0,35.0,35.0
2021-10-17,NC,37049,24.1,24.1,17.4,0.0,24.1,24.1
2021-10-24,NC,37049,17.7,17.7,14.6,0.0,17.7,17.7
2021-10-31,NC,37049,13.7,13.7,16.9,0.0,13.7,13.7
2021-11-07,NC,37049,11.0,11.0,17.0,0.0,11.0,11.0
2021-11-14,NC,37049,8.1,8.1,14.9,0.0,8.1,8.1
2021-11-21,NC,37049,8.6,8.6,14.9,0.0,8.6,8.6
2021-11-28,NC,37049,9.3,9.3,13.6,0.0,9.3,9.3
2021-12-05,NC,37049,11.4,11.4,16.9,0.0,11.4,11.4
2021-12-12,NC,37049,13.7,13.7,16.6,0.0,13.7,13.7
2021-12-19,NC,37049,12.9,12.9,17.6,0.0,12.9,12.9
2021-12-26,NC,37049,16.4,16.4,17.3,0.0,16.4,16.4
