collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37061,5.3,0,6.6,0.0,5.3,5.3
2020-08-09,NC,37061,5.5,0,8.2,0.0,5.5,5.5
2020-08-16,NC,37061,5.1,4.1,6.1,0.0,5.1,5.1
2020-08-23,NC,37061,0,0,7.9,0.0,0,0.0
2020-08-30,NC,37061,0,0,5.9,0.0,0,0.0
2020-09-06,NC,37061,7.7,6.3,8.9,0.0,7.7,7.7
2020-09-13,NC,37061,5.9,4.9,7.9,0.0,5.9,5.9
2020-09-20,NC,37061,6.7,4.6,8.6,0.0,6.7,6.7
2020-09-27,NC,37061,6.3,0,6.3,0,6.4,6.3
2020-10-04,NC,37061,5.7,0,8.0,0.0,5.7,5.7
2020-10-11,NC,37061,7.7,5.6,7.7,0.0,7.7,7.7
2020-10-18,NC,37061,7.6,4.6,8.4,0.0,7.6,7.6
2020-10-25,NC,37061,11.9,6.6,8.1,0.0,11.9,11.9
2020-11-01,NC,37061,9.3,5.7,8.1,0.0,9.3,9.3
2020-11-08,NC,37061,5.7,5.3,8.6,0.0,5.7,5.7
2020-11-15,NC,37061,6.6,5.3,7.7,0.0,6.6,6.6
2020-11-22,NC,37061,9.7,8.9,7.7,0.0,9.7,9.7
2020-11-29,NC,37061,11.0,10.6,8.9,0.0,11.0,11.0
2020-12-06,NC,37061,8.9,8.3,8.6,0.0,8.9,8.9
2020-12-13,NC,37061,13.0,12.6,8.3,0.0,13.0,13.0
2020-12-20,NC,37061,13.0,13.0,8.3,0.0,13.0,13.0
2020-12-27,NC,37061,14.7,14.1,8.1,0.0,14.7,14.7
2021-01-03,NC,37061,17.3,17.1,9.0,0.0,17.3,17.3
2021-01-10,NC,37061,17.7,17.1,8.9,0.0,17.7,17.7
2021-01-17,NC,37061,16.9,15.6,8.9,0.0,16.9,16.9
2021-01-24,NC,37061,11.1,9.7,8.9,0,11.3,11.1
2021-01-31,NC,37061,4.0,0,8.3,0.0,4.0,4.0
2021-02-07,NC,37061,5.1,5.0,8.1,0.0,5.1,5.1
2021-02-14,NC,37061,5.1,4.9,9.0,0.0,5.1,5.1
2021-02-21,NC,37061,0,0,7.0,0.0,0,0.0
2021-02-28,NC,37061,0,0,6.4,0.0,0,0.0
2021-03-07,NC,37061,0,0,5.9,0.0,0,0.0
2021-03-14,NC,37061,0,0,5.7,0.0,0,0.0
2021-03-21,NC,37061,0,0,7.3,0.0,0,0.0
2021-03-28,NC,37061,0,0,7.6,0.0,0,0.0
2021-04-04,NC,37061,0,0,8.6,0.0,0,0.0
2021-04-11,NC,37061,4.3,4.1,8.4,0.0,4.3,4.3
2021-04-18,NC,37061,0,0,7.6,0.0,0,0.0
2021-04-25,NC,37061,5.0,4.7,8.4,0.0,5.0,5.0
2021-05-02,NC,37061,0,0,8.1,0.0,0,0.0
2021-05-09,NC,37061,0,0,5.3,0.0,0,0.0
2021-05-16,NC,37061,0,0,7.4,0.0,0,0.0
2021-05-23,NC,37061,0,0,8.1,0.0,0,0.0
2021-05-30,NC,37061,0,0,7.9,0.0,0,0.0
2021-06-06,NC,37061,0,0,8.3,0.0,0,0.0
2021-06-13,NC,37061,0,0,8.4,0.0,0,0.0
2021-06-20,NC,37061,0,0.0,6.7,0.0,0,0.0
2021-06-27,NC,37061,0,0,6.1,0.0,0,0.0
2021-07-04,NC,37061,0,0,8.6,0,0,0.0
2021-07-11,NC,37061,0,0,8.3,0.0,0,0.0
2021-07-18,NC,37061,0,0,7.6,0.0,0,0.0
2021-07-25,NC,37061,6.4,6.4,8.4,0.0,6.4,6.4
2021-08-01,NC,37061,10.1,10.1,7.7,0,10.4,10.1
2021-08-08,NC,37061,15.1,15.1,8.6,0.0,15.1,15.1
2021-08-15,NC,37061,18.7,18.6,8.9,0.0,18.7,18.7
2021-08-22,NC,37061,17.9,17.9,8.9,0.0,17.9,17.9
2021-08-29,NC,37061,24.4,24.4,9.0,0.0,24.4,24.4
2021-09-05,NC,37061,23.3,23.3,9.0,0.0,23.3,23.3
2021-09-12,NC,37061,23.1,23.1,9.0,0.0,23.1,23.1
2021-09-19,NC,37061,20.1,20.1,8.9,0,20.4,20.1
2021-09-26,NC,37061,18.1,18.1,9.0,0.0,18.1,18.1
2021-10-03,NC,37061,17.1,17.1,8.7,0.0,17.1,17.1
2021-10-10,NC,37061,9.9,9.9,8.9,0,10.0,9.9
2021-10-17,NC,37061,4.9,4.9,8.9,0.0,4.9,4.9
2021-10-24,NC,37061,4.1,4.1,8.7,0.0,4.1,4.1
2021-10-31,NC,37061,4.4,4.4,8.0,0.0,4.4,4.4
2021-11-07,NC,37061,4.1,4.1,8.9,0.0,4.1,4.1
2021-11-14,NC,37061,0,0,8.4,0.0,0,0.0
2021-11-21,NC,37061,0,0,0,0.0,0,0.0
2021-11-28,NC,37061,0,0,5.9,0.0,0,0.0
2021-12-05,NC,37061,0,0,8.7,0.0,0,0.0
2021-12-12,NC,37061,0,0,7.6,0.0,0,0.0
2021-12-19,NC,37061,7.1,7.1,8.1,0.0,7.1,7.1
2021-12-26,NC,37061,7.4,7.4,8.9,0.0,7.4,7.4
