collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37081,88.6,60.0,113.5,0.0,132.1,88.6
2020-08-09,NC,37081,79.0,58.0,115.7,0.0,123.7,79.0
2020-08-16,NC,37081,106.5,80.0,111.3,0.0,166.7,106.5
2020-08-23,NC,37081,109.0,66.5,108.1,0.0,180.7,109.0
2020-08-30,NC,37081,71.7,50.4,106.3,0.0,111.0,71.7
2020-09-06,NC,37081,104.1,62.4,115.19999999999999,0.0,104.80000000000001,104.1
2020-09-13,NC,37081,99.0,61.7,119.2,0.0,99.0,99.0
2020-09-20,NC,37081,102.4,64.89999999999999,121.89999999999999,0.0,102.6,102.4
2020-09-27,NC,37081,111.39999999999999,69.9,122.3,0.0,111.39999999999999,111.39999999999999
2020-10-04,NC,37081,118.7,78.5,115.1,0.0,118.7,118.7
2020-10-11,NC,37081,135.4,87.8,115.39999999999999,0.0,136.1,135.4
2020-10-18,NC,37081,159.9,96.60000000000001,111.30000000000001,0.0,160.9,159.9
2020-10-25,NC,37081,162.20000000000002,99.39999999999999,125.3,0.0,162.3,162.20000000000002
2020-11-01,NC,37081,153.0,92.3,119.1,0.0,153.0,153.0
2020-11-08,NC,37081,190.29999999999998,116.7,121.9,0.0,190.29999999999998,190.29999999999998
2020-11-15,NC,37081,214.7,138.4,119.7,0.0,215.29999999999998,214.7
2020-11-22,NC,37081,231.3,163.4,121.6,0.0,232.20000000000002,231.3
2020-11-29,NC,37081,246.4,173.1,127.4,0.0,247.0,246.4
2020-12-06,NC,37081,290.4,208.7,132.7,0.0,290.4,290.4
2020-12-13,NC,37081,307.59999999999997,231.0,147.5,0.0,307.59999999999997,307.59999999999997
2020-12-20,NC,37081,310.7,240.70000000000002,151.0,0.0,311.0,310.7
2020-12-27,NC,37081,334.5,264.8,140.2,0.0,334.5,334.5
2021-01-03,NC,37081,349.09999999999997,299.3,138.7,0.0,350.8,349.09999999999997
2021-01-10,NC,37081,315.0,297.4,133.79999999999998,0.0,315.4,315.0
2021-01-17,NC,37081,283.0,276.3,125.6,0.0,283.5,283.0
2021-01-24,NC,37081,234.5,229.6,118.19999999999999,0.0,234.5,234.5
2021-01-31,NC,37081,183.20000000000002,179.8,115.6,0.0,183.20000000000002,183.20000000000002
2021-02-07,NC,37081,165.70000000000002,163.60000000000002,117.30000000000001,0.0,165.9,165.70000000000002
2021-02-14,NC,37081,157.7,155.4,123.0,0.0,158.1,157.7
2021-02-21,NC,37081,120.0,117.69999999999999,123.69999999999999,0.0,120.19999999999999,120.0
2021-02-28,NC,37081,100.7,98.9,115.5,0.0,100.7,100.7
2021-03-07,NC,37081,89.69999999999999,88.39999999999999,118.2,0.0,90.0,89.69999999999999
2021-03-14,NC,37081,91.7,90.4,114.1,0.0,91.7,91.7
2021-03-21,NC,37081,75.10000000000001,74.10000000000001,106.80000000000001,0.0,75.10000000000001,75.10000000000001
2021-03-28,NC,37081,74.1,72.3,107.30000000000001,0.0,74.1,74.1
2021-04-04,NC,37081,80.39999999999999,79.3,109.1,0.0,80.7,80.39999999999999
2021-04-11,NC,37081,76.80000000000001,75.7,104.19999999999999,0.0,77.0,76.80000000000001
2021-04-18,NC,37081,72.0,70.4,107.9,0.0,72.2,72.0
2021-04-25,NC,37081,70.7,69.2,106.4,0.0,70.89999999999999,70.7
2021-05-02,NC,37081,67.2,66.0,104.5,0.0,67.3,67.2
2021-05-09,NC,37081,56.300000000000004,55.800000000000004,104.3,0.0,56.300000000000004,56.300000000000004
2021-05-16,NC,37081,52.5,52.3,98.0,0.0,52.5,52.5
2021-05-23,NC,37081,44.0,44.0,110.19999999999999,0.0,45.3,44.0
2021-05-30,NC,37081,35.0,34.8,100.3,0.0,35.3,35.0
2021-06-06,NC,37081,34.6,34.4,104.4,0.0,35.0,34.6
2021-06-13,NC,37081,31.6,31.6,102.19999999999999,0.0,31.6,31.6
2021-06-20,NC,37081,35.0,35.0,100.7,0.0,35.0,35.0
2021-06-27,NC,37081,20.4,20.4,99.39999999999999,0.0,20.4,20.4
2021-07-04,NC,37081,21.3,21.3,94.0,0.0,21.3,21.3
2021-07-11,NC,37081,22.3,22.3,102.80000000000001,0.0,22.3,22.3
2021-07-18,NC,37081,41.8,41.699999999999996,104.69999999999999,0.0,41.8,41.8
2021-07-25,NC,37081,54.400000000000006,54.1,110.0,0.0,54.400000000000006,54.400000000000006
2021-08-01,NC,37081,75.0,74.7,106.5,0.0,75.0,75.0
2021-08-08,NC,37081,113.19999999999999,113.1,113.60000000000001,0.0,113.19999999999999,113.19999999999999
2021-08-15,NC,37081,153.2,153.2,113.80000000000001,0.0,153.2,153.2
2021-08-22,NC,37081,170.0,169.3,112.80000000000001,0.0,170.0,170.0
2021-08-29,NC,37081,176.5,175.3,113.89999999999999,0.0,176.60000000000002,176.5
2021-09-05,NC,37081,176.8,175.2,115.0,0.0,176.8,176.8
2021-09-12,NC,37081,165.7,164.6,113.5,0.0,166.4,165.7
2021-09-19,NC,37081,161.5,161.4,116.69999999999999,0.0,163.4,161.5
2021-09-26,NC,37081,156.4,156.0,116.0,0.0,158.60000000000002,156.4
2021-10-03,NC,37081,134.2,133.0,116.4,0.0,135.8,134.2
2021-10-10,NC,37081,119.4,119.0,113.7,0.0,122.1,119.4
2021-10-17,NC,37081,95.80000000000001,95.5,116.0,0.0,98.80000000000001,95.80000000000001
2021-10-24,NC,37081,78.69999999999999,78.4,111.0,0.0,81.2,78.69999999999999
2021-10-31,NC,37081,65.0,64.9,103.3,0.0,65.8,65.0
2021-11-07,NC,37081,63.5,63.2,110.69999999999999,0.0,64.10000000000001,63.5
2021-11-14,NC,37081,64.8,64.2,109.0,0.0,65.8,64.8
2021-11-21,NC,37081,60.7,60.1,100.30000000000001,0.0,62.7,60.7
2021-11-28,NC,37081,54.3,52.6,110.0,0.0,54.900000000000006,54.3
2021-12-05,NC,37081,81.3,80.4,110.69999999999999,0.0,81.7,81.3
2021-12-12,NC,37081,87.4,87.30000000000001,108.60000000000001,0.0,88.9,87.4
2021-12-19,NC,37081,106.0,103.6,109.0,0.0,106.4,106.0
2021-12-26,NC,37081,123.19999999999999,121.5,104.5,0.0,125.9,123.19999999999999
