collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37083,10.1,10.1,5.3,0.0,10.1,10.1
2020-08-09,NC,37083,7.3,7.3,6.0,0,7.4,7.3
2020-08-16,NC,37083,7.9,7.6,5.3,0.0,7.9,7.9
2020-08-23,NC,37083,6.9,6.9,6.0,0.0,6.9,6.9
2020-08-30,NC,37083,0,0,6.0,0.0,0,0.0
2020-09-06,NC,37083,4.4,4.4,5.1,0.0,4.4,4.4
2020-09-13,NC,37083,4.3,4.3,6.0,0.0,4.3,4.3
2020-09-20,NC,37083,4.3,4.3,4.4,0.0,4.3,4.3
2020-09-27,NC,37083,5.7,5.7,6.0,0.0,5.7,5.7
2020-10-04,NC,37083,0,0,5.3,0.0,0,0.0
2020-10-11,NC,37083,7.3,7.3,4.6,0.0,7.3,7.3
2020-10-18,NC,37083,7.7,7.7,6.0,0.0,7.7,7.7
2020-10-25,NC,37083,10.3,10.3,6.9,0.0,10.3,10.3
2020-11-01,NC,37083,14.0,14.0,6.1,0.0,14.0,14.0
2020-11-08,NC,37083,16.0,16.0,5.6,0.0,16.0,16.0
2020-11-15,NC,37083,15.3,15.3,6.1,0.0,15.3,15.3
2020-11-22,NC,37083,16.7,16.7,5.7,0.0,16.7,16.7
2020-11-29,NC,37083,14.0,14.0,5.3,0.0,14.0,14.0
2020-12-06,NC,37083,12.1,12.1,5.0,0.0,12.1,12.1
2020-12-13,NC,37083,16.1,16.1,5.9,0.0,16.1,16.1
2020-12-20,NC,37083,22.4,22.4,7.4,0.0,22.4,22.4
2020-12-27,NC,37083,19.9,19.9,7.4,0,20.1,19.9
2021-01-03,NC,37083,26.6,26.6,11.6,0.0,26.6,26.6
2021-01-10,NC,37083,29.7,29.7,7.6,0.0,29.7,29.7
2021-01-17,NC,37083,30.6,30.6,10.7,0.0,30.6,30.6
2021-01-24,NC,37083,29.3,29.3,11.1,0.0,29.3,29.3
2021-01-31,NC,37083,16.1,16.1,8.7,0.0,16.1,16.1
2021-02-07,NC,37083,18.9,18.9,8.0,0.0,18.9,18.9
2021-02-14,NC,37083,13.0,13.0,5.9,0.0,13.0,13.0
2021-02-21,NC,37083,7.1,7.1,6.6,0.0,7.1,7.1
2021-02-28,NC,37083,0,0,5.4,0.0,0,0.0
2021-03-07,NC,37083,4.9,4.9,6.3,0.0,4.9,4.9
2021-03-14,NC,37083,0,0,5.7,0.0,0,0.0
2021-03-21,NC,37083,0,0,6.3,0.0,0,0.0
2021-03-28,NC,37083,4.6,4.6,5.3,0.0,4.6,4.6
2021-04-04,NC,37083,6.4,6.4,5.9,0.0,6.4,6.4
2021-04-11,NC,37083,7.7,7.7,5.1,0.0,7.7,7.7
2021-04-18,NC,37083,8.3,8.3,5.6,0.0,8.3,8.3
2021-04-25,NC,37083,7.6,7.6,5.9,0.0,7.6,7.6
2021-05-02,NC,37083,0,0,4.9,0.0,0,0.0
2021-05-09,NC,37083,0,0,5.0,0.0,0,0.0
2021-05-16,NC,37083,0,0,4.6,0.0,0,0.0
2021-05-23,NC,37083,0,0,4.4,0.0,0,0.0
2021-05-30,NC,37083,0,0,0,0.0,0,0.0
2021-06-06,NC,37083,0,0,5.6,0,0,0.0
2021-06-13,NC,37083,0,0,4.6,0.0,0,0.0
2021-06-20,NC,37083,0,0,5.3,0.0,0,0.0
2021-06-27,NC,37083,0,0,6.3,0.0,0,0.0
2021-07-04,NC,37083,0,0,4.7,0.0,0,0.0
2021-07-11,NC,37083,0,0,4.9,0.0,0,0.0
2021-07-18,NC,37083,0,0,4.0,0.0,0,0.0
2021-07-25,NC,37083,4.0,4.0,5.1,0.0,4.0,4.0
2021-08-01,NC,37083,0,0,6.1,0.0,0,0.0
2021-08-08,NC,37083,11.0,11.0,6.0,0.0,11.0,11.0
2021-08-15,NC,37083,9.6,9.6,7.1,0.0,9.6,9.6
2021-08-22,NC,37083,14.1,14.1,6.6,0.0,14.1,14.1
2021-08-29,NC,37083,12.1,12.1,6.4,0.0,12.1,12.1
2021-09-05,NC,37083,11.4,11.4,7.4,0.0,11.4,11.4
2021-09-12,NC,37083,14.0,14.0,6.7,0.0,14.0,14.0
2021-09-19,NC,37083,17.6,17.6,6.6,0.0,17.6,17.6
2021-09-26,NC,37083,14.1,14.1,6.6,0.0,14.1,14.1
2021-10-03,NC,37083,12.4,12.4,6.4,0.0,12.4,12.4
2021-10-10,NC,37083,10.3,10.3,6.9,0.0,10.3,10.3
2021-10-17,NC,37083,9.1,9.1,6.6,0.0,9.1,9.1
2021-10-24,NC,37083,7.9,7.9,5.3,0.0,7.9,7.9
2021-10-31,NC,37083,5.4,5.4,5.7,0.0,5.4,5.4
2021-11-07,NC,37083,0,0,6.0,0.0,0,0.0
2021-11-14,NC,37083,4.1,4.1,5.6,0.0,4.1,4.1
2021-11-21,NC,37083,4.4,4.4,4.7,0.0,4.4,4.4
2021-11-28,NC,37083,4.0,4.0,5.3,0.0,4.0,4.0
2021-12-05,NC,37083,6.9,6.9,6.3,0.0,6.9,6.9
2021-12-12,NC,37083,7.3,7.3,4.6,0.0,7.3,7.3
2021-12-19,NC,37083,5.9,5.9,5.1,0.0,5.9,5.9
2021-12-26,NC,37083,8.4,8.4,5.4,0.0,8.4,8.4
