collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37085,11.4,8.1,8.9,0.0,11.4,11.4
2020-08-09,NC,37085,7.9,5.4,7.4,0.0,7.9,7.9
2020-08-16,NC,37085,13.3,7.3,8.7,0.0,13.3,13.3
2020-08-23,NC,37085,12.4,5.0,8.1,0.0,12.4,12.4
2020-08-30,NC,37085,6.7,0,7.0,0.0,6.7,6.7
2020-09-06,NC,37085,13.6,7.3,9.1,0.0,13.6,13.6
2020-09-13,NC,37085,16.4,8.9,9.1,0,16.6,16.4
2020-09-20,NC,37085,15.4,9.9,9.4,0,15.6,15.4
2020-09-27,NC,37085,23.7,14.0,9.0,0.0,23.7,23.7
2020-10-04,NC,37085,23.6,13.0,10.9,0.0,23.6,23.6
2020-10-11,NC,37085,15.7,9.3,8.9,0,16.1,15.7
2020-10-18,NC,37085,13.0,6.7,7.9,0.0,13.0,13.0
2020-10-25,NC,37085,18.4,10.3,9.1,0,18.6,18.4
2020-11-01,NC,37085,17.0,11.4,9.9,0.0,17.0,17.0
2020-11-08,NC,37085,18.7,10.6,11.0,0.0,18.7,18.7
2020-11-15,NC,37085,24.4,16.4,12.1,0,25.1,24.4
2020-11-22,NC,37085,31.0,17.3,10.7,0,31.7,31.0
2020-11-29,NC,37085,32.3,19.7,10.3,0,32.4,32.3
2020-12-06,NC,37085,39.0,27.9,11.1,0,39.1,39.0
2020-12-13,NC,37085,32.4,23.9,12.7,0.0,32.4,32.4
2020-12-20,NC,37085,35.4,25.1,11.6,0,35.6,35.4
2020-12-27,NC,37085,40.3,28.1,12.7,0,40.4,40.3
2021-01-03,NC,37085,41.0,28.9,13.7,0,41.4,41.0
2021-01-10,NC,37085,39.1,32.1,14.0,0.0,39.1,39.1
2021-01-17,NC,37085,39.1,38.1,14.0,0.0,39.1,39.1
2021-01-24,NC,37085,40.0,39.0,13.4,0,40.1,40.0
2021-01-31,NC,37085,32.6,31.7,13.3,0.0,32.6,32.6
2021-02-07,NC,37085,31.7,31.0,13.3,0,32.0,31.7
2021-02-14,NC,37085,28.7,28.4,13.4,0.0,28.7,28.7
2021-02-21,NC,37085,27.7,27.0,12.4,0.0,27.7,27.7
2021-02-28,NC,37085,21.6,21.1,12.7,0.0,21.6,21.6
2021-03-07,NC,37085,8.4,8.0,11.1,0.0,8.4,8.4
2021-03-14,NC,37085,9.4,9.4,11.9,0.0,9.4,9.4
2021-03-21,NC,37085,10.6,10.6,12.0,0.0,10.6,10.6
2021-03-28,NC,37085,9.1,9.1,11.4,0.0,9.1,9.1
2021-04-04,NC,37085,10.3,10.3,11.1,0.0,10.3,10.3
2021-04-11,NC,37085,10.3,10.3,9.6,0.0,10.3,10.3
2021-04-18,NC,37085,8.6,8.6,12.6,0.0,8.6,8.6
2021-04-25,NC,37085,10.6,10.6,11.0,0.0,10.6,10.6
2021-05-02,NC,37085,9.3,9.3,10.0,0.0,9.3,9.3
2021-05-09,NC,37085,6.0,6.0,8.4,0.0,6.0,6.0
2021-05-16,NC,37085,5.0,5.0,7.4,0.0,5.0,5.0
2021-05-23,NC,37085,0,0,9.4,0.0,0,0.0
2021-05-30,NC,37085,0,0,9.0,0.0,0,0.0
2021-06-06,NC,37085,0,0,9.0,0.0,0,0.0
2021-06-13,NC,37085,0,0,10.6,0.0,0,0.0
2021-06-20,NC,37085,0,0,9.7,0.0,0,0.0
2021-06-27,NC,37085,0,0,9.0,0.0,0,0.0
2021-07-04,NC,37085,0,0,9.4,0.0,0,0.0
2021-07-11,NC,37085,0,0,9.3,0.0,0,0.0
2021-07-18,NC,37085,5.7,5.7,9.7,0.0,5.7,5.7
2021-07-25,NC,37085,8.0,8.0,11.3,0.0,8.0,8.0
2021-08-01,NC,37085,14.6,14.6,11.9,0.0,14.6,14.6
2021-08-08,NC,37085,19.0,19.0,11.1,0.0,19.0,19.0
2021-08-15,NC,37085,18.6,18.6,14.0,0.0,18.6,18.6
2021-08-22,NC,37085,23.3,23.3,14.0,0.0,23.3,23.3
2021-08-29,NC,37085,25.4,25.4,14.0,0.0,25.4,25.4
2021-09-05,NC,37085,29.3,29.1,13.6,0,29.4,29.3
2021-09-12,NC,37085,24.6,24.6,14.0,0.0,24.6,24.6
2021-09-19,NC,37085,21.0,21.0,14.0,0.0,21.0,21.0
2021-09-26,NC,37085,16.0,16.0,13.9,0.0,16.0,16.0
2021-10-03,NC,37085,22.1,22.1,12.7,0.0,22.1,22.1
2021-10-10,NC,37085,17.1,17.1,10.4,0.0,17.1,17.1
2021-10-17,NC,37085,17.7,17.7,11.3,0.0,17.7,17.7
2021-10-24,NC,37085,12.0,12.0,12.3,0.0,12.0,12.0
2021-10-31,NC,37085,10.3,10.3,9.7,0.0,10.3,10.3
2021-11-07,NC,37085,9.7,9.7,10.4,0.0,9.7,9.7
2021-11-14,NC,37085,7.0,7.0,10.0,0.0,7.0,7.0
2021-11-21,NC,37085,7.4,7.4,12.0,0.0,7.4,7.4
2021-11-28,NC,37085,8.1,8.1,11.4,0.0,8.1,8.1
2021-12-05,NC,37085,8.1,8.1,13.6,0.0,8.1,8.1
2021-12-12,NC,37085,8.0,8.0,13.3,0.0,8.0,8.0
2021-12-19,NC,37085,9.9,9.9,10.9,0.0,9.9,9.9
2021-12-26,NC,37085,10.3,10.3,11.7,0.0,10.3,10.3
