collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37087,0.0,0.0,4.4,0.0,0.0,0.0
2020-08-09,NC,37087,0,0,5.7,0.0,0,0.0
2020-08-16,NC,37087,0.0,0.0,4.4,0.0,0.0,0.0
2020-08-23,NC,37087,0,0,5.9,0.0,0,0.0
2020-08-30,NC,37087,0,0,5.7,0.0,0,0.0
2020-09-06,NC,37087,0,0,6.6,0.0,0,0.0
2020-09-13,NC,37087,0,0,4.7,0.0,0,0.0
2020-09-20,NC,37087,4.6,4.1,6.4,0.0,4.6,4.6
2020-09-27,NC,37087,0,0,7.4,0.0,0,0.0
2020-10-04,NC,37087,0,0,7.3,0.0,0,0.0
2020-10-11,NC,37087,0,0,7.9,0.0,0,0.0
2020-10-18,NC,37087,0,0,5.9,0.0,0,0.0
2020-10-25,NC,37087,0,0,8.0,0.0,0,0.0
2020-11-01,NC,37087,0,0,7.0,0.0,0,0.0
2020-11-08,NC,37087,9.0,6.4,6.7,0.0,9.0,9.0
2020-11-15,NC,37087,6.4,5.7,6.3,0.0,6.4,6.4
2020-11-22,NC,37087,9.7,7.6,6.6,0.0,9.7,9.7
2020-11-29,NC,37087,12.9,7.9,7.7,0.0,12.9,12.9
2020-12-06,NC,37087,11.6,11.6,7.1,0.0,11.6,11.6
2020-12-13,NC,37087,6.9,6.9,4.4,0.0,6.9,6.9
2020-12-20,NC,37087,10.7,10.7,5.1,0.0,10.7,10.7
2020-12-27,NC,37087,16.4,16.3,6.0,0.0,16.4,16.4
2021-01-03,NC,37087,24.3,24.3,5.9,0.0,24.3,24.3
2021-01-10,NC,37087,17.0,17.0,7.7,0.0,17.0,17.0
2021-01-17,NC,37087,28.1,19.7,6.6,0.0,28.1,28.1
2021-01-24,NC,37087,15.6,15.4,5.1,0.0,15.6,15.6
2021-01-31,NC,37087,15.0,15.0,4.6,0.0,15.0,15.0
2021-02-07,NC,37087,8.4,8.4,4.7,0.0,8.4,8.4
2021-02-14,NC,37087,9.1,9.1,5.6,0.0,9.1,9.1
2021-02-21,NC,37087,4.9,4.9,4.0,0.0,4.9,4.9
2021-02-28,NC,37087,0,0,5.1,0.0,0,0.0
2021-03-07,NC,37087,0,0,4.9,0.0,0,0.0
2021-03-14,NC,37087,0,0,4.7,0.0,0,0.0
2021-03-21,NC,37087,0,0,4.7,0.0,0,0.0
2021-03-28,NC,37087,6.3,6.3,5.3,0.0,6.3,6.3
2021-04-04,NC,37087,6.1,6.1,0,0.0,6.1,6.1
2021-04-11,NC,37087,6.4,6.4,0,0.0,6.4,6.4
2021-04-18,NC,37087,0,0,4.9,0.0,0,0.0
2021-04-25,NC,37087,0,0,5.7,0.0,0,0.0
2021-05-02,NC,37087,0,0,5.0,0.0,0,0.0
2021-05-09,NC,37087,0,0,6.3,0.0,0,0.0
2021-05-16,NC,37087,0,0,5.3,0.0,0,0.0
2021-05-23,NC,37087,0,0,5.3,0.0,0,0.0
2021-05-30,NC,37087,0,0,5.4,0.0,0,0.0
2021-06-06,NC,37087,0,0,4.0,0.0,0,0.0
2021-06-13,NC,37087,0,0,4.1,0.0,0,0.0
2021-06-20,NC,37087,0,0,6.0,0.0,0,0.0
2021-06-27,NC,37087,0.0,0.0,5.4,0.0,0.0,0.0
2021-07-04,NC,37087,0,0,6.1,0.0,0,0.0
2021-07-11,NC,37087,0,0,6.1,0.0,0,0.0
2021-07-18,NC,37087,0,0,5.0,0.0,0,0.0
2021-07-25,NC,37087,5.7,5.7,7.1,0.0,5.7,5.7
2021-08-01,NC,37087,12.6,12.6,8.0,0.0,12.6,12.6
2021-08-08,NC,37087,15.9,15.9,7.9,0.0,15.9,15.9
2021-08-15,NC,37087,20.4,20.4,7.3,0.0,20.4,20.4
2021-08-22,NC,37087,19.9,19.9,7.1,0.0,19.9,19.9
2021-08-29,NC,37087,22.4,22.4,8.1,0.0,22.4,22.4
2021-09-05,NC,37087,21.1,21.1,8.0,0.0,21.1,21.1
2021-09-12,NC,37087,21.4,21.4,7.9,0.0,21.4,21.4
2021-09-19,NC,37087,17.4,17.4,7.1,0.0,17.4,17.4
2021-09-26,NC,37087,15.9,15.9,7.7,0.0,15.9,15.9
2021-10-03,NC,37087,10.1,10.1,6.4,0.0,10.1,10.1
2021-10-10,NC,37087,14.4,14.4,6.0,0.0,14.4,14.4
2021-10-17,NC,37087,14.0,14.0,8.4,0.0,14.0,14.0
2021-10-24,NC,37087,10.3,10.3,7.6,0.0,10.3,10.3
2021-10-31,NC,37087,8.0,8.0,7.3,0.0,8.0,8.0
2021-11-07,NC,37087,9.3,9.3,6.7,0.0,9.3,9.3
2021-11-14,NC,37087,7.9,7.9,6.0,0.0,7.9,7.9
2021-11-21,NC,37087,12.1,12.1,5.6,0.0,12.1,12.1
2021-11-28,NC,37087,15.4,15.4,8.3,0.0,15.4,15.4
2021-12-05,NC,37087,13.9,13.9,7.0,0.0,13.9,13.9
2021-12-12,NC,37087,11.0,11.0,8.0,0.0,11.0,11.0
2021-12-19,NC,37087,12.1,12.1,8.0,0.0,12.1,12.1
2021-12-26,NC,37087,16.3,16.3,7.4,0.0,16.3,16.3
