collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37089,10.9,4.3,5.3,0.0,10.9,10.9
2020-08-09,NC,37089,8.3,0,7.7,0.0,8.3,8.3
2020-08-16,NC,37089,14.1,5.1,5.7,0.0,14.1,14.1
2020-08-23,NC,37089,13.0,9.0,6.1,0.0,13.0,13.0
2020-08-30,NC,37089,13.1,0,4.9,0.0,13.1,13.1
2020-09-06,NC,37089,8.0,0,11.5,0.0,8.0,8.0
2020-09-13,NC,37089,10.1,5.0,11.3,0.0,10.1,10.1
2020-09-20,NC,37089,11.4,7.0,13.3,0.0,11.4,11.4
2020-09-27,NC,37089,11.9,6.3,8.3,0.0,11.9,11.9
2020-10-04,NC,37089,17.8,4.9,11.0,0.0,17.8,17.8
2020-10-11,NC,37089,22.3,8.4,12.9,0.0,22.3,22.3
2020-10-18,NC,37089,8.1,4.9,12.0,0.0,8.1,8.1
2020-10-25,NC,37089,12.9,5.9,11.600000000000001,0.0,12.9,12.9
2020-11-01,NC,37089,11.600000000000001,4.9,7.3,0.0,11.600000000000001,11.600000000000001
2020-11-08,NC,37089,12.7,6.3,7.0,0.0,12.7,12.7
2020-11-15,NC,37089,6.7,5.7,8.3,0.0,6.7,6.7
2020-11-22,NC,37089,6.1,5.3,11.899999999999999,0.0,6.1,6.1
2020-11-29,NC,37089,8.9,6.6,10.7,0.0,8.9,8.9
2020-12-06,NC,37089,17.5,14.9,14.7,0.0,17.5,17.5
2020-12-13,NC,37089,23.4,21.8,15.0,0.0,23.4,23.4
2020-12-20,NC,37089,43.400000000000006,41.099999999999994,16.4,0.0,43.400000000000006,43.400000000000006
2020-12-27,NC,37089,46.0,42.6,15.0,0.0,46.0,46.0
2021-01-03,NC,37089,48.099999999999994,45.7,14.0,0.0,48.099999999999994,48.099999999999994
2021-01-10,NC,37089,42.1,40.6,12.8,0.0,42.1,42.1
2021-01-17,NC,37089,34.3,32.6,15.9,0.0,34.3,34.3
2021-01-24,NC,37089,32.5,31.200000000000003,14.399999999999999,0.0,32.5,32.5
2021-01-31,NC,37089,21.7,21.2,16.1,0.0,21.7,21.7
2021-02-07,NC,37089,17.799999999999997,16.1,13.6,0.0,17.799999999999997,17.799999999999997
2021-02-14,NC,37089,7.9,7.3,8.7,0.0,7.9,7.9
2021-02-21,NC,37089,5.9,5.4,11.5,0.0,5.9,5.9
2021-02-28,NC,37089,13.1,12.2,5.1,0.0,13.1,13.1
2021-03-07,NC,37089,5.4,4.1,5.1,0.0,5.4,5.4
2021-03-14,NC,37089,0,0,5.7,0.0,0,0.0
2021-03-21,NC,37089,4.1,0,5.9,0.0,4.1,4.1
2021-03-28,NC,37089,6.6,5.6,8.3,0.0,6.6,6.6
2021-04-04,NC,37089,7.0,6.1,10.3,0.0,7.0,7.0
2021-04-11,NC,37089,8.9,8.4,10.0,0.0,8.9,8.9
2021-04-18,NC,37089,10.4,9.6,11.9,0.0,10.4,10.4
2021-04-25,NC,37089,6.7,6.1,9.4,0.0,6.7,6.7
2021-05-02,NC,37089,5.0,4.3,7.1,0.0,5.0,5.0
2021-05-09,NC,37089,0,0,12.1,0.0,0,0.0
2021-05-16,NC,37089,0,0,12.0,0.0,0,0.0
2021-05-23,NC,37089,0,0,13.299999999999999,0.0,0,0.0
2021-05-30,NC,37089,0,0,7.1,0.0,0,0.0
2021-06-06,NC,37089,0,0,9.9,0.0,0,0.0
2021-06-13,NC,37089,0,0,12.5,0.0,0,0.0
2021-06-20,NC,37089,0,0,5.7,0.0,0,0.0
2021-06-27,NC,37089,0,0,8.0,0.0,0,0.0
2021-07-04,NC,37089,0,0,8.9,0.0,0,0.0
2021-07-11,NC,37089,0,0,6.9,0.0,0,0.0
2021-07-18,NC,37089,12.0,11.399999999999999,13.3,0.0,12.0,12.0
2021-07-25,NC,37089,18.0,17.6,10.8,0.0,18.0,18.0
2021-08-01,NC,37089,18.1,17.7,13.4,0.0,18.1,18.1
2021-08-08,NC,37089,23.299999999999997,22.7,12.9,0.0,23.299999999999997,23.299999999999997
2021-08-15,NC,37089,37.8,36.7,14.9,0.0,37.8,37.8
2021-08-22,NC,37089,47.9,46.8,13.899999999999999,0.0,48.0,47.9
2021-08-29,NC,37089,46.3,45.7,13.7,0.0,46.3,46.3
2021-09-05,NC,37089,45.7,44.8,15.8,0.0,45.7,45.7
2021-09-12,NC,37089,44.0,43.0,15.200000000000001,0.0,44.0,44.0
2021-09-19,NC,37089,46.8,45.5,15.399999999999999,0.0,46.8,46.8
2021-09-26,NC,37089,36.3,35.9,16.9,0.0,36.3,36.3
2021-10-03,NC,37089,37.2,36.5,15.0,0.0,37.2,37.2
2021-10-10,NC,37089,28.4,27.3,12.0,0.0,28.4,28.4
