collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37119,231.7,100.9,199.6,13.3,245.4,245.0
2020-08-09,NC,37119,202.39999999999998,98.5,196.60000000000002,13.3,216.1,215.7
2020-08-16,NC,37119,231.89999999999998,133.2,205.2,11.1,243.2,242.99999999999997
2020-08-23,NC,37119,227.7,113.6,204.90000000000003,8.4,236.1,236.1
2020-08-30,NC,37119,175.0,100.19999999999999,211.20000000000002,8.6,184.0,183.6
2020-09-06,NC,37119,210.7,118.3,215.39999999999998,11.9,224.8,222.6
2020-09-13,NC,37119,211.09999999999997,87.9,207.20000000000002,11.9,225.4,222.99999999999997
2020-09-20,NC,37119,175.10000000000002,77.4,212.6,10.3,188.4,185.40000000000003
2020-09-27,NC,37119,187.8,75.3,212.8,11.3,203.0,199.10000000000002
2020-10-04,NC,37119,214.40000000000003,73.8,215.9,11.0,228.4,225.40000000000003
2020-10-11,NC,37119,218.7,91.6,221.5,9.1,231.09999999999997,227.79999999999998
2020-10-18,NC,37119,231.0,105.30000000000001,214.9,11.6,247.10000000000002,242.6
2020-10-25,NC,37119,241.6,122.6,217.8,9.3,254.7,250.9
2020-11-01,NC,37119,260.4,133.5,207.09999999999997,11.3,274.6,271.7
2020-11-08,NC,37119,294.29999999999995,167.20000000000002,210.3,12.1,309.70000000000005,306.4
2020-11-15,NC,37119,313.09999999999997,177.3,208.99999999999997,13.4,330.90000000000003,326.49999999999994
2020-11-22,NC,37119,292.9,192.70000000000002,203.0,6.7,302.90000000000003,299.59999999999997
2020-11-29,NC,37119,344.70000000000005,238.20000000000005,212.50000000000003,8.6,357.1,353.30000000000007
2020-12-06,NC,37119,388.29999999999995,262.0,222.2,9.1,402.8,397.4
2020-12-13,NC,37119,441.0,324.09999999999997,234.1,10.3,454.90000000000003,451.3
2020-12-20,NC,37119,477.2,400.20000000000005,242.5,8.3,486.50000000000006,485.5
2020-12-27,NC,37119,531.8999999999999,454.79999999999995,250.7,9.3,543.2,541.1999999999998
2021-01-03,NC,37119,588.1,513.3000000000001,252.20000000000002,10.7,601.5000000000001,598.8000000000001
2021-01-10,NC,37119,616.1,533.9,243.6,14.4,634.1,630.5
2021-01-17,NC,37119,533.4,464.79999999999995,239.0,10.3,548.6,543.6999999999999
2021-01-24,NC,37119,423.49999999999994,370.0,235.2,18.7,443.5,442.19999999999993
2021-01-31,NC,37119,358.40000000000003,305.29999999999995,237.6,13.9,376.40000000000003,372.3
2021-02-07,NC,37119,311.29999999999995,262.6,230.49999999999997,12.1,326.90000000000003,323.4
2021-02-14,NC,37119,257.2,213.89999999999998,227.60000000000002,11.9,272.5,269.09999999999997
2021-02-21,NC,37119,227.2,177.59999999999997,223.6,6.1,235.4,233.29999999999998
2021-02-28,NC,37119,194.9,156.89999999999998,229.5,8.3,206.49999999999997,203.20000000000002
2021-03-07,NC,37119,154.10000000000002,117.1,224.4,6.6,161.70000000000002,160.70000000000002
2021-03-14,NC,37119,148.2,113.9,218.5,6.3,157.2,154.5
2021-03-21,NC,37119,144.5,106.30000000000001,227.70000000000002,4.1,149.39999999999998,148.6
2021-03-28,NC,37119,141.79999999999998,104.9,230.8,5.6,148.99999999999997,147.39999999999998
2021-04-04,NC,37119,171.79999999999998,136.7,232.00000000000003,5.7,179.6,177.49999999999997
2021-04-11,NC,37119,178.29999999999998,147.29999999999998,225.20000000000005,6.7,188.8,184.99999999999997
2021-04-18,NC,37119,199.2,170.0,230.5,4.9,205.2,204.1
2021-04-25,NC,37119,193.50000000000003,169.5,231.6,7.9,202.69999999999996,201.40000000000003
2021-05-02,NC,37119,178.8,158.2,234.50000000000003,4.0,184.8,182.8
2021-05-09,NC,37119,150.1,129.9,238.09999999999997,4.9,156.20000000000002,155.0
2021-05-16,NC,37119,117.4,101.1,227.1,0.0,122.1,117.4
2021-05-23,NC,37119,92.60000000000001,75.10000000000001,227.8,0.0,96.70000000000002,92.60000000000001
2021-05-30,NC,37119,85.80000000000001,64.2,219.70000000000002,4.0,90.29999999999998,89.80000000000001
2021-06-06,NC,37119,73.3,49.6,228.90000000000003,0.0,77.10000000000001,73.3
2021-06-13,NC,37119,59.9,41.8,229.70000000000002,0.0,64.0,59.9
2021-06-20,NC,37119,46.8,34.0,226.8,0.0,50.199999999999996,46.8
2021-06-27,NC,37119,51.79999999999999,36.4,205.8,0.0,56.0,51.79999999999999
2021-07-04,NC,37119,62.3,42.5,210.29999999999998,0.0,67.9,62.3
2021-07-11,NC,37119,67.39999999999999,53.5,215.29999999999998,0.0,69.7,67.39999999999999
2021-07-18,NC,37119,95.4,81.9,209.5,0.0,98.0,95.4
2021-07-25,NC,37119,165.00000000000003,149.6,226.29999999999998,0.0,169.0,165.00000000000003
2021-08-01,NC,37119,218.29999999999998,195.79999999999998,214.79999999999998,4.4,225.49999999999997,222.7
2021-08-08,NC,37119,347.00000000000006,316.70000000000005,231.0,13.4,363.0,360.40000000000003
2021-08-15,NC,37119,411.79999999999995,376.0,237.90000000000003,14.4,428.7,426.19999999999993
2021-08-22,NC,37119,472.90000000000003,436.00000000000006,236.5,10.0,487.1,482.90000000000003
2021-08-29,NC,37119,474.50000000000006,438.79999999999995,232.99999999999997,24.0,500.29999999999995,498.50000000000006
2021-09-05,NC,37119,445.6,413.7,235.70000000000002,15.7,464.20000000000005,461.3
2021-09-12,NC,37119,420.3999999999999,389.5,241.89999999999998,19.6,443.3,439.99999999999994
2021-09-19,NC,37119,380.6,356.5,238.3,17.6,400.09999999999997,398.20000000000005
2021-09-26,NC,37119,310.6,292.59999999999997,236.7,12.3,327.4,322.90000000000003
2021-10-03,NC,37119,291.6,269.5,233.70000000000002,12.6,308.8,304.20000000000005
2021-10-10,NC,37119,257.20000000000005,236.20000000000002,230.90000000000003,13.5,271.0,270.70000000000005
2021-10-17,NC,37119,210.3,194.6,234.5,9.9,222.20000000000002,220.20000000000002
2021-10-24,NC,37119,172.60000000000002,154.59999999999997,232.8,6.0,180.20000000000002,178.60000000000002
2021-10-31,NC,37119,199.1,175.00000000000003,298.1,13.9,215.20000000000002,213.0
2021-11-07,NC,37119,132.9,112.6,228.2,8.6,143.9,141.5
2021-11-14,NC,37119,137.5,115.80000000000001,231.1,11.4,151.5,148.9
2021-11-21,NC,37119,147.0,133.1,224.39999999999998,9.6,158.6,156.6
2021-11-28,NC,37119,183.1,161.50000000000003,227.5,7.9,192.70000000000002,191.0
