collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37125,23.3,22.3,21.0,0.0,23.3,23.3
2020-08-09,NC,37125,31.8,28.8,31.2,0.0,31.8,31.8
2020-08-16,NC,37125,26.7,25.4,29.6,0.0,26.7,26.7
2020-08-23,NC,37125,33.9,31.7,30.0,0.0,33.9,33.9
2020-08-30,NC,37125,14.4,12.9,32.9,0.0,14.4,14.4
2020-09-06,NC,37125,5.0,4.4,31.6,0.0,5.0,5.0
2020-09-13,NC,37125,5.7,4.4,31.7,0.0,5.7,5.7
2020-09-20,NC,37125,6.3,4.6,28.9,0.0,6.3,6.3
2020-09-27,NC,37125,7.4,5.9,30.1,0,7.6,7.4
2020-10-04,NC,37125,7.1,5.9,31.9,0.0,7.1,7.1
2020-10-11,NC,37125,6.0,5.4,31.7,0.0,6.0,6.0
2020-10-18,NC,37125,7.4,6.6,33.6,0,7.6,7.4
2020-10-25,NC,37125,6.0,5.3,36.3,0.0,6.0,6.0
2020-11-01,NC,37125,4.1,0,31.3,0.0,4.1,4.1
2020-11-08,NC,37125,0,0,32.1,0.0,0,0.0
2020-11-15,NC,37125,5.6,5.3,31.0,0.0,5.6,5.6
2020-11-22,NC,37125,5.4,5.4,30.3,0.0,5.4,5.4
2020-11-29,NC,37125,9.3,8.9,31.3,0.0,9.3,9.3
2020-12-06,NC,37125,9.4,8.9,32.9,0.0,9.4,9.4
2020-12-13,NC,37125,12.7,12.1,35.1,0.0,12.7,12.7
2020-12-20,NC,37125,8.9,8.9,33.1,0.0,8.9,8.9
2020-12-27,NC,37125,13.4,12.9,32.7,0.0,13.4,13.4
2021-01-03,NC,37125,13.4,12.7,35.1,0.0,13.4,13.4
2021-01-10,NC,37125,11.9,11.4,32.6,0.0,11.9,11.9
2021-01-17,NC,37125,11.0,10.9,34.9,0.0,11.0,11.0
2021-01-24,NC,37125,10.1,10.0,36.7,0.0,10.1,10.1
2021-01-31,NC,37125,8.4,7.7,32.7,0.0,8.4,8.4
2021-02-07,NC,37125,5.1,5.0,32.1,0.0,5.1,5.1
2021-02-14,NC,37125,4.9,4.4,32.1,0.0,4.9,4.9
2021-02-21,NC,37125,0,0,27.1,0,0,0.0
2021-02-28,NC,37125,0,0,25.1,0,0,0.0
2021-03-07,NC,37125,0,0,25.3,0.0,0,0.0
2021-03-14,NC,37125,0,0,28.4,0.0,0,0.0
2021-03-21,NC,37125,0,0,28.1,0,0,0.0
2021-03-28,NC,37125,0,0,26.9,0.0,0,0.0
2021-04-04,NC,37125,0,0,26.9,0,0,0.0
2021-04-11,NC,37125,0,0,25.4,0,0,0.0
2021-04-18,NC,37125,4.0,4.0,31.3,0.0,4.0,4.0
2021-04-25,NC,37125,0,0,35.0,0.0,0,0.0
2021-05-02,NC,37125,0,0,36.1,0.0,0,0.0
2021-05-09,NC,37125,0,0,30.6,0.0,0,0.0
2021-05-16,NC,37125,0,0,31.1,0.0,0,0.0
2021-05-23,NC,37125,0,0,31.4,0.0,0,0.0
2021-05-30,NC,37125,0,0,29.4,0.0,0,0.0
2021-06-06,NC,37125,0,0,31.4,0.0,0,0.0
2021-06-13,NC,37125,0,0,31.3,0.0,0,0.0
2021-06-20,NC,37125,0,0,31.6,0.0,0,0.0
2021-06-27,NC,37125,0,0,32.6,0.0,0,0.0
2021-07-04,NC,37125,0,0,29.6,0.0,0,0.0
2021-07-11,NC,37125,0,0,29.3,0.0,0,0.0
2021-07-18,NC,37125,4.6,4.1,28.1,0.0,4.6,4.6
2021-07-25,NC,37125,6.7,6.3,27.6,0.0,6.7,6.7
2021-08-01,NC,37125,9.4,9.4,33.1,0.0,9.4,9.4
2021-08-08,NC,37125,11.7,11.6,33.1,0,12.0,11.7
2021-08-15,NC,37125,13.0,12.6,30.6,0,13.1,13.0
2021-08-22,NC,37125,12.6,12.0,33.1,0.0,12.6,12.6
2021-08-29,NC,37125,11.4,11.0,37.3,0.0,11.4,11.4
2021-09-05,NC,37125,10.7,10.4,35.1,0,11.0,10.7
2021-09-12,NC,37125,46.9,46.1,36.9,0,48.0,46.9
2021-09-19,NC,37125,75.1,74.3,28.9,0.0,75.1,75.1
2021-09-26,NC,37125,69.9,68.6,33.0,0,70.1,69.9
2021-10-03,NC,37125,51.7,51.3,34.0,0.0,51.7,51.7
2021-10-10,NC,37125,47.0,45.3,26.6,0,47.1,47.0
2021-10-17,NC,37125,36.6,36.3,27.1,0,36.7,36.6
2021-10-24,NC,37125,37.6,36.7,29.0,0.0,37.6,37.6
2021-10-31,NC,37125,36.0,35.1,30.3,0.0,36.0,36.0
2021-11-07,NC,37125,35.7,35.3,32.7,0.0,35.7,35.7
2021-11-14,NC,37125,26.4,25.9,32.0,0.0,26.4,26.4
2021-11-21,NC,37125,22.1,20.9,30.7,0,22.3,22.1
2021-11-28,NC,37125,27.9,26.3,30.9,0.0,27.9,27.9
2021-12-05,NC,37125,32.0,31.4,31.6,0,32.3,32.0
2021-12-12,NC,37125,38.9,38.3,35.0,0.0,38.9,38.9
2021-12-19,NC,37125,39.9,38.6,27.4,0.0,39.9,39.9
2021-12-26,NC,37125,50.1,48.7,36.1,0.0,50.1,50.1
