collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37133,5.4,0,6.3,0.0,5.4,5.4
2020-08-09,NC,37133,6.4,0,9.0,0.0,6.4,6.4
2020-08-16,NC,37133,5.4,0.0,7.0,0.0,5.4,5.4
2020-08-23,NC,37133,7.3,0,10.1,0,7.6,7.3
2020-08-30,NC,37133,16.0,10.0,8.2,0.0,16.0,16.0
2020-09-06,NC,37133,12.8,9.2,7.8,0,13.0,12.8
2020-09-13,NC,37133,11.3,8.0,5.9,0.0,11.3,11.3
2020-09-20,NC,37133,6.4,0,7.4,0,9.4,6.4
2020-09-27,NC,37133,10.0,5.3,7.6,0,10.1,10.0
2020-10-04,NC,37133,7.9,0,7.7,0.0,7.9,7.9
2020-10-11,NC,37133,14.7,11.2,7.0,0,14.8,14.7
2020-10-18,NC,37133,7.9,7.9,6.6,0.0,7.9,7.9
2020-10-25,NC,37133,12.4,6.7,6.3,0.0,12.4,12.4
2020-11-01,NC,37133,12.3,5.6,5.6,0.0,12.3,12.3
2020-11-08,NC,37133,13.7,6.6,8.1,0.0,13.7,13.7
2020-11-15,NC,37133,22.9,16.0,11.1,0.0,22.9,22.9
2020-11-22,NC,37133,26.9,23.1,10.3,0.0,26.9,26.9
2020-11-29,NC,37133,26.9,24.7,7.0,0.0,26.9,26.9
2020-12-06,NC,37133,23.0,23.0,6.7,0,23.1,23.0
2020-12-13,NC,37133,19.9,19.9,9.3,0.0,19.9,19.9
2020-12-20,NC,37133,32.3,27.4,11.0,0.0,32.3,32.3
2020-12-27,NC,37133,34.3,34.3,12.0,0.0,34.3,34.3
2021-01-03,NC,37133,38.0,38.0,11.9,0.0,38.0,38.0
2021-01-10,NC,37133,37.6,37.6,11.7,0.0,37.6,37.6
2021-01-17,NC,37133,28.0,28.0,11.3,0.0,28.0,28.0
2021-01-24,NC,37133,26.0,25.9,8.3,0.0,26.0,26.0
2021-01-31,NC,37133,21.3,21.3,11.3,0.0,21.3,21.3
2021-02-07,NC,37133,12.7,12.7,6.6,0.0,12.7,12.7
2021-02-14,NC,37133,7.7,7.7,7.7,0.0,7.7,7.7
2021-02-21,NC,37133,5.4,5.4,8.1,0.0,5.4,5.4
2021-02-28,NC,37133,6.9,6.9,8.4,0.0,6.9,6.9
2021-03-07,NC,37133,4.7,4.6,0,0.0,4.7,4.7
2021-03-14,NC,37133,0,0,0,0.0,0,0.0
2021-03-21,NC,37133,0,0,5.4,0.0,0,0.0
2021-03-28,NC,37133,0,0,6.4,0.0,0,0.0
2021-04-04,NC,37133,5.0,4.7,5.0,0.0,5.0,5.0
2021-04-11,NC,37133,5.6,5.4,0,0.0,5.6,5.6
2021-04-18,NC,37133,8.0,8.0,4.9,0.0,8.0,8.0
2021-04-25,NC,37133,5.3,5.3,0,0.0,5.3,5.3
2021-05-02,NC,37133,4.7,4.7,4.4,0.0,4.7,4.7
2021-05-09,NC,37133,5.4,5.4,4.6,0,5.7,5.4
2021-05-16,NC,37133,7.3,7.1,5.9,0.0,7.3,7.3
2021-05-23,NC,37133,6.7,6.7,9.0,0.0,6.7,6.7
2021-05-30,NC,37133,7.3,7.3,7.4,0.0,7.3,7.3
2021-06-06,NC,37133,8.1,8.1,9.1,0.0,8.1,8.1
2021-06-13,NC,37133,8.3,8.3,8.1,0.0,8.3,8.3
2021-06-20,NC,37133,4.7,4.7,8.4,0.0,4.7,4.7
2021-06-27,NC,37133,0,0,7.0,0.0,0,0.0
2021-07-04,NC,37133,0,0,7.0,0.0,0,0.0
2021-07-11,NC,37133,7.3,7.3,9.3,0.0,7.3,7.3
2021-07-18,NC,37133,8.9,8.9,8.1,0.0,8.9,8.9
2021-07-25,NC,37133,10.7,10.7,5.3,0.0,10.7,10.7
2021-08-01,NC,37133,21.6,21.6,8.1,0.0,21.6,21.6
2021-08-08,NC,37133,28.3,28.3,10.9,0.0,28.3,28.3
2021-08-15,NC,37133,37.1,37.1,11.4,0,37.3,37.1
2021-08-22,NC,37133,47.3,47.3,11.3,0,47.9,47.3
2021-08-29,NC,37133,48.4,48.4,11.9,0,48.6,48.4
2021-09-05,NC,37133,41.9,41.9,11.1,0,42.4,41.9
2021-09-12,NC,37133,24.9,24.9,11.4,0.0,24.9,24.9
2021-09-19,NC,37133,36.0,36.0,11.9,0,36.1,36.0
2021-09-26,NC,37133,33.1,33.1,11.3,0,33.4,33.1
2021-10-03,NC,37133,29.3,29.3,11.7,0,29.4,29.3
2021-10-10,NC,37133,24.3,24.3,10.9,0.0,24.3,24.3
2021-10-17,NC,37133,19.0,19.0,11.3,0.0,19.0,19.0
2021-10-24,NC,37133,16.3,16.3,10.7,0.0,16.3,16.3
2021-10-31,NC,37133,6.4,6.4,10.3,0.0,6.4,6.4
2021-11-07,NC,37133,9.3,9.3,10.6,0.0,9.3,9.3
2021-11-14,NC,37133,5.4,5.4,10.3,0.0,5.4,5.4
2021-11-21,NC,37133,5.6,5.6,7.9,0.0,5.6,5.6
2021-11-28,NC,37133,6.7,6.7,7.0,0.0,6.7,6.7
2021-12-05,NC,37133,6.4,6.4,6.7,0.0,6.4,6.4
2021-12-12,NC,37133,8.7,8.7,9.1,0,9.0,8.7
2021-12-19,NC,37133,0,0,8.0,0.0,0,0.0
2021-12-26,NC,37133,9.1,9.1,7.9,0,9.4,9.1
