collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37135,57.1,35.7,110.1,0.0,57.1,57.1
2020-08-09,NC,37135,49.0,29.9,106.5,0.0,49.0,49.0
2020-08-16,NC,37135,46.7,30.1,112.4,0.0,46.7,46.7
2020-08-23,NC,37135,39.4,23.6,112.0,0,41.3,39.4
2020-08-30,NC,37135,39.7,25.0,119.1,5.0,44.7,44.7
2020-09-06,NC,37135,34.0,21.7,117.4,4.3,38.3,38.3
2020-09-13,NC,37135,36.1,22.4,115.9,0,38.6,36.1
2020-09-20,NC,37135,30.7,20.1,117.0,0,33.1,30.7
2020-09-27,NC,37135,32.1,20.1,115.9,0,35.0,32.1
2020-10-04,NC,37135,36.6,21.4,115.1,0,39.7,36.6
2020-10-11,NC,37135,30.4,25.0,116.0,0,32.4,30.4
2020-10-18,NC,37135,26.0,24.4,117.1,0,27.1,26.0
2020-10-25,NC,37135,27.3,25.0,113.7,0,28.4,27.3
2020-11-01,NC,37135,24.4,22.4,115.6,0,26.4,24.4
2020-11-08,NC,37135,32.3,30.4,114.3,0,34.4,32.3
2020-11-15,NC,37135,43.9,42.3,112.3,0,44.7,43.9
2020-11-22,NC,37135,44.7,42.6,109.3,0,46.0,44.7
2020-11-29,NC,37135,49.7,48.6,112.0,0,50.3,49.7
2020-12-06,NC,37135,55.7,52.4,115.3,0,56.9,55.7
2020-12-13,NC,37135,61.9,58.9,114.3,0,62.9,61.9
2020-12-20,NC,37135,73.4,71.6,113.7,0,75.9,73.4
2020-12-27,NC,37135,79.4,76.6,115.0,0,82.0,79.4
2021-01-03,NC,37135,95.3,92.6,119.0,4.0,99.3,99.3
2021-01-10,NC,37135,102.7,98.9,122.0,0,105.6,102.7
2021-01-17,NC,37135,90.3,88.6,119.9,0,94.0,90.3
2021-01-24,NC,37135,88.4,85.3,118.6,0,92.3,88.4
2021-01-31,NC,37135,80.6,79.0,112.1,0,83.3,80.6
2021-02-07,NC,37135,75.4,73.9,114.0,0,78.0,75.4
2021-02-14,NC,37135,57.4,56.6,108.9,0,59.3,57.4
2021-02-21,NC,37135,47.6,46.0,114.7,0,50.4,47.6
2021-02-28,NC,37135,45.4,43.9,112.4,0,48.0,45.4
2021-03-07,NC,37135,40.0,38.7,115.3,0,42.1,40.0
2021-03-14,NC,37135,36.4,35.0,111.6,0,39.7,36.4
2021-03-21,NC,37135,32.7,30.7,112.4,4.4,37.1,37.1
2021-03-28,NC,37135,36.3,34.6,110.9,0,39.0,36.3
2021-04-04,NC,37135,36.6,35.0,115.7,0,40.0,36.6
2021-04-11,NC,37135,40.4,38.1,121.4,0,43.9,40.4
2021-04-18,NC,37135,46.0,43.7,118.7,0,48.0,46.0
2021-04-25,NC,37135,39.1,38.1,116.7,0,41.1,39.1
2021-05-02,NC,37135,43.6,41.9,119.1,0,45.3,43.6
2021-05-09,NC,37135,43.3,42.3,118.6,0,46.3,43.3
2021-05-16,NC,37135,26.6,25.9,113.0,0,28.6,26.6
2021-05-23,NC,37135,19.3,18.1,113.6,0,20.9,19.3
2021-05-30,NC,37135,16.0,15.0,113.1,0,17.1,16.0
2021-06-06,NC,37135,16.4,16.1,114.3,0,16.9,16.4
2021-06-13,NC,37135,16.1,15.1,113.0,0,16.4,16.1
2021-06-20,NC,37135,13.7,13.4,109.1,0,14.3,13.7
2021-06-27,NC,37135,16.7,15.4,110.3,0,17.0,16.7
2021-07-04,NC,37135,16.9,16.1,114.1,0,18.6,16.9
2021-07-11,NC,37135,21.9,19.7,113.3,0,22.9,21.9
2021-07-18,NC,37135,30.3,28.1,116.1,0,32.1,30.3
2021-07-25,NC,37135,31.1,30.4,118.9,0,33.1,31.1
2021-08-01,NC,37135,40.3,38.0,118.3,0,41.0,40.3
2021-08-08,NC,37135,53.9,52.7,119.0,0,57.0,53.9
2021-08-15,NC,37135,62.4,60.1,117.9,5.7,68.1,68.1
2021-08-22,NC,37135,75.7,74.0,124.7,4.0,79.7,79.7
2021-08-29,NC,37135,81.7,79.7,119.3,6.7,88.4,88.4
2021-09-05,NC,37135,82.3,79.9,121.1,10.6,92.9,92.89999999999999
2021-09-12,NC,37135,69.6,68.4,117.1,10.3,79.9,79.89999999999999
2021-09-19,NC,37135,76.9,75.4,123.4,11.7,88.6,88.60000000000001
2021-09-26,NC,37135,83.9,82.1,122.4,10.1,94.0,94.0
2021-10-03,NC,37135,72.0,70.4,121.0,10.1,82.1,82.1
2021-10-10,NC,37135,60.6,59.4,121.4,5.3,65.9,65.9
2021-10-17,NC,37135,61.7,59.6,121.0,4.9,66.6,66.60000000000001
2021-10-24,NC,37135,47.4,46.3,120.0,0,51.3,47.4
2021-10-31,NC,37135,43.1,41.4,116.7,0,44.9,43.1
2021-11-07,NC,37135,42.7,39.7,122.0,0,44.3,42.7
2021-11-14,NC,37135,38.0,37.1,120.4,0,39.9,38.0
2021-11-21,NC,37135,37.0,35.6,107.0,0,38.3,37.0
2021-11-28,NC,37135,41.0,39.7,117.7,0,42.3,41.0
2021-12-05,NC,37135,41.0,38.9,114.6,0,43.4,41.0
2021-12-12,NC,37135,46.7,45.1,120.0,0,50.3,46.7
2021-12-19,NC,37135,48.4,46.4,117.0,0,50.6,48.4
2021-12-26,NC,37135,74.6,73.1,115.4,4.1,78.7,78.69999999999999
