collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37183,133.10000000000002,113.7,221.1,0.0,133.10000000000002,133.10000000000002
2020-08-09,NC,37183,122.0,103.89999999999999,232.60000000000002,0.0,122.0,122.0
2020-08-16,NC,37183,102.2,82.0,219.99999999999997,0.0,102.2,102.2
2020-08-23,NC,37183,85.0,66.80000000000001,224.5,0.0,85.1,85.0
2020-08-30,NC,37183,86.6,68.8,222.10000000000002,0.0,87.0,86.6
2020-09-06,NC,37183,76.1,62.199999999999996,219.5,0.0,76.30000000000001,76.1
2020-09-13,NC,37183,80.6,63.7,228.60000000000002,0.0,80.8,80.6
2020-09-20,NC,37183,68.5,51.599999999999994,229.5,0.0,70.19999999999999,68.5
2020-09-27,NC,37183,67.7,46.3,234.0,0.0,69.69999999999999,67.7
2020-10-04,NC,37183,57.4,43.6,228.89999999999998,0.0,59.9,57.4
2020-10-11,NC,37183,69.0,53.7,224.2,0.0,69.9,69.0
2020-10-18,NC,37183,67.9,63.6,229.89999999999998,0.0,68.6,67.9
2020-10-25,NC,37183,74.4,71.60000000000001,227.60000000000002,0.0,74.6,74.4
2020-11-01,NC,37183,69.6,65.6,219.6,0.0,71.1,69.6
2020-11-08,NC,37183,84.9,81.7,227.8,0.0,88.0,84.9
2020-11-15,NC,37183,110.2,105.7,228.1,0.0,113.30000000000001,110.2
2020-11-22,NC,37183,134.3,125.80000000000001,235.90000000000003,0.0,137.6,134.3
2020-11-29,NC,37183,162.6,152.3,239.1,0.0,164.4,162.6
2020-12-06,NC,37183,198.10000000000002,191.10000000000002,244.0,0.0,199.60000000000002,198.10000000000002
2020-12-13,NC,37183,211.60000000000002,202.29999999999998,240.50000000000003,0.0,212.8,211.60000000000002
2020-12-20,NC,37183,232.29999999999998,219.0,222.0,0.0,233.1,232.29999999999998
2020-12-27,NC,37183,269.1,253.5,230.0,0.0,271.4,269.1
2021-01-03,NC,37183,283.3,267.9,237.7,0.0,285.20000000000005,283.3
2021-01-10,NC,37183,291.5,273.9,234.79999999999998,0.0,292.5,291.5
2021-01-17,NC,37183,296.9,280.29999999999995,246.2,0.0,297.5,296.9
2021-01-24,NC,37183,262.40000000000003,251.5,240.7,0.0,264.20000000000005,262.40000000000003
2021-01-31,NC,37183,218.20000000000002,211.0,241.2,0.0,220.70000000000002,218.20000000000002
2021-02-07,NC,37183,167.6,161.2,239.5,0.0,168.3,167.6
2021-02-14,NC,37183,132.1,126.9,232.60000000000002,0.0,133.4,132.1
2021-02-21,NC,37183,108.80000000000001,104.0,239.90000000000003,0.0,111.30000000000001,108.80000000000001
2021-02-28,NC,37183,102.4,98.1,239.3,0.0,104.69999999999999,102.4
2021-03-07,NC,37183,80.9,79.0,237.3,4.1,85.1,85.0
2021-03-14,NC,37183,87.1,82.9,234.3,0.0,90.4,87.1
2021-03-21,NC,37183,103.9,99.80000000000001,235.4,0.0,106.7,103.9
2021-03-28,NC,37183,98.1,95.0,230.49999999999997,0.0,102.0,98.1
2021-04-04,NC,37183,94.6,89.6,233.50000000000003,0.0,96.3,94.6
2021-04-11,NC,37183,88.80000000000001,84.0,247.09999999999997,0.0,90.60000000000001,88.80000000000001
2021-04-18,NC,37183,100.6,94.0,243.9,0.0,102.4,100.6
2021-04-25,NC,37183,95.19999999999999,87.19999999999999,246.39999999999998,0.0,97.69999999999999,95.19999999999999
2021-05-02,NC,37183,89.4,86.0,248.4,0.0,92.6,89.4
2021-05-09,NC,37183,77.0,74.4,237.70000000000002,0.0,79.80000000000001,77.0
2021-05-16,NC,37183,68.5,65.9,256.1,0.0,70.30000000000001,68.5
2021-05-23,NC,37183,69.4,65.69999999999999,248.5,0.0,71.0,69.4
2021-05-30,NC,37183,47.2,44.199999999999996,239.3,0.0,48.5,47.2
2021-06-06,NC,37183,43.3,39.0,240.5,0.0,44.0,43.3
2021-06-13,NC,37183,28.4,26.9,236.8,0.0,29.1,28.4
2021-06-20,NC,37183,21.8,21.1,238.30000000000004,0.0,22.6,21.8
2021-06-27,NC,37183,19.4,18.2,240.9,0.0,20.0,19.4
2021-07-04,NC,37183,31.1,29.3,241.59999999999997,0.0,32.3,31.1
2021-07-11,NC,37183,47.6,44.900000000000006,233.6,0.0,48.1,47.6
2021-07-18,NC,37183,59.9,56.8,225.2,0.0,60.4,59.9
2021-07-25,NC,37183,81.2,76.5,224.5,0.0,82.4,81.2
2021-08-01,NC,37183,128.1,123.9,225.7,4.3,132.4,132.4
2021-08-08,NC,37183,168.3,162.2,231.39999999999998,0.0,172.0,168.3
2021-08-15,NC,37183,219.70000000000002,209.9,237.8,0.0,221.9,219.70000000000002
2021-08-22,NC,37183,271.9,265.5,247.4,0.0,274.1,271.9
2021-08-29,NC,37183,272.3,265.5,250.3,0.0,275.6,272.3
2021-09-05,NC,37183,268.1,258.79999999999995,259.40000000000003,0.0,271.0,268.1
2021-09-12,NC,37183,255.10000000000002,248.8,257.9,0.0,257.1,255.10000000000002
2021-09-19,NC,37183,240.9,237.4,246.8,0.0,243.7,240.9
2021-09-26,NC,37183,195.3,191.3,238.0,4.0,199.5,199.3
2021-10-03,NC,37183,169.1,164.3,236.6,4.1,173.89999999999998,173.2
2021-10-10,NC,37183,149.5,145.39999999999998,228.50000000000003,0.0,153.0,149.5
2021-10-17,NC,37183,130.4,128.2,168.9,0.0,132.6,130.4
2021-10-24,NC,37183,100.30000000000001,97.80000000000001,146.10000000000002,0.0,102.30000000000001,100.30000000000001
2021-10-31,NC,37183,87.6,84.4,143.7,0.0,89.4,87.6
2021-11-07,NC,37183,84.0,80.7,144.8,0.0,87.0,84.0
2021-11-14,NC,37183,74.2,72.3,146.2,0.0,76.30000000000001,74.2
2021-11-21,NC,37183,69.0,65.19999999999999,143.3,0.0,71.9,69.0
2021-11-28,NC,37183,74.0,70.4,150.1,0.0,77.80000000000001,74.0
2021-12-05,NC,37183,98.1,94.1,155.4,0.0,101.1,98.1
2021-12-12,NC,37183,112.2,106.9,154.8,0.0,115.0,112.2
2021-12-19,NC,37183,119.89999999999999,113.80000000000001,145.5,0.0,122.89999999999999,119.89999999999999
2021-12-26,NC,37183,157.9,151.3,147.39999999999998,4.7,162.89999999999998,162.6
