collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,ND,38015,39.8,32.3,18.4,0,40.7,39.8
2020-08-09,ND,38015,44.0,36.1,20.0,0,44.900000000000006,44.0
2020-08-16,ND,38015,34.1,28.200000000000003,17.7,4.0,38.400000000000006,38.1
2020-08-23,ND,38015,46.2,39.5,19.299999999999997,0.0,46.6,46.2
2020-08-30,ND,38015,49.7,42.9,20.200000000000003,0,50.9,49.7
2020-09-06,ND,38015,52.3,45.3,20.4,0,54.400000000000006,52.3
2020-09-13,ND,38015,53.599999999999994,46.0,13.6,0.0,54.099999999999994,53.599999999999994
2020-09-20,ND,38015,61.2,54.8,19.4,0,63.7,61.2
2020-09-27,ND,38015,65.19999999999999,58.7,19.1,0,67.4,65.19999999999999
2020-10-04,ND,38015,63.300000000000004,58.0,20.0,0,66.3,63.300000000000004
2020-10-11,ND,38015,66.1,59.5,23.6,0.0,67.69999999999999,66.1
2020-10-18,ND,38015,71.9,66.3,21.9,0.0,72.3,71.9
2020-10-25,ND,38015,86.7,83.30000000000001,19.5,0.0,86.7,86.7
2020-11-01,ND,38015,96.69999999999999,84.6,20.1,0,95.6,96.69999999999999
2020-11-08,ND,38015,110.4,92.1,20.6,0.0,110.8,110.4
2020-11-15,ND,38015,106.19999999999999,90.8,20.5,0.0,106.6,106.19999999999999
2020-11-22,ND,38015,111.30000000000001,96.4,19.2,0.0,111.5,111.30000000000001
2020-11-29,ND,38015,105.0,90.80000000000001,21.0,0.0,106.1,105.0
2020-12-06,ND,38015,113.4,95.4,19.0,0.0,115.3,113.4
2020-12-13,ND,38015,92.8,77.9,16.700000000000003,0.0,93.5,92.8
2020-12-20,ND,38015,77.0,60.5,26.0,0,79.2,77.0
2020-12-27,ND,38015,71.9,56.0,22.799999999999997,0.0,72.5,71.9
2021-01-03,ND,38015,57.400000000000006,44.7,20.400000000000002,0.0,57.7,57.400000000000006
2021-01-10,ND,38015,42.7,30.099999999999998,17.9,0,44.3,42.7
2021-01-17,ND,38015,39.3,25.799999999999997,21.6,0,44.0,39.3
2021-01-24,ND,38015,33.5,21.9,20.700000000000003,0,35.0,33.5
2021-01-31,ND,38015,36.8,20.0,12.4,0.0,38.9,36.8
2021-02-07,ND,38015,38.3,21.1,14.3,0,40.0,38.3
2021-02-14,ND,38015,31.900000000000002,20.9,16.6,0.0,34.3,31.900000000000002
2021-02-21,ND,38015,21.9,15.0,17.9,0.0,23.1,21.9
2021-02-28,ND,38015,20.4,10.4,18.4,0.0,21.7,20.4
2021-03-07,ND,38015,12.3,0,13.3,0.0,13.3,12.3
2021-03-14,ND,38015,14.0,4.1,14.4,0.0,14.9,14.0
2021-03-21,ND,38015,13.6,4.7,12.9,0.0,13.9,13.6
2021-03-28,ND,38015,13.9,6.0,16.2,0.0,15.0,13.9
2021-04-04,ND,38015,21.8,13.100000000000001,15.7,0.0,23.7,21.8
2021-04-11,ND,38015,29.6,17.8,19.1,0.0,30.6,29.6
2021-04-18,ND,38015,30.3,14.899999999999999,18.3,0.0,31.6,30.3
2021-04-25,ND,38015,23.799999999999997,13.8,19.6,0,26.4,23.799999999999997
2021-05-02,ND,38015,29.299999999999997,18.9,20.2,0.0,31.200000000000003,29.299999999999997
2021-05-09,ND,38015,29.2,14.899999999999999,14.7,0,33.300000000000004,29.2
2021-05-16,ND,38015,30.5,15.2,19.7,0,31.799999999999997,30.5
2021-05-23,ND,38015,25.9,17.0,19.8,0,28.400000000000002,25.9
2021-05-30,ND,38015,22.200000000000003,15.1,17.2,0,24.0,22.200000000000003
2021-06-06,ND,38015,17.7,10.0,19.2,0.0,18.1,17.7
