collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-09,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-16,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-23,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-30,ND,38069,0,0,0.0,0.0,0,0.0
2020-09-06,ND,38069,0,0,0.0,0.0,0,0.0
2020-09-13,ND,38069,0,0,0.0,0.0,0,0.0
2020-09-20,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-27,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-04,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,ND,38069,0,0,0.0,0.0,0,0.0
2020-10-18,ND,38069,0,0,0.0,0.0,0,0.0
2020-10-25,ND,38069,4.9,4.9,0.0,0.0,4.9,4.9
2020-11-01,ND,38069,6.4,6.4,0.0,0.0,6.4,6.4
2020-11-08,ND,38069,6.3,6.3,0.0,0.0,6.3,6.3
2020-11-15,ND,38069,6.4,6.4,0.0,0.0,6.4,6.4
2020-11-22,ND,38069,5.1,5.1,0.0,0.0,5.1,5.1
2020-11-29,ND,38069,0,0,0.0,0.0,0,0.0
2020-12-06,ND,38069,0,0,0.0,0.0,0,0.0
2020-12-13,ND,38069,0,0,0.0,0.0,0,0.0
2020-12-20,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,ND,38069,0,0,0.0,0.0,0,0.0
2021-01-03,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-10,ND,38069,0,0,0.0,0.0,0,0.0
2021-01-17,ND,38069,0,0,0.0,0.0,0,0.0
2021-01-24,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-14,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-21,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-07,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-14,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-21,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-28,ND,38069,0,0,0.0,0.0,0,0.0
2021-04-04,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-11,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-18,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-09,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-16,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-23,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-30,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-06,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-20,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-27,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-11,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-18,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-25,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-08,ND,38069,0,0,0.0,0.0,0,0.0
2021-08-15,ND,38069,0,0,0.0,0.0,0,0.0
2021-08-22,ND,38069,0,0,0.0,0.0,0,0.0
2021-08-29,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-05,ND,38069,0,0,0.0,0.0,0,0.0
2021-09-12,ND,38069,0,0,0.0,0.0,0,0.0
2021-09-19,ND,38069,0,0,0.0,0.0,0,0.0
2021-09-26,ND,38069,0,0,0.0,0.0,0,0.0
2021-10-03,ND,38069,0,0,0.0,0.0,0,0.0
2021-10-10,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-17,ND,38069,0,0,0.0,0.0,0,0.0
2021-10-24,ND,38069,0,0,0.0,0.0,0,0.0
2021-10-31,ND,38069,0,0,0.0,0.0,0,0.0
2021-11-07,ND,38069,0,0,0.0,0.0,0,0.0
2021-11-14,ND,38069,0,0,0.0,0.0,0,0.0
2021-11-21,ND,38069,0,0,0.0,0.0,0,0.0
2021-11-28,ND,38069,0,0,0.0,0.0,0,0.0
2021-12-05,ND,38069,0,0,0.0,0.0,0,0.0
2021-12-12,ND,38069,0,0,0.0,0.0,0,0.0
2021-12-19,ND,38069,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-26,ND,38069,0,0,0.0,0.0,0,0.0
