collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NE,31019,5.0,5.0,11.0,0.0,5.0,5.0
2020-08-09,NE,31019,10.899999999999999,10.899999999999999,20.3,0.0,10.899999999999999,10.899999999999999
2020-08-16,NE,31019,9.6,9.6,25.1,0.0,9.6,9.6
2020-08-23,NE,31019,5.7,5.3,17.6,0.0,5.7,5.7
2020-08-30,NE,31019,16.5,13.3,16.4,0.0,16.6,16.5
2020-09-06,NE,31019,18.0,17.9,20.9,0.0,18.0,18.0
2020-09-13,NE,31019,16.4,16.4,21.0,0.0,16.4,16.4
2020-09-20,NE,31019,17.7,17.7,22.7,0.0,17.7,17.7
2020-09-27,NE,31019,16.4,16.4,24.200000000000003,0.0,16.4,16.4
2020-10-04,NE,31019,17.700000000000003,17.700000000000003,25.8,0.0,18.9,17.700000000000003
2020-10-11,NE,31019,16.2,16.2,25.099999999999998,0.0,16.2,16.2
2020-10-18,NE,31019,22.0,24.799999999999997,23.1,0.0,22.0,22.0
2020-10-25,NE,31019,39.8,39.8,21.3,0.0,39.8,39.8
2020-11-01,NE,31019,45.0,45.0,24.700000000000003,0.0,45.0,45.0
2020-11-08,NE,31019,46.7,46.4,26.7,0.0,46.7,46.7
2020-11-15,NE,31019,53.0,52.5,27.299999999999997,0.0,54.5,53.0
2020-11-22,NE,31019,54.6,53.9,30.799999999999997,0.0,54.8,54.6
2020-11-29,NE,31019,46.7,46.400000000000006,29.7,0.0,46.7,46.7
2020-12-06,NE,31019,38.0,37.7,29.7,0.0,38.0,38.0
2020-12-13,NE,31019,33.4,33.4,23.1,0.0,33.6,33.4
2020-12-20,NE,31019,30.0,30.0,21.3,0.0,30.0,30.0
2020-12-27,NE,31019,27.3,26.700000000000003,23.5,0.0,27.3,27.3
2021-01-03,NE,31019,23.5,22.1,21.9,0.0,23.5,23.5
2021-01-10,NE,31019,20.3,19.8,22.7,0.0,20.6,20.3
2021-01-17,NE,31019,20.6,20.0,19.7,0.0,20.7,20.6
2021-01-24,NE,31019,14.0,14.0,17.9,0.0,14.0,14.0
2021-01-31,NE,31019,9.4,9.1,19.3,0.0,9.4,9.4
2021-02-07,NE,31019,13.7,13.7,14.0,0.0,13.7,13.7
2021-02-14,NE,31019,8.4,8.4,13.9,0.0,8.4,8.4
2021-02-21,NE,31019,10.1,10.1,17.6,0.0,11.0,10.1
2021-02-28,NE,31019,5.3,5.3,19.0,0.0,5.3,5.3
2021-03-07,NE,31019,4.6,4.6,19.6,0.0,4.6,4.6
