collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NE,31045,0.0,0.0,0.0,0,0.0,0.0
2020-08-09,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2020-08-16,NE,31045,0,0,0.0,0.0,0,0.0
2020-08-23,NE,31045,0,0,0,0.0,0,0.0
2020-08-30,NE,31045,0,0,0,0.0,0,0.0
2020-09-06,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2020-09-13,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2020-09-20,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2020-09-27,NE,31045,0,0,0,0.0,0,0.0
2020-10-04,NE,31045,0,0,0,0.0,0,0.0
2020-10-11,NE,31045,0,0,0,0.0,0,0.0
2020-10-18,NE,31045,0,0,0,0.0,0,0.0
2020-10-25,NE,31045,5.5,5.5,0.0,0.0,5.5,5.5
2020-11-01,NE,31045,8.8,8.8,0,0.0,8.8,8.8
2020-11-08,NE,31045,7.1,7.1,0,0.0,7.1,7.1
2020-11-15,NE,31045,6.3,6.3,0,0,6.4,6.3
2020-11-22,NE,31045,4.0,4.0,0,0.0,4.0,4.0
2020-11-29,NE,31045,4.4,4.0,0,0.0,4.4,4.4
2020-12-06,NE,31045,6.0,5.3,0.0,0.0,6.0,6.0
2020-12-13,NE,31045,5.4,5.4,0,0.0,5.4,5.4
2020-12-20,NE,31045,0,0,0,0.0,0,0.0
2020-12-27,NE,31045,4.3,0,0,0.0,4.3,4.3
2021-01-03,NE,31045,0,0,0,0.0,0,0.0
2021-01-10,NE,31045,0,0,0.0,0.0,0,0.0
2021-01-17,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2021-01-24,NE,31045,0,0,0.0,0.0,0,0.0
2021-01-31,NE,31045,4.7,0,0,0.0,4.7,4.7
2021-02-07,NE,31045,0,0,0.0,0.0,0,0.0
2021-02-14,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2021-02-21,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2021-02-28,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2021-03-07,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2021-03-14,NE,31045,0,0,0,0.0,0,0.0
2021-03-21,NE,31045,0,0,0,0.0,0,0.0
2021-03-28,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2021-04-04,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2021-04-11,NE,31045,0,0,0,0.0,0,0.0
2021-04-18,NE,31045,0,0,0.0,0.0,0,0.0
2021-04-25,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2021-05-02,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2021-05-09,NE,31045,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-16,NE,31045,0,0,0,0.0,0,0.0
2021-05-23,NE,31045,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-30,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2021-06-06,NE,31045,0,0,0,0.0,0,0.0
2021-06-13,NE,31045,0,0,0,0.0,0,0.0
2021-06-20,NE,31045,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-27,NE,31045,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,NE,31045,0,0,0,0.0,0,0.0
2021-07-11,NE,31045,0,0,0,0.0,0,0.0
2021-07-18,NE,31045,0,0,0,0.0,0,0.0
2021-07-25,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2021-08-01,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2021-08-08,NE,31045,0,0,0,0.0,0,0.0
2021-08-15,NE,31045,0,0,0,0.0,0,0.0
2021-08-22,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2021-08-29,NE,31045,0,0,0,0.0,0,0.0
2021-09-05,NE,31045,0,0,0,0.0,0,0.0
2021-09-12,NE,31045,0,0,0,0.0,0,0.0
2021-09-19,NE,31045,0,0,0,0.0,0,0.0
2021-09-26,NE,31045,0,0,0,0.0,0,0.0
2021-10-03,NE,31045,5.1,5.1,0.0,0.0,5.1,5.1
2021-10-10,NE,31045,5.3,5.3,0,0,5.4,5.3
2021-10-17,NE,31045,0,0,0,0.0,0,0.0
2021-10-24,NE,31045,0,0,0,0.0,0,0.0
2021-10-31,NE,31045,0,0,0.0,0,0,0.0
2021-11-07,NE,31045,0,0,0,0.0,0,0.0
2021-11-14,NE,31045,0,0,0.0,0.0,0,0.0
2021-11-21,NE,31045,0,0,0,0.0,0,0.0
2021-11-28,NE,31045,0,0,0,0.0,0,0.0
2021-12-05,NE,31045,0,0,0,0.0,0,0.0
2021-12-12,NE,31045,0,0,0,0.0,0,0.0
2021-12-19,NE,31045,0.0,0.0,0,0.0,0.0,0.0
2021-12-26,NE,31045,0,0,0,0.0,0,0.0
