collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NE,31119,0,0,16.0,0.0,0,0.0
2020-08-09,NE,31119,5.3,4.3,14.6,0.0,5.3,5.3
2020-08-16,NE,31119,5.6,5.1,19.1,0.0,5.6,5.6
2020-08-23,NE,31119,7.4,7.1,18.1,0.0,7.4,7.4
2020-08-30,NE,31119,11.4,11.1,19.6,0,11.6,11.4
2020-09-06,NE,31119,11.1,10.9,19.4,0,11.3,11.1
2020-09-13,NE,31119,7.4,7.1,17.9,0.0,7.4,7.4
2020-09-20,NE,31119,8.4,8.4,20.1,0.0,8.4,8.4
2020-09-27,NE,31119,8.6,8.3,20.3,0.0,8.6,8.6
2020-10-04,NE,31119,10.9,10.9,22.9,0.0,10.9,10.9
2020-10-11,NE,31119,10.4,10.1,20.0,0.0,10.4,10.4
2020-10-18,NE,31119,13.1,14.6,27.3,0.0,13.1,13.1
2020-10-25,NE,31119,18.4,18.3,25.7,0.0,18.4,18.4
2020-11-01,NE,31119,33.4,33.1,25.4,0.0,33.4,33.4
2020-11-08,NE,31119,37.0,36.0,29.1,0.0,37.0,37.0
2020-11-15,NE,31119,35.3,34.9,29.4,0.0,35.3,35.3
2020-11-22,NE,31119,38.3,37.7,30.0,0.0,38.3,38.3
2020-11-29,NE,31119,30.1,30.0,25.6,0.0,30.1,30.1
2020-12-06,NE,31119,26.9,26.9,22.3,0.0,26.9,26.9
2020-12-13,NE,31119,23.6,23.6,23.4,0.0,23.6,23.6
2020-12-20,NE,31119,18.6,18.6,21.1,0.0,18.6,18.6
2020-12-27,NE,31119,13.7,13.4,20.7,0.0,13.7,13.7
2021-01-03,NE,31119,15.3,15.1,21.0,0,15.4,15.3
2021-01-10,NE,31119,11.3,11.3,24.4,0.0,11.3,11.3
2021-01-17,NE,31119,9.9,9.9,24.0,0.0,9.9,9.9
2021-01-24,NE,31119,9.0,9.0,22.0,0.0,9.0,9.0
2021-01-31,NE,31119,6.4,6.3,17.4,0.0,6.4,6.4
2021-02-07,NE,31119,5.6,5.1,15.1,0.0,5.6,5.6
2021-02-14,NE,31119,0,0,17.3,0,0,0.0
2021-02-21,NE,31119,0,0,18.0,0.0,0,0.0
2021-02-28,NE,31119,0,0,17.6,0.0,0,0.0
2021-03-07,NE,31119,0,0,11.4,0.0,0,0.0
2021-03-14,NE,31119,0,0,13.3,0.0,0,0.0
2021-03-21,NE,31119,0,0,15.0,0.0,0,0.0
2021-03-28,NE,31119,0,0,15.1,0.0,0,0.0
2021-04-04,NE,31119,4.7,4.7,21.1,0.0,4.7,4.7
2021-04-11,NE,31119,4.0,4.0,17.9,0.0,4.0,4.0
2021-04-18,NE,31119,4.1,4.0,17.4,0.0,4.1,4.1
2021-04-25,NE,31119,0,0,18.4,0.0,0,0.0
2021-05-02,NE,31119,0,0,18.6,0.0,0,0.0
2021-05-09,NE,31119,0,0,15.4,0.0,0,0.0
2021-05-16,NE,31119,0,0,10.9,0.0,0,0.0
2021-05-23,NE,31119,0,0,13.3,0.0,0,0.0
2021-05-30,NE,31119,0,0,14.3,0.0,0,0.0
2021-06-06,NE,31119,0,0,12.6,0.0,0,0.0
2021-06-13,NE,31119,0,0,16.1,0.0,0,0.0
2021-06-20,NE,31119,0,0,14.6,0.0,0,0.0
2021-06-27,NE,31119,0,0,12.3,0.0,0,0.0
2021-07-04,NE,31119,0,0,11.7,0.0,0,0.0
2021-07-11,NE,31119,0,0,11.1,0.0,0,0.0
2021-07-18,NE,31119,0,0,11.9,0.0,0,0.0
2021-07-25,NE,31119,5.1,5.0,15.0,0.0,5.1,5.1
2021-08-01,NE,31119,6.4,6.1,19.4,0.0,6.4,6.4
2021-08-08,NE,31119,9.7,9.3,19.4,0.0,9.7,9.7
2021-08-15,NE,31119,11.0,10.9,21.0,0.0,11.0,11.0
2021-08-22,NE,31119,11.7,11.7,23.9,0.0,11.7,11.7
2021-08-29,NE,31119,11.0,10.7,20.1,0.0,11.0,11.0
2021-09-05,NE,31119,10.0,9.3,12.1,0.0,10.0,10.0
2021-09-12,NE,31119,13.6,12.9,0,0.0,13.6,13.6
2021-09-19,NE,31119,12.6,12.4,12.3,0.0,12.6,12.6
2021-09-26,NE,31119,13.6,13.4,14.1,0.0,13.6,13.6
2021-10-03,NE,31119,10.4,10.3,11.9,0.0,10.4,10.4
2021-10-10,NE,31119,10.7,10.6,11.7,0.0,10.7,10.7
2021-10-17,NE,31119,14.1,13.9,15.4,0.0,14.1,14.1
2021-10-24,NE,31119,15.1,14.7,19.0,0.0,15.1,15.1
2021-10-31,NE,31119,16.4,16.0,17.6,0.0,16.4,16.4
2021-11-07,NE,31119,17.9,17.9,19.0,0.0,17.9,17.9
2021-11-14,NE,31119,21.1,21.1,20.9,0.0,21.1,21.1
2021-11-21,NE,31119,23.3,22.1,23.4,0,23.4,23.3
2021-11-28,NE,31119,18.4,17.9,20.0,0.0,18.4,18.4
2021-12-05,NE,31119,13.9,13.7,14.6,0.0,13.9,13.9
2021-12-12,NE,31119,12.6,12.6,14.3,0.0,12.6,12.6
2021-12-19,NE,31119,14.9,14.7,16.4,0.0,14.9,14.9
2021-12-26,NE,31119,14.4,14.3,16.1,0.0,14.4,14.4
