collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NE,31141,0,0,0,0,0,0.0
2020-08-09,NE,31141,0,0,5.0,0.0,0,0.0
2020-08-16,NE,31141,0,0,0,-0.2,0.0,-0.2
2020-08-23,NE,31141,0,0,4.8,-0.2,0.0,-0.2
2020-08-30,NE,31141,8.2,5.0,5.6,-3.8,4.4,4.3999999999999995
2020-09-06,NE,31141,7.8,5.5,5.8,0,10.0,7.8
2020-09-13,NE,31141,0,0,0,0.0,0,0.0
2020-09-20,NE,31141,4.0,0,0,0.0,4.0,4.0
2020-09-27,NE,31141,0,0,0,0.0,0,0.0
2020-10-04,NE,31141,8.2,8.0,6.4,0.0,8.2,8.2
2020-10-11,NE,31141,9.8,9.7,6.5,0.0,9.8,9.8
2020-10-18,NE,31141,9.0,10.3,5.5,0.0,9.0,9.0
2020-10-25,NE,31141,8.4,8.4,0,0.0,8.4,8.4
2020-11-01,NE,31141,11.3,11.3,5.0,0,11.5,11.3
2020-11-08,NE,31141,18.1,18.1,7.4,0.0,18.1,18.1
2020-11-15,NE,31141,17.4,17.4,6.3,0.0,17.4,17.4
2020-11-22,NE,31141,14.0,14.0,6.0,0.0,14.0,14.0
2020-11-29,NE,31141,12.4,12.4,5.6,0.0,12.4,12.4
2020-12-06,NE,31141,10.0,10.0,4.1,0.0,10.0,10.0
2020-12-13,NE,31141,6.7,6.7,4.1,0.0,6.7,6.7
2020-12-20,NE,31141,5.6,5.6,4.1,0.0,5.6,5.6
2020-12-27,NE,31141,0,0,0,0,4.0,0.0
2021-01-03,NE,31141,4.1,4.1,4.0,0.0,4.1,4.1
2021-01-10,NE,31141,5.4,5.4,0,0.0,5.4,5.4
2021-01-17,NE,31141,0,0,0,0.0,0,0.0
2021-01-24,NE,31141,0,0,0,0.0,0,0.0
2021-01-31,NE,31141,0,0,0,0.0,0,0.0
2021-02-07,NE,31141,0,0,0,0.0,0,0.0
2021-02-14,NE,31141,0,0,4.4,0.0,0,0.0
2021-02-21,NE,31141,0,0,4.6,0.0,0,0.0
2021-02-28,NE,31141,0,0,0,0.0,0,0.0
2021-03-07,NE,31141,0,0,0,0.0,0,0.0
2021-03-14,NE,31141,0,0,0,0.0,0,0.0
2021-03-21,NE,31141,0,0,0,0.0,0,0.0
2021-03-28,NE,31141,0,0,0,0.0,0,0.0
2021-04-04,NE,31141,0,0,4.3,0.0,0,0.0
2021-04-11,NE,31141,0,0,4.1,0.0,0,0.0
2021-04-18,NE,31141,5.3,5.3,6.4,0.0,5.3,5.3
2021-04-25,NE,31141,4.7,4.7,5.3,0.0,4.7,4.7
2021-05-02,NE,31141,0,0,0,0.0,0,0.0
2021-05-09,NE,31141,0,0,0,0.0,0,0.0
2021-05-16,NE,31141,0.0,0.0,0,0.0,0.0,0.0
2021-05-23,NE,31141,0.0,0.0,0,0.0,0.0,0.0
2021-05-30,NE,31141,0.0,0.0,0,0.0,0.0,0.0
2021-06-06,NE,31141,0.0,0.0,4.3,0.0,0.0,0.0
2021-06-13,NE,31141,0.0,0.0,4.7,0.0,0.0,0.0
2021-06-20,NE,31141,0,0,0,0.0,0,0.0
2021-06-27,NE,31141,0,0,0,0.0,0,0.0
2021-07-04,NE,31141,0,0,4.7,0.0,0,0.0
2021-07-11,NE,31141,0,0,0,0.0,0,0.0
2021-07-18,NE,31141,0,0,0,0.0,0,0.0
2021-07-25,NE,31141,0,0,0,0.0,0,0.0
2021-08-01,NE,31141,0,0,0,0.0,0,0.0
2021-08-08,NE,31141,0,0,0,0.0,0,0.0
2021-08-15,NE,31141,0,0,4.7,0.0,0,0.0
2021-08-22,NE,31141,5.1,5.1,5.0,0.0,5.1,5.1
2021-08-29,NE,31141,5.3,5.3,4.9,0.0,5.3,5.3
2021-09-05,NE,31141,4.9,4.9,5.4,0.0,4.9,4.9
2021-09-12,NE,31141,5.3,5.3,5.9,0.0,5.3,5.3
2021-09-19,NE,31141,5.1,5.1,4.9,0.0,5.1,5.1
2021-09-26,NE,31141,9.6,9.6,5.1,0.0,9.6,9.6
2021-10-03,NE,31141,6.9,6.9,0,0.0,6.9,6.9
2021-10-10,NE,31141,5.4,5.4,4.3,0.0,5.4,5.4
2021-10-17,NE,31141,6.1,6.1,7.3,0,6.6,6.1
2021-10-24,NE,31141,5.7,5.7,5.1,0.0,5.7,5.7
2021-10-31,NE,31141,7.7,7.7,4.9,0.0,7.7,7.7
2021-11-07,NE,31141,9.0,9.0,6.1,0.0,9.0,9.0
2021-11-14,NE,31141,10.7,10.7,5.7,0.0,10.7,10.7
2021-11-21,NE,31141,7.9,7.9,0,0.0,7.9,7.9
2021-11-28,NE,31141,8.4,8.4,4.6,0.0,8.4,8.4
2021-12-05,NE,31141,9.6,9.6,6.6,0.0,9.6,9.6
2021-12-12,NE,31141,5.9,5.9,6.3,0.0,5.9,5.9
2021-12-19,NE,31141,6.7,6.7,6.1,0.0,6.7,6.7
2021-12-26,NE,31141,8.4,8.4,6.0,0.0,8.4,8.4
