collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-09,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-16,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-23,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-30,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-06,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-13,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-20,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-27,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-04,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-18,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-25,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08,NH,33007,0,0,0.0,0.0,0,0.0
2020-11-15,NH,33007,0,0,0.0,0.0,0,0.0
2020-11-22,NH,33007,0,0.0,0.0,0.0,0,0.0
2020-11-29,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-13,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-20,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,NH,33007,0,0.0,0.0,0.0,0,0.0
2021-01-10,NH,33007,0,0.0,0.0,0.0,0,0.0
2021-01-17,NH,33007,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,NH,33007,0,0,0.0,0.0,0,0.0
2021-01-31,NH,33007,0,0,0.0,0.0,0,0.0
