collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NH,33011,17.5,12.1,43.9,0.0,17.5,17.5
2020-08-09,NH,33011,4.7,0.0,33.800000000000004,0.0,4.7,4.7
2020-08-16,NH,33011,4.7,0.0,31.5,0.0,4.7,4.7
2020-08-23,NH,33011,5.4,0.0,33.6,0.0,5.6,5.4
2020-08-30,NH,33011,0.0,0.0,36.0,0.0,0.0,0.0
2020-09-06,NH,33011,4.7,0.0,30.799999999999997,0.0,8.7,4.7
2020-09-13,NH,33011,4.7,0.0,33.7,0.0,4.7,4.7
2020-09-20,NH,33011,14.5,5.3,32.6,0.0,14.600000000000001,14.5
2020-09-27,NH,33011,10.0,5.7,38.3,0.0,10.0,10.0
2020-10-04,NH,33011,15.200000000000001,10.3,39.1,0.0,15.200000000000001,15.200000000000001
2020-10-11,NH,33011,17.6,5.6,33.300000000000004,0.0,17.9,17.6
2020-10-18,NH,33011,18.900000000000002,5.0,39.5,0.0,18.900000000000002,18.900000000000002
2020-10-25,NH,33011,22.7,14.0,45.9,0.0,22.7,22.7
2020-11-01,NH,33011,27.700000000000003,15.2,44.0,0.0,27.700000000000003,27.700000000000003
2020-11-08,NH,33011,36.7,20.6,41.4,0.0,36.7,36.7
2020-11-15,NH,33011,52.8,43.3,50.3,0.0,52.8,52.8
2020-11-22,NH,33011,69.8,60.2,53.400000000000006,0.0,70.0,69.8
2020-11-29,NH,33011,77.80000000000001,69.7,49.099999999999994,0.0,78.19999999999999,77.80000000000001
2020-12-06,NH,33011,117.29999999999998,106.0,58.3,0.0,117.69999999999999,117.29999999999998
2020-12-13,NH,33011,130.7,115.5,51.7,0.0,131.5,130.7
