collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NJ,34001,23.0,22.2,9.0,0.0,23.0,23.0
2020-08-09,NJ,34001,0,22.3,0.0,0,0,0.0
2020-08-16,NJ,34001,15.0,18.1,29.0,0.0,16.0,15.0
2020-08-23,NJ,34001,14.7,0,34.5,0.0,15.5,14.7
2020-08-30,NJ,34001,6.4,6.3,35.5,0.0,6.4,6.4
2020-09-06,NJ,34001,10.2,9.7,43.099999999999994,0,10.7,10.2
2020-09-13,NJ,34001,4.4,4.4,44.3,0.0,4.4,4.4
2020-09-20,NJ,34001,4.6,4.6,48.0,0.0,4.6,4.6
2020-09-27,NJ,34001,9.6,9.3,45.7,0.0,9.6,9.6
2020-10-04,NJ,34001,22.400000000000002,18.0,48.7,0.0,22.400000000000002,22.400000000000002
2020-10-11,NJ,34001,37.2,35.2,52.4,0.0,37.2,37.2
2020-10-18,NJ,34001,39.8,32.7,49.7,0.0,39.8,39.8
2020-10-25,NJ,34001,46.7,38.0,47.9,0.0,46.7,46.7
2020-11-01,NJ,34001,53.0,48.300000000000004,48.6,0.0,53.1,53.0
2020-11-08,NJ,34001,74.8,71.30000000000001,49.8,0.0,74.8,74.8
2020-11-15,NJ,34001,92.4,89.6,54.6,0.0,92.4,92.4
2020-11-22,NJ,34001,104.0,101.6,54.2,0.0,104.0,104.0
2020-11-29,NJ,34001,105.3,103.5,55.5,0.0,105.5,105.3
2020-12-06,NJ,34001,118.39999999999999,114.1,54.7,0.0,118.5,118.39999999999999
2020-12-13,NJ,34001,124.1,122.79999999999998,54.9,0.0,124.1,124.1
2020-12-20,NJ,34001,141.7,139.0,48.8,0.0,141.9,141.7
2020-12-27,NJ,34001,152.8,151.3,55.7,0.0,153.1,152.8
2021-01-03,NJ,34001,183.60000000000002,180.7,54.3,0.0,183.60000000000002,183.60000000000002
2021-01-10,NJ,34001,171.10000000000002,169.3,46.4,0.0,171.3,171.10000000000002
2021-01-17,NJ,34001,163.6,161.8,43.7,0.0,163.6,163.6
2021-01-24,NJ,34001,152.3,150.5,38.3,0.0,152.3,152.3
2021-01-31,NJ,34001,134.7,130.8,41.099999999999994,0.0,134.7,134.7
2021-02-07,NJ,34001,111.1,109.69999999999999,39.8,0.0,111.30000000000001,111.1
2021-02-14,NJ,34001,98.8,93.80000000000001,34.8,0.0,98.8,98.8
2021-02-21,NJ,34001,81.0,77.0,32.0,0.0,81.0,81.0
2021-02-28,NJ,34001,71.7,69.3,33.0,0.0,71.7,71.7
2021-03-07,NJ,34001,80.6,78.30000000000001,34.599999999999994,0.0,80.6,80.6
2021-03-14,NJ,34001,78.3,76.6,36.7,0.0,78.3,78.3
2021-03-21,NJ,34001,80.30000000000001,77.5,35.0,0.0,80.80000000000001,80.30000000000001
2021-03-28,NJ,34001,75.6,70.6,35.0,0.0,75.6,75.6
2021-04-04,NJ,34001,80.6,76.3,43.7,0.0,80.6,80.6
2021-04-11,NJ,34001,76.4,74.60000000000001,41.1,0.0,76.4,76.4
2021-04-18,NJ,34001,68.9,67.69999999999999,31.0,0.0,68.9,68.9
2021-04-25,NJ,34001,60.099999999999994,58.7,31.5,0.0,60.099999999999994,60.099999999999994
2021-05-02,NJ,34001,56.6,55.0,38.7,0.0,56.7,56.6
2021-05-09,NJ,34001,48.7,47.0,36.9,0.0,48.8,48.7
2021-05-16,NJ,34001,24.0,19.1,40.300000000000004,0.0,24.0,24.0
2021-05-23,NJ,34001,16.7,11.7,46.9,0.0,16.7,16.7
2021-05-30,NJ,34001,14.8,8.9,43.800000000000004,0.0,14.9,14.8
2021-06-06,NJ,34001,6.1,6.1,50.699999999999996,0.0,6.1,6.1
2021-06-13,NJ,34001,4.0,4.0,46.0,0.0,4.0,4.0
2021-06-20,NJ,34001,5.0,0.0,43.9,0.0,5.0,5.0
2021-06-27,NJ,34001,0.0,0.0,41.199999999999996,0.0,0.0,0.0
2021-07-04,NJ,34001,9.7,4.3,41.4,0.0,9.7,9.7
2021-07-11,NJ,34001,5.1,5.1,46.1,0.0,5.1,5.1
2021-07-18,NJ,34001,11.100000000000001,6.4,41.4,0.0,11.4,11.100000000000001
2021-07-25,NJ,34001,16.700000000000003,14.700000000000001,44.900000000000006,0.0,16.9,16.700000000000003
2021-08-01,NJ,34001,24.799999999999997,22.0,50.5,0.0,25.0,24.799999999999997
2021-08-08,NJ,34001,32.2,28.9,48.8,0.0,32.2,32.2
2021-08-15,NJ,34001,61.0,57.3,50.400000000000006,0.0,61.0,61.0
2021-08-22,NJ,34001,71.4,69.0,49.7,0.0,72.0,71.4
2021-08-29,NJ,34001,65.4,64.6,48.5,0.0,65.4,65.4
2021-09-05,NJ,34001,69.80000000000001,67.69999999999999,52.3,0.0,70.2,69.80000000000001
2021-09-12,NJ,34001,67.3,65.1,55.3,0.0,68.1,67.3
2021-09-19,NJ,34001,72.2,70.4,54.7,0.0,72.2,72.2
2021-09-26,NJ,34001,61.4,58.4,49.199999999999996,0.0,62.1,61.4
2021-10-03,NJ,34001,55.5,54.300000000000004,41.5,0.0,55.6,55.5
2021-10-10,NJ,34001,65.2,64.6,50.3,0.0,65.2,65.2
2021-10-17,NJ,34001,62.4,61.7,50.6,0.0,62.4,62.4
2021-10-24,NJ,34001,58.7,56.8,50.1,0.0,58.8,58.7
2021-10-31,NJ,34001,33.7,33.0,41.7,0.0,33.7,33.7
2021-11-07,NJ,34001,38.8,38.3,43.300000000000004,0.0,38.8,38.8
2021-11-14,NJ,34001,36.8,34.7,49.0,0.0,37.1,36.8
2021-11-21,NJ,34001,34.2,33.2,47.6,0.0,34.2,34.2
2021-11-28,NJ,34001,33.3,32.0,42.0,0.0,33.3,33.3
