collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NJ,34009,0,0,11.0,0.0,0,0.0
2020-08-09,NJ,34009,0,4.9,0.0,0,0,0.0
2020-08-16,NJ,34009,0,0,9.0,0.0,0,0.0
2020-08-23,NJ,34009,0,0,11.3,0.0,0,0.0
2020-08-30,NJ,34009,0,0,11.4,0.0,0,0.0
2020-09-06,NJ,34009,4.3,0,10.7,0.0,4.3,4.3
2020-09-13,NJ,34009,0,0,9.1,0.0,0,0.0
2020-09-20,NJ,34009,0,0,5.0,0.0,0,0.0
2020-09-27,NJ,34009,0,0,6.0,0.0,0,0.0
2020-10-04,NJ,34009,0,0,5.4,0.0,0,0.0
2020-10-11,NJ,34009,0,0,8.0,0.0,0,0.0
2020-10-18,NJ,34009,0,0,8.9,0.0,0,0.0
2020-10-25,NJ,34009,0,0,9.4,0.0,0,0.0
2020-11-01,NJ,34009,7.1,5.7,11.0,0.0,7.1,7.1
2020-11-08,NJ,34009,8.4,7.7,10.0,0.0,8.4,8.4
2020-11-15,NJ,34009,17.0,16.0,9.1,0.0,17.0,17.0
2020-11-22,NJ,34009,18.1,17.6,9.7,0.0,18.1,18.1
2020-11-29,NJ,34009,19.0,19.0,10.7,0.0,19.0,19.0
2020-12-06,NJ,34009,25.6,25.1,11.7,0,26.0,25.6
2020-12-13,NJ,34009,26.3,26.0,12.4,0,26.4,26.3
2020-12-20,NJ,34009,26.7,26.4,10.7,0.0,26.7,26.7
2020-12-27,NJ,34009,26.3,26.3,9.0,0.0,26.3,26.3
2021-01-03,NJ,34009,24.6,24.0,10.9,0.0,24.6,24.6
2021-01-10,NJ,34009,21.6,21.1,8.7,0.0,21.6,21.6
2021-01-17,NJ,34009,20.1,20.1,10.6,0.0,20.1,20.1
2021-01-24,NJ,34009,17.9,17.9,11.9,0.0,17.9,17.9
2021-01-31,NJ,34009,18.7,18.7,9.1,0.0,18.7,18.7
2021-02-07,NJ,34009,12.7,12.7,7.9,0.0,12.7,12.7
2021-02-14,NJ,34009,12.1,12.1,6.1,0.0,12.1,12.1
2021-02-21,NJ,34009,11.7,11.7,6.9,0.0,11.7,11.7
2021-02-28,NJ,34009,7.7,7.7,8.0,0.0,7.7,7.7
2021-03-07,NJ,34009,12.3,12.1,9.0,0.0,12.3,12.3
2021-03-14,NJ,34009,12.1,11.9,7.6,0.0,12.1,12.1
2021-03-21,NJ,34009,7.4,7.3,5.9,0.0,7.4,7.4
2021-03-28,NJ,34009,13.9,13.6,9.4,0.0,13.9,13.9
2021-04-04,NJ,34009,17.0,17.0,10.1,0.0,17.0,17.0
2021-04-11,NJ,34009,15.4,15.4,11.9,0.0,15.4,15.4
