collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NJ,34011,0.0,10.0,0,0,31.0,0.0
2020-08-09,NJ,34011,0.0,8.6,0,0,0.0,0.0
2020-08-16,NJ,34011,14.0,6.5,0.0,0.0,14.0,14.0
2020-08-23,NJ,34011,27.9,0,0,0,28.0,27.9
2020-08-30,NJ,34011,28.4,11.7,4.7,0,29.4,28.4
2020-09-06,NJ,34011,21.3,10.0,0,0,22.2,21.3
2020-09-13,NJ,34011,27.0,13.7,9.5,0,27.3,27.0
2020-09-20,NJ,34011,20.5,9.0,31.7,0.0,20.5,20.5
2020-09-27,NJ,34011,21.3,7.9,35.1,0,21.4,21.3
2020-10-04,NJ,34011,22.9,7.6,31.1,0.0,22.9,22.9
2020-10-11,NJ,34011,21.4,8.1,34.4,0,22.0,21.4
2020-10-18,NJ,34011,27.0,11.1,36.4,0,27.3,27.0
2020-10-25,NJ,34011,34.9,16.3,42.4,0.0,34.9,34.9
2020-11-01,NJ,34011,33.3,14.9,36.0,0,33.7,33.3
2020-11-08,NJ,34011,49.0,24.3,40.6,0,49.3,49.0
2020-11-15,NJ,34011,65.6,43.0,40.1,0,66.3,65.6
2020-11-22,NJ,34011,84.0,58.4,39.7,0,84.3,84.0
2020-11-29,NJ,34011,94.0,74.9,45.9,0,94.6,94.0
2020-12-06,NJ,34011,118.3,99.6,47.1,0,118.9,118.3
2020-12-13,NJ,34011,136.6,116.6,49.4,0,136.9,136.6
2020-12-20,NJ,34011,151.0,144.6,41.6,0,151.4,151.0
2020-12-27,NJ,34011,142.4,142.0,42.1,0.0,142.4,142.4
2021-01-03,NJ,34011,166.3,153.9,44.4,0,167.4,166.3
2021-01-10,NJ,34011,189.9,142.1,41.9,0,191.6,189.9
2021-01-17,NJ,34011,173.7,132.9,40.9,0,175.9,173.7
2021-01-24,NJ,34011,151.6,123.4,40.6,0,154.7,151.6
2021-01-31,NJ,34011,137.9,115.3,36.3,0,138.9,137.9
2021-02-07,NJ,34011,109.3,89.4,36.0,0,109.7,109.3
2021-02-14,NJ,34011,81.9,65.6,39.0,0,84.4,81.9
2021-02-21,NJ,34011,62.7,51.3,37.9,0,64.1,62.7
