collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NJ,34013,309.5,88.0,100.5,6.5,320.5,316.0
2020-08-09,NJ,34013,182.0,66.6,0,0.0,182.0,182.0
2020-08-16,NJ,34013,240.0,63.1,158.5,0.0,240.0,240.0
2020-08-23,NJ,34013,227.8,57.0,168.0,0.0,228.1,227.8
2020-08-30,NJ,34013,203.5,62.1,130.5,0.0,204.3,203.5
2020-09-06,NJ,34013,244.6,80.7,154.10000000000002,0.0,244.9,244.6
2020-09-13,NJ,34013,214.39999999999998,68.6,147.39999999999998,0.0,215.0,214.39999999999998
2020-09-20,NJ,34013,167.99999999999997,47.300000000000004,152.2,0.0,169.0,167.99999999999997
2020-09-27,NJ,34013,55.699999999999996,22.9,162.7,0.0,55.699999999999996,55.699999999999996
2020-10-04,NJ,34013,72.5,33.199999999999996,207.2,-0.1,72.9,72.4
2020-10-11,NJ,34013,87.60000000000001,56.0,223.29999999999998,0.0,88.10000000000001,87.60000000000001
2020-10-18,NJ,34013,119.29999999999998,95.80000000000001,223.4,0.0,121.1,119.29999999999998
2020-10-25,NJ,34013,145.5,130.7,232.1,0.0,142.6,145.5
2020-11-01,NJ,34013,178.9,162.5,233.6,0.0,179.9,178.9
2020-11-08,NJ,34013,264.5,235.69999999999996,239.39999999999998,0.0,266.3,264.5
2020-11-15,NJ,34013,316.6,291.70000000000005,245.2,0.0,319.59999999999997,316.6
2020-11-22,NJ,34013,337.8,319.29999999999995,240.79999999999998,0.0,342.0,337.8
2020-11-29,NJ,34013,390.09999999999997,367.6,249.3,0.0,393.4,390.09999999999997
2020-12-06,NJ,34013,398.70000000000005,369.5999999999999,251.30000000000004,0.0,405.1,398.70000000000005
2020-12-13,NJ,34013,408.1,385.80000000000007,255.7,0.0,410.29999999999995,408.1
2020-12-20,NJ,34013,413.1,393.40000000000003,262.90000000000003,0.0,414.4,413.1
2020-12-27,NJ,34013,389.0,368.29999999999995,257.7,0.0,391.79999999999995,389.0
2021-01-03,NJ,34013,355.2,335.5,270.59999999999997,0.0,356.4,355.2
2021-01-10,NJ,34013,350.09999999999997,330.4,270.09999999999997,0.0,351.7,350.09999999999997
2021-01-17,NJ,34013,338.9,321.5,263.4,0.0,341.4,338.9
2021-01-24,NJ,34013,344.7,324.0,254.20000000000002,0.0,350.69999999999993,344.7
2021-01-31,NJ,34013,313.20000000000005,296.0,251.49999999999994,0.0,316.8,313.20000000000005
2021-02-07,NJ,34013,332.4,313.0,244.1,0.0,335.70000000000005,332.4
2021-02-14,NJ,34013,279.9,261.5,237.0,0.0,282.5,279.9
2021-02-21,NJ,34013,239.89999999999998,218.9,234.09999999999997,0.0,242.60000000000002,239.89999999999998
2021-02-28,NJ,34013,219.5,199.3,230.20000000000002,0.0,220.09999999999997,219.5
2021-03-07,NJ,34013,235.29999999999995,211.50000000000003,229.79999999999998,0.0,237.49999999999997,235.29999999999995
2021-03-14,NJ,34013,236.0,215.4,212.8,0.0,239.49999999999997,236.0
2021-03-21,NJ,34013,252.00000000000006,223.40000000000003,223.6,0.0,256.3,252.00000000000006
2021-03-28,NJ,34013,295.6,269.0,221.2,0.0,300.0,295.6
2021-04-04,NJ,34013,326.6,299.70000000000005,222.20000000000002,0.0,332.9,326.6
2021-04-11,NJ,34013,296.20000000000005,279.2,233.9,0.0,300.7,296.20000000000005
2021-04-18,NJ,34013,271.9,253.60000000000002,237.4,0.0,275.4,271.9
2021-04-25,NJ,34013,217.39999999999998,196.59999999999997,229.8,4.4,224.39999999999998,221.79999999999998
2021-05-02,NJ,34013,166.5,154.90000000000003,217.09999999999997,0.0,167.7,166.5
2021-05-09,NJ,34013,126.4,117.0,216.5,0.0,126.7,126.4
2021-05-16,NJ,34013,96.89999999999999,84.5,207.59999999999997,0.0,98.1,96.89999999999999
2021-05-23,NJ,34013,81.2,67.1,200.9,0.0,82.89999999999999,81.2
2021-05-30,NJ,34013,59.0,45.9,207.89999999999998,0.0,59.9,59.0
2021-06-06,NJ,34013,42.7,31.8,201.00000000000003,0.0,44.5,42.7
2021-06-13,NJ,34013,32.5,23.200000000000003,200.0,0.0,33.1,32.5
2021-06-20,NJ,34013,31.900000000000002,22.700000000000003,193.2,0.0,33.2,31.900000000000002
2021-06-27,NJ,34013,38.8,23.0,189.5,0.0,40.0,38.8
2021-07-04,NJ,34013,36.8,25.299999999999997,190.4,0.0,37.3,36.8
2021-07-11,NJ,34013,40.9,31.1,196.79999999999998,0.0,41.800000000000004,40.9
