collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NJ,34017,40.5,6.4,36.5,4.0,44.5,44.5
2020-08-09,NJ,34017,0,11.2,0,0,0,0.0
2020-08-16,NJ,34017,15.0,7.6,59.0,0.0,15.0,15.0
2020-08-23,NJ,34017,5.4,0.0,44.7,0.0,5.4,5.4
2020-08-30,NJ,34017,8.7,8.3,51.4,0.0,8.7,8.7
2020-09-06,NJ,34017,4.5,4.5,48.699999999999996,0.0,8.6,4.5
2020-09-13,NJ,34017,0.0,0.0,39.4,0.0,0.0,0.0
2020-09-20,NJ,34017,0.0,0.0,36.9,0.0,4.1,0.0
2020-09-27,NJ,34017,4.1,4.1,45.9,0.0,4.1,4.1
2020-10-04,NJ,34017,15.499999999999998,10.399999999999999,53.800000000000004,0.0,15.499999999999998,15.499999999999998
2020-10-11,NJ,34017,22.9,21.0,55.900000000000006,0.0,23.200000000000003,22.9
2020-10-18,NJ,34017,26.1,24.700000000000003,50.0,0.0,26.1,26.1
2020-10-25,NJ,34017,50.9,49.900000000000006,57.9,0.0,55.50000000000001,50.9
2020-11-01,NJ,34017,63.599999999999994,62.99999999999999,61.0,0.0,63.599999999999994,63.599999999999994
2020-11-08,NJ,34017,93.19999999999999,88.6,67.6,0.0,97.5,93.19999999999999
2020-11-15,NJ,34017,114.89999999999999,110.2,60.699999999999996,0.0,115.3,114.89999999999999
2020-11-22,NJ,34017,138.1,133.3,57.800000000000004,0.0,138.6,138.1
2020-11-29,NJ,34017,168.40000000000003,163.3,65.6,0.0,169.0,168.40000000000003
2020-12-06,NJ,34017,178.4,171.5,65.10000000000001,0.0,178.6,178.4
2020-12-13,NJ,34017,197.7,193.6,68.3,0.0,198.1,197.7
2020-12-20,NJ,34017,201.10000000000002,199.0,72.0,0.0,201.3,201.10000000000002
2020-12-27,NJ,34017,208.5,205.20000000000002,71.10000000000001,0.0,208.8,208.5
2021-01-03,NJ,34017,202.39999999999998,200.0,74.5,0.0,202.39999999999998,202.39999999999998
2021-01-10,NJ,34017,185.1,182.39999999999998,75.7,0.0,185.3,185.1
2021-01-17,NJ,34017,167.70000000000002,165.3,69.19999999999999,0.0,168.0,167.70000000000002
2021-01-24,NJ,34017,156.10000000000002,153.4,65.8,0.0,156.3,156.10000000000002
2021-01-31,NJ,34017,160.70000000000002,157.00000000000003,76.29999999999998,0.0,161.0,160.70000000000002
2021-02-07,NJ,34017,151.89999999999998,148.4,67.69999999999999,0.0,152.7,151.89999999999998
2021-02-14,NJ,34017,138.8,134.6,60.3,0.0,139.6,138.8
2021-02-21,NJ,34017,132.10000000000002,129.6,76.89999999999999,0.0,132.20000000000002,132.10000000000002
2021-02-28,NJ,34017,125.20000000000002,123.30000000000001,67.2,0.0,125.20000000000002,125.20000000000002
2021-03-07,NJ,34017,132.9,131.29999999999998,69.8,0.0,133.3,132.9
2021-03-14,NJ,34017,136.6,135.59999999999997,80.30000000000001,0.0,136.79999999999998,136.6
2021-03-21,NJ,34017,130.7,128.7,74.60000000000001,0.0,130.9,130.7
2021-03-28,NJ,34017,142.2,138.20000000000002,68.8,0.0,142.6,142.2
2021-04-04,NJ,34017,142.4,139.6,64.6,0.0,143.1,142.4
2021-04-11,NJ,34017,137.79999999999998,134.2,63.50000000000001,0.0,138.79999999999998,137.79999999999998
2021-04-18,NJ,34017,121.0,116.10000000000001,59.900000000000006,0.0,122.39999999999999,121.0
2021-04-25,NJ,34017,84.09999999999998,82.8,53.59999999999999,0.0,84.09999999999998,84.09999999999998
2021-05-02,NJ,34017,74.4,71.9,56.900000000000006,0.0,74.4,74.4
2021-05-09,NJ,34017,61.39999999999999,59.900000000000006,64.9,0.0,61.7,61.39999999999999
2021-05-16,NJ,34017,45.1,43.900000000000006,57.699999999999996,0.0,45.1,45.1
2021-05-23,NJ,34017,33.2,32.6,56.50000000000001,0.0,33.2,33.2
2021-05-30,NJ,34017,19.5,15.0,48.300000000000004,0.0,19.5,19.5
2021-06-06,NJ,34017,10.6,9.9,51.1,0.0,10.899999999999999,10.6
2021-06-13,NJ,34017,0,0,48.9,0.0,0,0.0
2021-06-20,NJ,34017,0,0,45.7,0.0,0,0.0
2021-06-27,NJ,34017,4.6,4.4,56.800000000000004,0.0,4.6,4.6
2021-07-04,NJ,34017,0,0,47.199999999999996,0.0,0,0.0
2021-07-11,NJ,34017,0,0,48.10000000000001,0.0,0,0.0
2021-07-18,NJ,34017,0,0,55.2,0.0,0,0.0
2021-07-25,NJ,34017,12.3,12.3,55.2,0.0,12.3,12.3
2021-08-01,NJ,34017,22.799999999999997,21.799999999999997,46.900000000000006,0.0,23.0,22.799999999999997
2021-08-08,NJ,34017,41.2,39.300000000000004,55.2,0.0,41.2,41.2
2021-08-15,NJ,34017,38.1,36.6,54.8,0.0,44.0,38.1
2021-08-22,NJ,34017,30.1,29.6,52.9,0.0,30.1,30.1
2021-08-29,NJ,34017,29.0,24.6,57.300000000000004,0.0,29.0,29.0
2021-09-05,NJ,34017,30.200000000000003,26.0,64.5,0.0,30.200000000000003,30.200000000000003
2021-09-12,NJ,34017,27.0,25.3,66.60000000000001,0.0,27.699999999999996,27.0
2021-09-19,NJ,34017,15.399999999999999,15.0,71.7,0.0,15.399999999999999,15.399999999999999
2021-09-26,NJ,34017,15.5,15.2,69.10000000000001,0.0,15.5,15.5
2021-10-03,NJ,34017,13.0,12.8,63.9,0.0,13.100000000000001,13.0
2021-10-10,NJ,34017,17.3,16.8,58.1,0.0,17.4,17.3
2021-10-17,NJ,34017,9.1,8.4,56.9,0.0,13.2,9.1
2021-10-24,NJ,34017,9.3,9.0,56.9,0.0,9.3,9.3
2021-10-31,NJ,34017,11.3,11.2,56.9,0.0,11.3,11.3
2021-11-07,NJ,34017,6.1,5.9,56.599999999999994,0.0,6.1,6.1
2021-11-14,NJ,34017,5.3,5.1,59.1,0.0,5.3,5.3
2021-11-21,NJ,34017,17.6,17.4,54.8,0.0,17.6,17.6
2021-11-28,NJ,34017,26.9,26.1,61.300000000000004,0.0,27.2,26.9
2021-12-05,NJ,34017,46.7,46.1,70.80000000000001,0.0,46.800000000000004,46.7
2021-12-12,NJ,34017,59.9,56.3,66.7,0.0,60.2,59.9
2021-12-19,NJ,34017,96.1,87.1,59.1,0.0,97.8,96.1
2021-12-26,NJ,34017,184.2,180.29999999999998,56.1,0.0,186.0,184.2
