collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NJ,34021,22.5,16.4,13.0,0.0,28.0,22.5
2020-08-09,NJ,34021,0,14.7,0,0,0,0.0
2020-08-16,NJ,34021,8.0,8.6,56.0,0.0,8.0,8.0
2020-08-23,NJ,34021,4.0,0.0,57.3,0.0,4.6,4.0
2020-08-30,NJ,34021,20.1,0.0,47.1,18.3,38.4,38.400000000000006
2020-09-06,NJ,34021,0.0,0.0,54.300000000000004,0.0,0.0,0.0
2020-09-13,NJ,34021,5.0,4.1,54.0,0.0,5.0,5.0
2020-09-20,NJ,34021,0.0,0.0,52.199999999999996,0.0,0.0,0.0
2020-09-27,NJ,34021,4.3,0.0,48.9,0.0,9.0,4.3
2020-10-04,NJ,34021,10.7,4.6,55.1,6.1,16.9,16.799999999999997
2020-10-11,NJ,34021,8.6,0.0,44.2,8.4,17.0,17.0
2020-10-18,NJ,34021,16.3,8.7,53.699999999999996,6.0,22.3,22.3
2020-10-25,NJ,34021,28.2,18.7,54.7,7.0,30.3,35.2
2020-11-01,NJ,34021,49.2,48.0,66.3,0.0,49.2,49.2
2020-11-08,NJ,34021,79.29999999999998,77.7,65.30000000000001,0.0,79.6,79.29999999999998
2020-11-15,NJ,34021,108.9,107.69999999999999,66.0,0.0,108.9,108.9
2020-11-22,NJ,34021,129.2,127.69999999999999,66.2,0.0,129.2,129.2
2020-11-29,NJ,34021,127.20000000000002,125.70000000000002,72.1,0.0,127.20000000000002,127.20000000000002
2020-12-06,NJ,34021,127.80000000000001,123.8,71.1,0.0,127.80000000000001,127.80000000000001
2020-12-13,NJ,34021,126.9,123.1,75.5,0.0,126.9,126.9
2020-12-20,NJ,34021,119.19999999999999,117.6,72.6,0.0,119.19999999999999,119.19999999999999
