collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NJ,34023,66.5,32.0,92.0,0.0,68.0,66.5
2020-08-09,NJ,34023,0,20.6,0,0,0,0.0
2020-08-16,NJ,34023,35.0,9.1,107.0,0.0,35.0,35.0
2020-08-23,NJ,34023,35.2,0.0,113.69999999999999,0.0,35.7,35.2
2020-08-30,NJ,34023,42.6,23.0,98.69999999999999,0.0,46.099999999999994,42.6
2020-09-06,NJ,34023,37.9,26.1,96.1,4.7,42.8,42.6
2020-09-13,NJ,34023,42.2,30.5,100.5,0.0,44.900000000000006,42.2
2020-09-20,NJ,34023,39.5,23.799999999999997,112.10000000000001,0.0,43.0,39.5
2020-09-27,NJ,34023,47.0,33.5,115.7,4.7,51.99999999999999,51.7
2020-10-04,NJ,34023,58.60000000000001,47.0,108.19999999999999,4.6,63.400000000000006,63.20000000000001
2020-10-11,NJ,34023,62.7,50.2,111.3,0.0,66.4,62.7
2020-10-18,NJ,34023,80.7,90.10000000000001,113.4,4.0,87.0,84.7
2020-10-25,NJ,34023,92.7,74.7,116.20000000000002,10.3,98.1,103.0
2020-11-01,NJ,34023,127.50000000000001,115.20000000000002,110.9,0.0,130.0,127.50000000000001
2020-11-08,NJ,34023,168.6,152.7,117.4,0.0,172.89999999999998,168.6
2020-11-15,NJ,34023,233.7,215.5,120.69999999999999,0.0,238.1,233.7
2020-11-22,NJ,34023,291.5,274.6,131.70000000000002,0.0,294.7,291.5
2020-11-29,NJ,34023,327.9,309.9,138.3,4.4,334.7,332.29999999999995
2020-12-06,NJ,34023,385.5,369.9,131.2,0.0,390.79999999999995,385.5
2020-12-13,NJ,34023,423.3,412.80000000000007,124.4,0.0,427.4,423.3
2020-12-20,NJ,34023,426.3,409.79999999999995,139.8,0.0,429.90000000000003,426.3
2020-12-27,NJ,34023,414.30000000000007,394.70000000000005,136.8,0.0,419.20000000000005,414.30000000000007
2021-01-03,NJ,34023,421.99999999999994,394.40000000000003,142.2,11.7,439.19999999999993,433.69999999999993
2021-01-10,NJ,34023,392.0,371.1,150.90000000000003,0.0,403.6,392.0
2021-01-17,NJ,34023,376.2,359.59999999999997,150.3,4.0,381.09999999999997,380.2
2021-01-24,NJ,34023,328.5,316.3,139.5,4.3,332.8,332.8
2021-01-31,NJ,34023,298.79999999999995,290.99999999999994,134.1,0.0,300.5,298.79999999999995
2021-02-07,NJ,34023,279.0,269.8,132.6,0.0,282.0,279.0
2021-02-14,NJ,34023,247.7,238.8,121.8,0.0,251.10000000000002,247.7
2021-02-21,NJ,34023,201.9,197.5,123.4,0.0,203.10000000000002,201.9
2021-02-28,NJ,34023,188.5,181.6,122.99999999999999,0.0,191.20000000000002,188.5
2021-03-07,NJ,34023,188.9,182.0,127.1,0.0,191.70000000000002,188.9
2021-03-14,NJ,34023,183.5,177.8,126.50000000000001,0.0,185.70000000000002,183.5
2021-03-21,NJ,34023,217.39999999999998,209.1,125.69999999999999,0.0,222.49999999999997,217.39999999999998
2021-03-28,NJ,34023,242.29999999999998,236.1,131.3,0.0,246.7,242.29999999999998
2021-04-04,NJ,34023,226.6,219.39999999999998,129.6,0.0,231.29999999999998,226.6
2021-04-11,NJ,34023,226.29999999999998,220.6,131.5,0.0,229.6,226.29999999999998
2021-04-18,NJ,34023,214.0,206.7,129.5,0.0,219.49999999999997,214.0
2021-04-25,NJ,34023,170.8,164.0,129.1,0.0,175.6,170.8
2021-05-02,NJ,34023,145.8,138.3,124.49999999999999,0.0,150.6,145.8
2021-05-09,NJ,34023,103.3,91.8,124.20000000000002,0.0,109.60000000000001,103.3
2021-05-16,NJ,34023,83.4,74.50000000000001,117.5,0.0,89.80000000000001,83.4
2021-05-23,NJ,34023,56.199999999999996,51.9,112.2,0.0,59.0,56.199999999999996
2021-05-30,NJ,34023,42.6,39.8,114.1,0.0,44.2,42.6
2021-06-06,NJ,34023,37.599999999999994,34.2,113.30000000000001,0.0,38.8,37.599999999999994
2021-06-13,NJ,34023,30.700000000000003,22.6,114.5,0.0,34.3,30.700000000000003
2021-06-20,NJ,34023,18.9,17.9,109.5,0.0,20.4,18.9
2021-06-27,NJ,34023,12.0,7.4,104.9,0.0,12.8,12.0
2021-07-04,NJ,34023,5.6,5.6,108.2,0.0,5.6,5.6
2021-07-11,NJ,34023,23.5,17.299999999999997,109.9,0.0,24.4,23.5
2021-07-18,NJ,34023,33.599999999999994,26.9,111.4,0.0,35.5,33.599999999999994
2021-07-25,NJ,34023,41.300000000000004,37.9,119.6,0.0,43.5,41.300000000000004
2021-08-01,NJ,34023,53.5,49.4,120.69999999999999,0.0,56.8,53.5
