collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NJ,34029,59.1,11.3,52.0,0.0,60.1,59.1
2020-08-09,NJ,34029,0,6.3,5.6,0,0,0.0
2020-08-16,NJ,34029,16.0,0,41.7,0.0,16.0,16.0
2020-08-23,NJ,34029,24.0,0.0,47.3,0.0,24.0,24.0
2020-08-30,NJ,34029,25.2,13.2,40.1,0.0,25.400000000000002,25.2
2020-09-06,NJ,34029,15.899999999999999,5.7,48.800000000000004,-6.7,12.899999999999999,9.2
2020-09-13,NJ,34029,23.6,9.1,64.1,0.0,23.6,23.6
2020-09-20,NJ,34029,27.9,4.0,66.2,0.0,28.8,27.9
2020-09-27,NJ,34029,26.4,21.0,63.7,0.0,26.7,26.4
2020-10-04,NJ,34029,24.8,23.0,68.4,0.0,25.0,24.8
2020-10-11,NJ,34029,43.900000000000006,39.0,68.8,0.0,46.8,43.900000000000006
2020-10-18,NJ,34029,45.7,44.1,59.5,0.0,46.00000000000001,45.7
2020-10-25,NJ,34029,48.699999999999996,47.199999999999996,57.4,0.0,49.4,48.699999999999996
2020-11-01,NJ,34029,50.8,47.2,52.2,0.0,50.8,50.8
2020-11-08,NJ,34029,81.4,76.1,59.6,0.0,81.4,81.4
2020-11-15,NJ,34029,132.3,122.50000000000001,66.4,0.0,132.3,132.3
2020-11-22,NJ,34029,198.7,181.49999999999997,73.3,0.0,198.7,198.7
2020-11-29,NJ,34029,226.29999999999998,205.6,83.2,0.0,226.29999999999998,226.29999999999998
2020-12-06,NJ,34029,259.6,239.9,80.3,0.0,259.6,259.6
2020-12-13,NJ,34029,257.7,241.6,86.3,0.0,257.7,257.7
2020-12-20,NJ,34029,270.6,251.0,84.4,0.0,270.6,270.6
2020-12-27,NJ,34029,286.29999999999995,266.4,82.3,0.0,286.29999999999995,286.29999999999995
2021-01-03,NJ,34029,283.8,263.3,92.4,0.0,283.8,283.8
2021-01-10,NJ,34029,285.5,268.6,88.7,0.0,285.5,285.5
2021-01-17,NJ,34029,262.0,245.49999999999997,88.2,0.0,262.0,262.0
2021-01-24,NJ,34029,240.5,227.1,85.0,0.0,240.5,240.5
2021-01-31,NJ,34029,232.10000000000002,223.60000000000002,76.60000000000001,0.0,232.10000000000002,232.10000000000002
2021-02-07,NJ,34029,199.4,189.70000000000002,80.8,0.0,199.4,199.4
2021-02-14,NJ,34029,165.5,158.2,75.8,0.0,165.5,165.5
2021-02-21,NJ,34029,158.60000000000002,148.1,73.7,0.0,158.60000000000002,158.60000000000002
2021-02-28,NJ,34029,138.9,129.2,70.2,0.0,138.9,138.9
2021-03-07,NJ,34029,111.1,106.3,67.7,0.0,111.1,111.1
2021-03-14,NJ,34029,130.4,124.0,64.6,0.0,130.4,130.4
2021-03-21,NJ,34029,157.3,148.4,78.6,0.0,158.70000000000002,157.3
2021-03-28,NJ,34029,165.8,155.9,74.8,0.0,165.8,165.8
2021-04-04,NJ,34029,163.99999999999997,155.2,72.3,0.0,163.99999999999997,163.99999999999997
2021-04-11,NJ,34029,142.8,135.4,74.7,0.0,142.8,142.8
2021-04-18,NJ,34029,103.70000000000002,97.4,71.4,0.0,103.70000000000002,103.70000000000002
2021-04-25,NJ,34029,87.0,77.5,67.9,0.0,88.39999999999999,87.0
2021-05-02,NJ,34029,63.0,57.49999999999999,59.199999999999996,0.0,63.0,63.0
2021-05-09,NJ,34029,49.300000000000004,42.8,55.7,0.0,49.300000000000004,49.300000000000004
2021-05-16,NJ,34029,34.7,29.5,51.3,0.0,34.7,34.7
2021-05-23,NJ,34029,23.5,19.6,52.1,0.0,23.5,23.5
2021-05-30,NJ,34029,16.1,8.3,52.2,0.0,16.1,16.1
