collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NJ,34039,25.0,5.0,49.0,0.0,26.0,25.0
2020-08-09,NJ,34039,0,6.1,0.0,0,0,0.0
2020-08-16,NJ,34039,18.0,0,63.0,0.0,18.0,18.0
2020-08-23,NJ,34039,11.3,0,61.0,0.0,11.3,11.3
2020-08-30,NJ,34039,6.4,0,65.1,0.0,6.4,6.4
2020-09-06,NJ,34039,4.3,0,55.1,0.0,4.3,4.3
2020-09-13,NJ,34039,8.6,5.0,54.7,0.0,8.6,8.6
2020-09-20,NJ,34039,8.6,4.6,52.0,0.0,8.6,8.6
2020-09-27,NJ,34039,8.6,5.7,52.7,0.0,8.7,8.6
2020-10-04,NJ,34039,20.700000000000003,12.2,52.5,0.0,21.700000000000003,20.700000000000003
2020-10-11,NJ,34039,29.300000000000004,22.200000000000003,55.3,0.0,30.6,29.300000000000004
2020-10-18,NJ,34039,55.3,45.800000000000004,60.3,0.0,56.2,55.3
2020-10-25,NJ,34039,70.6,62.7,65.8,0.0,71.3,70.6
2020-11-01,NJ,34039,91.5,77.30000000000001,70.4,0.0,92.0,91.5
2020-11-08,NJ,34039,127.19999999999999,117.4,68.6,0.0,127.19999999999999,127.19999999999999
2020-11-15,NJ,34039,150.29999999999998,145.4,68.19999999999999,0.0,150.79999999999998,150.29999999999998
2020-11-22,NJ,34039,156.1,152.7,71.9,0.0,156.1,156.1
2020-11-29,NJ,34039,161.79999999999998,155.5,81.8,0.0,161.79999999999998,161.79999999999998
2020-12-06,NJ,34039,166.6,159.5,81.2,0.0,167.5,166.6
2020-12-13,NJ,34039,142.4,138.20000000000002,77.8,0.0,142.6,142.4
2020-12-20,NJ,34039,134.0,131.29999999999998,79.2,0.0,134.0,134.0
2020-12-27,NJ,34039,143.6,140.6,74.0,0.0,143.6,143.6
2021-01-03,NJ,34039,141.20000000000002,138.0,69.8,0.0,141.70000000000002,141.20000000000002
2021-01-10,NJ,34039,143.89999999999998,133.2,73.2,0.0,144.6,143.89999999999998
2021-01-17,NJ,34039,141.0,136.3,77.8,0.0,141.4,141.0
2021-01-24,NJ,34039,155.0,149.9,75.1,0.0,155.0,155.0
2021-01-31,NJ,34039,143.10000000000002,139.2,73.7,0.0,143.10000000000002,143.10000000000002
2021-02-07,NJ,34039,130.7,125.5,78.0,0.0,130.7,130.7
2021-02-14,NJ,34039,105.1,95.4,80.3,0.0,105.8,105.1
2021-02-21,NJ,34039,104.6,99.5,75.9,0.0,104.6,104.6
2021-02-28,NJ,34039,91.80000000000001,87.6,68.9,0.0,92.1,91.80000000000001
2021-03-07,NJ,34039,88.30000000000001,77.9,65.6,0.0,88.30000000000001,88.30000000000001
2021-03-14,NJ,34039,104.4,99.8,69.0,0.0,104.4,104.4
2021-03-21,NJ,34039,119.0,112.6,72.3,0.0,119.1,119.0
2021-03-28,NJ,34039,127.69999999999999,123.10000000000001,79.69999999999999,0.0,128.39999999999998,127.69999999999999
2021-04-04,NJ,34039,127.0,122.1,75.6,0.0,127.0,127.0
2021-04-11,NJ,34039,120.2,113.39999999999999,76.0,0.0,120.69999999999999,120.2
2021-04-18,NJ,34039,125.0,119.2,69.4,0.0,125.0,125.0
2021-04-25,NJ,34039,104.69999999999999,100.6,73.4,0.0,104.69999999999999,104.69999999999999
2021-05-02,NJ,34039,78.6,75.5,72.0,0.0,78.6,78.6
2021-05-09,NJ,34039,52.7,49.7,62.6,0.0,52.7,52.7
