collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NM,35035,0,0,7.7,0.0,0,0.0
2020-08-09,NM,35035,0,0,4.3,0.0,0,0.0
2020-08-16,NM,35035,0.0,0.0,7.0,0.0,0.0,0.0
2020-08-23,NM,35035,0.0,0.0,7.2,0.0,0.0,0.0
2020-08-30,NM,35035,0.0,0.0,6.5,0.0,0.0,0.0
2020-09-06,NM,35035,0,0,8.8,0.0,0,0.0
2020-09-13,NM,35035,0,0,7.3,0.0,0,0.0
2020-09-20,NM,35035,0,0.0,5.7,0.0,0,0.0
2020-09-27,NM,35035,5.4,0.0,8.3,0.0,5.4,5.4
2020-10-04,NM,35035,8.6,0,8.0,0.0,8.6,8.6
2020-10-11,NM,35035,4.8,0,5.5,0.0,4.8,4.8
2020-10-18,NM,35035,5.0,5.0,5.6,0.0,5.0,5.0
2020-10-25,NM,35035,9.5,9.5,6.0,0.0,9.5,9.5
2020-11-01,NM,35035,7.7,7.6,5.9,0,7.9,7.7
2020-11-08,NM,35035,8.3,8.3,6.1,0.0,8.3,8.3
2020-11-15,NM,35035,10.9,10.9,6.3,0.0,10.9,10.9
2020-11-22,NM,35035,11.6,11.6,5.6,0.0,11.6,11.6
2020-11-29,NM,35035,8.1,8.1,8.1,0.0,8.1,8.1
2020-12-06,NM,35035,9.3,9.3,9.9,0.0,9.3,9.3
2020-12-13,NM,35035,10.0,10.0,8.7,0.0,10.0,10.0
2020-12-20,NM,35035,9.1,9.1,8.4,0.0,9.1,9.1
2020-12-27,NM,35035,8.9,8.9,7.3,0.0,8.9,8.9
2021-01-03,NM,35035,7.1,7.1,7.1,0.0,7.1,7.1
2021-01-10,NM,35035,6.1,6.1,6.7,0.0,6.1,6.1
2021-01-17,NM,35035,6.7,6.7,6.3,0.0,6.7,6.7
2021-01-24,NM,35035,7.4,7.4,6.9,0.0,7.4,7.4
2021-01-31,NM,35035,4.6,4.6,4.9,0.0,4.6,4.6
2021-02-07,NM,35035,4.7,4.7,5.6,0.0,4.7,4.7
2021-02-14,NM,35035,5.9,5.9,6.6,0.0,5.9,5.9
2021-02-21,NM,35035,6.3,6.3,7.3,0.0,6.3,6.3
2021-02-28,NM,35035,0,0,7.7,0.0,0,0.0
2021-03-07,NM,35035,0,0,8.0,0,0,0.0
2021-03-14,NM,35035,0,0,8.0,0.0,0,0.0
2021-03-21,NM,35035,0,0,7.6,0.0,0,0.0
2021-03-28,NM,35035,0,0,8.6,0.0,0,0.0
2021-04-04,NM,35035,0,0,6.8,0.0,0,0.0
2021-04-11,NM,35035,0,0,8.3,0.0,0,0.0
2021-04-18,NM,35035,0,0,7.3,0.0,0,0.0
2021-04-25,NM,35035,0,0,5.2,0.0,0,0.0
2021-05-02,NM,35035,0,0,7.5,0.0,0,0.0
2021-05-09,NM,35035,0,0,8.3,0.0,0,0.0
2021-05-16,NM,35035,0,0,7.7,0.0,0,0.0
2021-05-23,NM,35035,5.2,5.2,8.3,0.0,5.2,5.2
2021-05-30,NM,35035,0,0,7.0,0.0,0,0.0
2021-06-06,NM,35035,0,0,7.1,0.0,0,0.0
2021-06-13,NM,35035,0,0,8.3,0.0,0,0.0
2021-06-20,NM,35035,0,0,7.0,0.0,0,0.0
2021-06-27,NM,35035,0,0,6.9,0.0,0,0.0
2021-07-04,NM,35035,0,0,4.7,0.0,0,0.0
2021-07-11,NM,35035,0,0,4.5,0.0,0,0.0
2021-07-18,NM,35035,0,0,7.0,0.0,0,0.0
2021-07-25,NM,35035,0,0,6.7,0.0,0,0.0
2021-08-01,NM,35035,0,0,8.0,0.0,0,0.0
2021-08-08,NM,35035,0,0,9.0,0.0,0,0.0
2021-08-15,NM,35035,6.3,6.1,8.7,0.0,6.3,6.3
2021-08-22,NM,35035,7.9,7.9,8.9,0.0,7.9,7.9
2021-08-29,NM,35035,7.7,6.9,8.1,0,8.6,7.7
2021-09-05,NM,35035,5.3,5.3,8.1,0.0,5.3,5.3
2021-09-12,NM,35035,6.0,6.0,7.1,0.0,6.0,6.0
2021-09-19,NM,35035,5.7,5.7,7.7,0.0,5.7,5.7
2021-09-26,NM,35035,8.1,6.4,6.6,0.0,8.1,8.1
2021-10-03,NM,35035,12.1,12.1,6.9,0.0,12.1,12.1
2021-10-10,NM,35035,18.3,18.3,7.7,0.0,18.3,18.3
2021-10-17,NM,35035,19.7,17.9,8.9,0.0,19.7,19.7
2021-10-24,NM,35035,16.1,16.1,8.3,0.0,16.1,16.1
2021-10-31,NM,35035,15.7,15.7,7.3,0,18.3,15.7
2021-11-07,NM,35035,21.3,21.3,8.0,0.0,21.3,21.3
2021-11-14,NM,35035,19.0,19.0,7.7,0,19.3,19.0
2021-11-21,NM,35035,13.1,13.1,8.3,0,13.6,13.1
2021-11-28,NM,35035,15.6,15.6,9.6,0.0,15.6,15.6
2021-12-05,NM,35035,16.6,16.6,10.6,0.0,16.6,16.6
2021-12-12,NM,35035,12.7,12.7,10.7,0.0,12.7,12.7
2021-12-19,NM,35035,10.1,10.1,10.1,0.0,10.1,10.1
2021-12-26,NM,35035,8.3,8.3,9.1,0.0,8.3,8.3
