collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NV,32510,7.9,5.4,17.3,0.0,7.9,7.9
2020-08-09,NV,32510,0.0,0.0,17.3,0.0,0.0,0.0
2020-08-16,NV,32510,0.0,0.0,19.6,0.0,0.0,0.0
2020-08-23,NV,32510,5.1,5.1,17.9,0.0,5.1,5.1
2020-08-30,NV,32510,4.1,0.0,17.4,0.0,4.1,4.1
2020-09-06,NV,32510,4.7,4.6,17.7,0.0,4.7,4.7
2020-09-13,NV,32510,0.0,0.0,18.0,0.0,0.0,0.0
2020-09-20,NV,32510,4.3,4.3,15.1,0.0,4.3,4.3
2020-09-27,NV,32510,0.0,0.0,17.1,0.0,0.0,0.0
2020-10-04,NV,32510,7.4,6.1,14.7,0.0,7.4,7.4
2020-10-11,NV,32510,6.9,6.3,17.4,0.0,6.9,6.9
2020-10-18,NV,32510,5.6,5.4,18.3,0.0,5.6,5.6
2020-10-25,NV,32510,13.6,12.9,19.7,0.0,13.6,13.6
2020-11-01,NV,32510,34.1,17.3,16.9,0.0,34.3,34.1
2020-11-08,NV,32510,43.7,28.3,20.4,0.0,43.7,43.7
2020-11-15,NV,32510,52.7,42.3,20.4,0.0,52.7,52.7
2020-11-22,NV,32510,46.9,42.6,20.9,0.0,46.9,46.9
2020-11-29,NV,32510,56.7,53.3,22.0,0.0,56.7,56.7
2020-12-06,NV,32510,71.1,62.9,23.1,0.0,71.1,71.1
2020-12-13,NV,32510,73.4,65.3,21.1,0.0,73.4,73.4
2020-12-20,NV,32510,61.1,54.0,19.9,0.0,61.1,61.1
2020-12-27,NV,32510,45.3,42.0,21.6,0.0,45.3,45.3
2021-01-03,NV,32510,32.4,28.7,21.3,0.0,32.4,32.4
2021-01-10,NV,32510,31.0,26.6,20.1,0.0,31.0,31.0
2021-01-17,NV,32510,23.7,20.1,20.7,0.0,23.7,23.7
2021-01-24,NV,32510,16.6,13.4,21.0,0.0,16.6,16.6
2021-01-31,NV,32510,10.9,8.9,20.7,0.0,10.9,10.9
2021-02-07,NV,32510,8.0,6.4,18.7,0.0,8.0,8.0
2021-02-14,NV,32510,9.1,6.0,19.7,0.0,9.1,9.1
2021-02-21,NV,32510,7.9,5.9,18.1,0.0,8.0,7.9
2021-02-28,NV,32510,9.1,6.6,16.3,0.0,9.1,9.1
2021-03-07,NV,32510,7.4,5.3,16.6,0.0,7.4,7.4
2021-03-14,NV,32510,6.9,4.4,18.9,0.0,7.0,6.9
2021-03-21,NV,32510,4.0,0.0,18.3,0.0,4.1,4.0
2021-03-28,NV,32510,7.7,6.4,17.4,0.0,7.9,7.7
2021-04-04,NV,32510,5.4,4.6,19.6,0.0,5.7,5.4
2021-04-11,NV,32510,7.1,5.0,20.1,0.0,7.4,7.1
2021-04-18,NV,32510,8.9,7.1,20.0,0.0,9.0,8.9
2021-04-25,NV,32510,7.0,4.7,14.4,0.0,7.0,7.0
2021-05-02,NV,32510,5.9,0.0,15.3,0.0,5.9,5.9
2021-05-09,NV,32510,0.0,0.0,16.4,0.0,4.0,0.0
2021-05-16,NV,32510,0.0,0.0,17.7,0.0,0.0,0.0
2021-05-23,NV,32510,0.0,0.0,19.0,0.0,4.0,0.0
2021-05-30,NV,32510,4.1,0.0,15.0,0.0,4.1,4.1
2021-06-06,NV,32510,4.1,0.0,16.9,0.0,4.1,4.1
2021-06-13,NV,32510,0.0,0.0,13.6,0.0,4.0,0.0
2021-06-20,NV,32510,5.1,4.0,16.7,0.0,5.1,5.1
2021-06-27,NV,32510,5.0,4.3,15.7,0.0,5.0,5.0
2021-07-04,NV,32510,8.1,7.0,21.0,0.0,8.1,8.1
2021-07-11,NV,32510,4.7,4.0,19.6,0.0,4.7,4.7
2021-07-18,NV,32510,0.0,0.0,18.1,0.0,0.0,0.0
2021-07-25,NV,32510,6.4,6.4,16.3,0.0,6.6,6.4
2021-08-01,NV,32510,11.7,11.0,19.1,0.0,11.9,11.7
2021-08-08,NV,32510,17.3,17.1,21.6,0.0,17.4,17.3
2021-08-15,NV,32510,29.9,29.6,22.9,0.0,29.9,29.9
2021-08-22,NV,32510,39.3,38.4,20.0,0.0,39.6,39.3
2021-08-29,NV,32510,38.1,36.6,20.1,0.0,38.3,38.1
2021-09-05,NV,32510,52.3,50.7,20.4,0.0,52.7,52.3
2021-09-12,NV,32510,43.4,41.9,22.1,0.0,43.4,43.4
2021-09-19,NV,32510,39.0,37.9,20.4,0.0,39.3,39.0
2021-09-26,NV,32510,40.1,38.3,21.1,0.0,40.1,40.1
2021-10-03,NV,32510,32.1,31.9,18.7,0.0,32.1,32.1
2021-10-10,NV,32510,22.3,21.7,21.1,0.0,22.3,22.3
2021-10-17,NV,32510,23.3,22.7,17.9,0.0,23.3,23.3
2021-10-24,NV,32510,24.4,24.0,18.1,0.0,24.4,24.4
2021-10-31,NV,32510,28.1,27.1,19.0,0.0,28.3,28.1
2021-11-07,NV,32510,25.3,24.9,20.0,0.0,25.4,25.3
2021-11-14,NV,32510,26.3,26.3,18.7,0.0,26.3,26.3
2021-11-21,NV,32510,24.1,23.7,17.0,0.0,24.1,24.1
2021-11-28,NV,32510,19.7,19.7,18.7,0.0,19.7,19.7
2021-12-05,NV,32510,17.3,17.1,21.9,0.0,17.3,17.3
2021-12-12,NV,32510,12.3,12.3,21.0,0.0,12.4,12.3
2021-12-19,NV,32510,13.4,13.1,20.6,0.0,13.4,13.4
2021-12-26,NV,32510,16.1,16.0,19.6,0.0,16.1,16.1
