collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NV,32003,923.7,800.4000000000002,535.1,0.0,928.6,923.7
2020-08-09,NV,32003,884.5,737.6999999999999,515.7,0.0,887.6000000000001,884.5
2020-08-16,NV,32003,763.3999999999999,636.9999999999999,519.2,0.0,767.6,763.3999999999999
2020-08-23,NV,32003,648.1000000000001,556.2,503.70000000000005,0.0,653.7,648.1000000000001
2020-08-30,NV,32003,535.1999999999999,467.40000000000003,478.4,0.0,537.8,535.1999999999999
2020-09-06,NV,32003,432.3,373.70000000000005,473.30000000000007,0.0,435.40000000000003,432.3
2020-09-13,NV,32003,393.5,319.3999999999999,489.0,0.0,397.5,393.5
2020-09-20,NV,32003,363.7999999999999,295.50000000000006,483.9000000000001,0.0,367.90000000000003,363.7999999999999
2020-09-27,NV,32003,373.4,282.4,465.80000000000007,0.0,376.9,373.4
2020-10-04,NV,32003,398.00000000000006,289.4,460.80000000000007,0.0,399.7,398.00000000000006
2020-10-11,NV,32003,369.59999999999997,300.59999999999997,442.6,0.0,372.6,369.59999999999997
2020-10-18,NV,32003,377.3,318.0,472.5,0.0,382.1,377.3
2020-10-25,NV,32003,411.70000000000005,366.1,458.7000000000001,0.0,416.00000000000006,411.70000000000005
2020-11-01,NV,32003,525.8,455.40000000000003,479.59999999999997,0.0,530.2,525.8
2020-11-08,NV,32003,655.0,604.3999999999999,507.70000000000005,0.0,659.5,655.0
2020-11-15,NV,32003,867.4000000000001,806.0999999999999,537.1,0.0,871.9,867.4000000000001
2020-11-22,NV,32003,1057.3999999999999,993.5000000000001,536.5,0.0,1061.8999999999999,1057.3999999999999
2020-11-29,NV,32003,1230.6,1166.7,543.2,0.0,1235.3000000000002,1230.6
2020-12-06,NV,32003,1400.0000000000002,1335.8999999999999,578.7999999999998,0.0,1406.2,1400.0000000000002
