collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36001,9.3,8.7,17.0,0.0,9.3,9.3
2020-08-09,NY,36001,9.0,8.7,17.7,0.0,9.0,9.0
2020-08-16,NY,36001,7.4,6.7,17.7,0.0,7.4,7.4
2020-08-23,NY,36001,6.6,4.6,15.9,0.0,6.6,6.6
2020-08-30,NY,36001,10.4,8.6,17.1,0.0,10.4,10.4
2020-09-06,NY,36001,12.1,9.3,16.4,0.0,12.1,12.1
2020-09-13,NY,36001,8.9,6.3,18.6,0.0,8.9,8.9
2020-09-20,NY,36001,6.6,5.4,18.7,0.0,6.6,6.6
2020-09-27,NY,36001,5.0,0,19.3,0.0,5.0,5.0
2020-10-04,NY,36001,8.7,7.3,20.9,0.0,8.7,8.7
2020-10-11,NY,36001,14.9,12.9,20.4,0.0,14.9,14.9
2020-10-18,NY,36001,60.9,28.8,20.4,0.0,60.9,60.9
2020-10-25,NY,36001,73.7,43.0,116.6,0.0,73.7,73.7
2020-11-01,NY,36001,70.30000000000001,50.0,119.69999999999999,0.0,70.5,70.30000000000001
2020-11-08,NY,36001,94.0,70.8,102.6,0.0,94.2,94.0
2020-11-15,NY,36001,103.6,79.7,106.89999999999999,0.0,103.6,103.6
2020-11-22,NY,36001,120.0,95.3,101.9,0.0,120.5,120.0
2020-11-29,NY,36001,148.2,121.0,100.0,0.0,148.2,148.2
2020-12-06,NY,36001,145.3,122.6,103.6,0.0,145.8,145.3
2020-12-13,NY,36001,180.6,153.89999999999998,105.9,0.0,182.0,180.6
2020-12-20,NY,36001,218.0,199.3,101.4,0.0,219.0,218.0
2020-12-27,NY,36001,248.3,230.3,107.1,0.0,249.3,248.3
2021-01-03,NY,36001,284.2,268.1,113.3,0.0,285.4,284.2
2021-01-10,NY,36001,277.1,258.4,120.4,18.7,299.5,295.8
2021-01-17,NY,36001,314.8,290.7,123.1,0.0,317.5,314.8
2021-01-24,NY,36001,284.4,259.3,111.0,0,287.1,284.4
2021-01-31,NY,36001,239.7,217.89999999999998,118.80000000000001,0.0,241.60000000000002,239.7
2021-02-07,NY,36001,185.7,167.8,108.69999999999999,0.0,185.9,185.7
2021-02-14,NY,36001,139.5,119.0,96.6,0.0,140.5,139.5
2021-02-21,NY,36001,107.9,91.0,108.89999999999999,0.0,109.0,107.9
2021-02-28,NY,36001,92.1,70.6,108.9,0.0,92.3,92.1
2021-03-07,NY,36001,74.6,52.5,100.30000000000001,0.0,74.9,74.6
2021-03-14,NY,36001,66.7,49.7,106.3,0.0,66.80000000000001,66.7
2021-03-21,NY,36001,64.7,52.400000000000006,108.9,0.0,65.1,64.7
2021-03-28,NY,36001,62.400000000000006,50.400000000000006,104.0,0.0,63.2,62.400000000000006
2021-04-04,NY,36001,57.900000000000006,50.400000000000006,109.10000000000001,0.0,58.3,57.900000000000006
2021-04-11,NY,36001,59.0,52.0,102.0,0.0,59.400000000000006,59.0
2021-04-18,NY,36001,54.7,47.4,107.89999999999999,0.0,56.7,54.7
2021-04-25,NY,36001,47.3,40.099999999999994,110.0,0,48.0,47.3
2021-05-02,NY,36001,42.8,37.0,111.69999999999999,0.0,43.8,42.8
2021-05-09,NY,36001,34.0,29.0,105.1,0.0,34.8,34.0
2021-05-16,NY,36001,29.700000000000003,24.8,109.3,0.0,30.299999999999997,29.700000000000003
2021-05-23,NY,36001,26.8,19.6,108.80000000000001,0.0,27.4,26.8
2021-05-30,NY,36001,27.7,20.7,109.3,0.0,27.7,27.7
2021-06-06,NY,36001,28.4,20.8,111.39999999999999,0.0,28.4,28.4
2021-06-13,NY,36001,20.9,16.299999999999997,109.7,0.0,20.9,20.9
2021-06-20,NY,36001,10.4,6.4,106.3,0.0,10.4,10.4
2021-06-27,NY,36001,10.9,5.9,107.80000000000001,0.0,10.9,10.9
2021-07-04,NY,36001,11.0,4.3,108.80000000000001,0.0,11.0,11.0
2021-07-11,NY,36001,8.9,4.0,107.0,0.0,8.9,8.9
2021-07-18,NY,36001,6.9,0,110.9,0.0,6.9,6.9
2021-07-25,NY,36001,18.6,13.3,104.89999999999999,0.0,20.6,18.6
2021-08-01,NY,36001,26.0,21.8,102.8,0.0,28.200000000000003,26.0
2021-08-08,NY,36001,45.0,39.3,103.9,0.0,47.599999999999994,45.0
2021-08-15,NY,36001,51.1,44.3,97.7,0,52.8,51.1
2021-08-22,NY,36001,57.2,49.8,98.8,0.0,59.7,57.2
2021-08-29,NY,36001,59.8,53.8,96.7,4.0,63.8,63.8
2021-09-05,NY,36001,69.5,64.0,96.69999999999999,5.6,75.1,75.1
2021-09-12,NY,36001,75.8,70.6,100.80000000000001,4.0,79.8,79.8
2021-09-19,NY,36001,77.69999999999999,70.3,100.60000000000001,4.1,81.8,81.79999999999998
2021-09-26,NY,36001,74.1,70.6,99.10000000000001,0.0,75.8,74.1
2021-10-03,NY,36001,71.0,66.2,97.6,0.0,74.6,71.0
2021-10-10,NY,36001,78.6,74.5,100.0,0.0,81.7,78.6
2021-10-17,NY,36001,76.9,73.69999999999999,100.3,0.0,78.69999999999999,76.9
2021-10-24,NY,36001,80.4,76.0,99.8,0.0,81.7,80.4
2021-10-31,NY,36001,71.2,68.1,101.3,0.0,72.2,71.2
2021-11-07,NY,36001,78.6,73.9,100.89999999999999,0.0,79.6,78.6
2021-11-14,NY,36001,82.6,78.69999999999999,99.8,0.0,83.3,82.6
2021-11-21,NY,36001,102.1,96.1,106.39999999999999,0.0,104.7,102.1
2021-11-28,NY,36001,104.6,98.9,102.39999999999999,0.0,108.19999999999999,104.6
2021-12-05,NY,36001,115.7,110.7,95.4,4.1,119.9,119.8
2021-12-12,NY,36001,121.69999999999999,117.80000000000001,100.80000000000001,4.4,126.1,126.1
2021-12-19,NY,36001,112.0,107.3,100.0,4.4,116.39999999999999,116.4
2021-12-26,NY,36001,127.69999999999999,124.30000000000001,94.5,5.0,132.7,132.7
