collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36007,26.0,26.0,50.3,0.0,26.0,26.0
2020-08-09,NY,36007,22.8,22.8,54.2,0.0,22.8,22.8
2020-08-16,NY,36007,18.1,18.1,48.0,0.0,18.1,18.1
2020-08-23,NY,36007,19.1,19.1,46.900000000000006,0.0,19.1,19.1
2020-08-30,NY,36007,17.1,17.1,46.1,0.0,17.1,17.1
2020-09-06,NY,36007,14.3,14.3,44.8,0.0,14.3,14.3
2020-09-13,NY,36007,13.6,13.6,47.8,0.0,13.6,13.6
2020-09-20,NY,36007,11.3,11.3,47.1,0.0,11.3,11.3
2020-09-27,NY,36007,15.100000000000001,14.600000000000001,46.5,0.0,15.100000000000001,15.100000000000001
2020-10-04,NY,36007,34.4,33.0,53.3,0.0,34.4,34.4
2020-10-11,NY,36007,45.4,44.4,54.7,0.0,45.4,45.4
2020-10-18,NY,36007,57.3,52.0,55.6,0.0,57.3,57.3
2020-10-25,NY,36007,71.1,66.0,52.4,0.0,71.1,71.1
2020-11-01,NY,36007,69.7,67.9,53.199999999999996,0.0,69.7,69.7
2020-11-08,NY,36007,74.7,65.69999999999999,53.0,0.0,74.7,74.7
2020-11-15,NY,36007,78.6,70.9,52.6,0.0,78.6,78.6
2020-11-22,NY,36007,70.0,64.5,50.7,0.0,70.0,70.0
2020-11-29,NY,36007,63.9,57.599999999999994,48.9,0.0,63.9,63.9
2020-12-06,NY,36007,74.0,72.0,53.3,0.0,74.0,74.0
2020-12-13,NY,36007,84.19999999999999,80.0,45.7,0.0,84.19999999999999,84.19999999999999
2020-12-20,NY,36007,84.6,82.3,40.1,0.0,84.6,84.6
2020-12-27,NY,36007,105.30000000000001,103.5,41.1,0.0,105.30000000000001,105.30000000000001
2021-01-03,NY,36007,125.30000000000001,120.80000000000001,42.699999999999996,0.0,125.30000000000001,125.30000000000001
2021-01-10,NY,36007,150.0,144.1,41.1,0.0,150.0,150.0
2021-01-17,NY,36007,158.0,146.1,43.300000000000004,0.0,158.0,158.0
2021-01-24,NY,36007,155.7,150.3,43.8,0.0,155.7,155.7
2021-01-31,NY,36007,148.3,146.0,42.599999999999994,0.0,148.3,148.3
2021-02-07,NY,36007,128.0,126.6,42.5,0.0,128.0,128.0
2021-02-14,NY,36007,104.69999999999999,104.0,40.1,0.0,104.69999999999999,104.69999999999999
2021-02-21,NY,36007,92.60000000000001,91.0,41.6,0.0,92.60000000000001,92.60000000000001
2021-02-28,NY,36007,67.0,67.0,38.9,0.0,67.0,67.0
2021-03-07,NY,36007,65.5,65.5,37.2,0.0,65.5,65.5
2021-03-14,NY,36007,60.3,58.7,40.0,0.0,60.3,60.3
2021-03-21,NY,36007,55.0,52.900000000000006,41.199999999999996,0.0,55.0,55.0
2021-03-28,NY,36007,50.4,47.599999999999994,41.0,0.0,50.4,50.4
2021-04-04,NY,36007,45.400000000000006,42.3,38.1,0.0,45.400000000000006,45.400000000000006
2021-04-11,NY,36007,55.1,50.900000000000006,38.5,0.0,55.1,55.1
2021-04-18,NY,36007,59.2,56.5,39.199999999999996,0.0,59.2,59.2
2021-04-25,NY,36007,56.3,55.0,41.5,0.0,56.3,56.3
2021-05-02,NY,36007,50.5,49.5,39.2,0.0,50.5,50.5
2021-05-09,NY,36007,46.0,45.5,39.3,0.0,46.0,46.0
2021-05-16,NY,36007,40.0,37.7,39.900000000000006,0.0,40.0,40.0
2021-05-23,NY,36007,34.7,33.0,38.7,0.0,34.7,34.7
2021-05-30,NY,36007,33.7,33.7,37.6,0.0,33.7,33.7
2021-06-06,NY,36007,16.7,16.7,39.9,0.0,16.7,16.7
2021-06-13,NY,36007,10.4,10.4,38.3,0.0,10.4,10.4
2021-06-20,NY,36007,9.1,9.1,38.6,0.0,9.1,9.1
2021-06-27,NY,36007,5.9,5.9,33.7,0.0,5.9,5.9
2021-07-04,NY,36007,7.4,7.4,38.1,0.0,7.4,7.4
2021-07-11,NY,36007,5.6,5.6,39.7,0.0,5.6,5.6
2021-07-18,NY,36007,5.9,5.9,38.0,0.0,5.9,5.9
2021-07-25,NY,36007,5.6,5.6,35.699999999999996,0.0,5.6,5.6
2021-08-01,NY,36007,13.3,8.9,38.0,0.0,13.3,13.3
