collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36009,0,0.0,0.0,0.0,0,0.0
2020-08-09,NY,36009,5.0,0.0,0.0,0.0,5.0,5.0
2020-08-23,NY,36009,0,0,9.3,0.0,0,0.0
2020-08-30,NY,36009,4.6,0,9.0,0.0,4.6,4.6
2020-09-06,NY,36009,4.2,0,9.5,0.0,4.2,4.2
2020-09-13,NY,36009,0,0,7.0,0.0,0,0.0
2020-09-20,NY,36009,0,0,0.0,0,0,0.0
2020-09-27,NY,36009,0,0.0,0.0,0,5.2,0.0
2020-10-04,NY,36009,12.5,7.0,9.0,0.0,12.5,12.5
2020-10-11,NY,36009,13.3,8.3,7.5,0.0,13.3,13.3
2020-10-18,NY,36009,20.0,14.5,11.5,0.0,20.0,20.0
2020-10-25,NY,36009,19.0,17.4,11.0,0.0,19.0,19.0
2020-11-01,NY,36009,15.9,12.7,9.6,0,16.0,15.9
2020-11-08,NY,36009,14.4,8.9,9.0,0,16.0,14.4
2020-11-15,NY,36009,15.1,11.0,10.3,0.0,15.1,15.1
2020-11-22,NY,36009,23.4,17.7,10.3,0.0,23.4,23.4
2020-11-29,NY,36009,27.9,18.0,11.0,0,28.0,27.9
2020-12-06,NY,36009,35.9,30.0,13.7,0.0,35.9,35.9
2020-12-13,NY,36009,38.4,33.9,14.1,0.0,38.4,38.4
2020-12-20,NY,36009,36.9,32.4,10.4,0.0,36.9,36.9
2020-12-27,NY,36009,41.9,39.6,10.0,0.0,41.9,41.9
2021-01-03,NY,36009,45.6,41.3,16.0,0.0,45.6,45.6
2021-01-10,NY,36009,46.0,43.1,14.7,0.0,46.0,46.0
2021-01-17,NY,36009,39.6,36.6,12.4,0.0,39.6,39.6
2021-01-24,NY,36009,32.0,31.1,11.9,0.0,32.0,32.0
2021-01-31,NY,36009,27.4,26.3,10.9,0.0,27.4,27.4
2021-02-07,NY,36009,24.1,22.6,12.4,0.0,24.1,24.1
2021-02-14,NY,36009,19.0,18.3,10.3,0.0,19.0,19.0
2021-02-21,NY,36009,18.1,17.6,11.4,0.0,18.1,18.1
2021-02-28,NY,36009,13.4,13.0,10.3,0.0,13.4,13.4
2021-03-07,NY,36009,7.4,7.3,6.3,0,7.6,7.4
2021-03-14,NY,36009,6.6,6.3,7.7,0.0,6.6,6.6
2021-03-21,NY,36009,7.9,7.6,6.3,0.0,7.9,7.9
2021-03-28,NY,36009,11.4,10.4,7.7,0.0,11.4,11.4
2021-04-04,NY,36009,9.9,9.6,8.3,0.0,9.9,9.9
2021-04-11,NY,36009,17.7,17.4,10.6,0.0,17.7,17.7
2021-04-18,NY,36009,21.7,21.3,11.0,0.0,21.7,21.7
2021-04-25,NY,36009,19.6,19.3,10.7,0.0,19.6,19.6
2021-05-02,NY,36009,13.9,13.7,11.4,0.0,13.9,13.9
2021-05-09,NY,36009,13.6,13.6,9.4,0.0,13.6,13.6
2021-05-16,NY,36009,11.6,11.6,9.1,0.0,11.6,11.6
2021-05-23,NY,36009,11.0,10.3,10.9,0.0,11.0,11.0
2021-05-30,NY,36009,6.6,6.6,9.9,0.0,6.6,6.6
2021-06-06,NY,36009,0,0,7.7,0.0,0,0.0
2021-06-13,NY,36009,0,0,6.7,0.0,0,0.0
2021-06-20,NY,36009,0,0,6.4,0.0,0,0.0
2021-06-27,NY,36009,0,0,7.3,0.0,0,0.0
2021-07-04,NY,36009,0,0,7.6,0.0,0,0.0
2021-07-11,NY,36009,0,0,8.3,0.0,0,0.0
2021-07-18,NY,36009,5.1,5.1,7.0,0.0,5.1,5.1
2021-07-25,NY,36009,6.9,6.9,8.9,0.0,6.9,6.9
2021-08-01,NY,36009,5.0,5.0,9.1,0.0,5.0,5.0
2021-08-08,NY,36009,4.0,4.0,8.4,0.0,4.0,4.0
2021-08-15,NY,36009,5.7,5.7,4.4,0.0,5.7,5.7
2021-08-22,NY,36009,6.7,6.7,5.4,0.0,6.7,6.7
2021-08-29,NY,36009,11.7,11.3,5.9,0.0,11.7,11.7
2021-09-05,NY,36009,12.7,12.6,6.3,0.0,12.7,12.7
2021-09-12,NY,36009,16.0,16.0,6.6,0.0,16.0,16.0
2021-09-19,NY,36009,20.9,20.9,7.0,0.0,20.9,20.9
2021-09-26,NY,36009,24.4,24.4,8.1,0.0,24.4,24.4
2021-10-03,NY,36009,25.0,25.0,7.3,0.0,25.0,25.0
2021-10-10,NY,36009,31.3,31.1,8.9,0.0,31.3,31.3
2021-10-17,NY,36009,45.1,45.1,6.7,0.0,45.1,45.1
2021-10-24,NY,36009,43.1,43.1,9.7,0.0,43.1,43.1
2021-10-31,NY,36009,39.9,39.9,8.3,0.0,39.9,39.9
2021-11-07,NY,36009,43.9,43.9,7.6,0.0,43.9,43.9
2021-11-14,NY,36009,38.6,38.6,8.4,0.0,38.6,38.6
2021-11-21,NY,36009,46.7,46.7,8.3,0.0,46.7,46.7
2021-11-28,NY,36009,40.7,40.7,9.3,0.0,40.7,40.7
2021-12-05,NY,36009,38.9,38.6,8.4,0.0,38.9,38.9
2021-12-12,NY,36009,35.1,35.1,9.1,0.0,35.1,35.1
2021-12-19,NY,36009,30.0,30.0,9.0,0.0,30.0,30.0
2021-12-26,NY,36009,31.4,31.4,8.3,0.0,31.4,31.4
