collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36013,0,0.0,30.200000000000003,0.0,0,0.0
2020-08-09,NY,36013,0.0,0.0,4.6,0.0,0.0,0.0
2020-08-16,NY,36013,0.0,0.0,6.4,0.0,0.0,0.0
2020-08-23,NY,36013,0.0,0.0,8.1,0.0,0.0,0.0
2020-08-30,NY,36013,0.0,0.0,9.3,0.0,0.0,0.0
2020-09-06,NY,36013,0.0,0.0,7.1,0.0,0.0,0.0
2020-09-13,NY,36013,0.0,0.0,7.4,0.0,0.0,0.0
2020-09-20,NY,36013,0.0,0.0,5.1,0.0,0.0,0.0
2020-09-27,NY,36013,0.0,0.0,6.7,0.0,0.0,0.0
2020-10-04,NY,36013,0.0,0.0,5.9,0.0,4.2,0.0
2020-10-11,NY,36013,13.4,13.3,6.1,0.0,13.4,13.4
2020-10-18,NY,36013,12.7,12.7,7.4,0.0,12.7,12.7
2020-10-25,NY,36013,22.6,21.4,6.9,0.0,22.6,22.6
2020-11-01,NY,36013,22.9,22.6,9.2,0.0,22.9,22.9
2020-11-08,NY,36013,8.3,8.3,11.7,0.0,8.3,8.3
2020-11-15,NY,36013,8.1,8.1,14.200000000000001,0.0,8.1,8.1
2020-11-22,NY,36013,12.5,12.100000000000001,14.6,0.0,12.5,12.5
2020-11-29,NY,36013,15.9,15.4,14.9,0.0,15.9,15.9
2020-12-06,NY,36013,22.6,21.5,12.2,0.0,22.7,22.6
2020-12-13,NY,36013,34.0,33.0,13.600000000000001,0.0,34.0,34.0
2020-12-20,NY,36013,35.7,35.0,5.6,0.0,35.7,35.7
2020-12-27,NY,36013,44.3,43.3,11.100000000000001,0.0,44.3,44.3
2021-01-03,NY,36013,45.7,44.8,10.7,0.0,45.7,45.7
2021-01-10,NY,36013,49.0,48.5,8.3,0.0,49.099999999999994,49.0
2021-01-17,NY,36013,40.7,40.3,12.0,0.0,41.1,40.7
2021-01-24,NY,36013,37.1,36.4,13.8,0.0,37.1,37.1
2021-01-31,NY,36013,33.0,31.6,11.5,0.0,33.0,33.0
2021-02-07,NY,36013,25.2,24.0,5.9,0.0,25.5,25.2
2021-02-14,NY,36013,9.7,9.7,9.0,0.0,9.7,9.7
2021-02-21,NY,36013,6.6,6.6,5.7,0.0,6.6,6.6
2021-02-28,NY,36013,5.9,5.9,5.0,0.0,5.9,5.9
2021-03-07,NY,36013,5.4,5.4,6.1,0.0,5.4,5.4
2021-03-14,NY,36013,6.3,6.3,9.1,0.0,6.3,6.3
2021-03-21,NY,36013,0.0,0.0,8.7,0.0,0.0,0.0
2021-03-28,NY,36013,0.0,0.0,9.7,0.0,0.0,0.0
2021-04-04,NY,36013,7.0,7.0,10.3,0.0,7.0,7.0
2021-04-11,NY,36013,13.2,13.0,7.1,0.0,13.2,13.2
