collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36015,0.0,0.0,15.4,0.0,0.0,0.0
2020-08-09,NY,36015,0.0,0.0,14.9,0.0,0.0,0.0
2020-08-16,NY,36015,0.0,0.0,14.7,0.0,0.0,0.0
2020-08-23,NY,36015,0.0,0.0,14.9,0.0,0.0,0.0
2020-08-30,NY,36015,0.0,0.0,16.9,0.0,0.0,0.0
2020-09-06,NY,36015,0,0,16.3,0.0,0,0.0
2020-09-13,NY,36015,0,0,15.1,0.0,0,0.0
2020-09-20,NY,36015,0,0,13.6,0.0,0,0.0
2020-09-27,NY,36015,4.0,4.0,14.6,0.0,4.0,4.0
2020-10-04,NY,36015,10.0,10.0,15.0,0.0,10.0,10.0
2020-10-11,NY,36015,16.7,16.7,16.3,0.0,16.7,16.7
2020-10-18,NY,36015,23.1,23.1,14.1,0.0,23.1,23.1
2020-10-25,NY,36015,30.7,30.7,14.0,0.0,30.7,30.7
2020-11-01,NY,36015,36.7,36.7,17.4,0.0,36.7,36.7
2020-11-08,NY,36015,36.6,36.6,17.6,0.0,36.6,36.6
2020-11-15,NY,36015,33.6,33.6,17.3,0.0,33.6,33.6
2020-11-22,NY,36015,37.3,37.3,15.3,0.0,37.3,37.3
2020-11-29,NY,36015,39.0,39.0,16.1,0.0,39.0,39.0
2020-12-06,NY,36015,39.4,39.4,16.0,0.0,39.4,39.4
2020-12-13,NY,36015,36.1,36.1,15.9,0,36.3,36.1
2020-12-20,NY,36015,31.4,31.4,16.3,0.0,31.4,31.4
2020-12-27,NY,36015,27.1,27.1,16.9,0,27.3,27.1
2021-01-03,NY,36015,24.1,24.1,17.4,0.0,24.1,24.1
2021-01-10,NY,36015,28.4,28.4,18.7,0.0,28.4,28.4
2021-01-17,NY,36015,29.7,29.7,17.0,0.0,29.7,29.7
2021-01-24,NY,36015,31.0,31.0,18.9,0.0,31.0,31.0
2021-01-31,NY,36015,29.7,29.7,18.0,0.0,29.7,29.7
2021-02-07,NY,36015,25.7,25.7,15.9,0.0,25.7,25.7
2021-02-14,NY,36015,18.6,18.6,16.0,0.0,18.6,18.6
2021-02-21,NY,36015,12.6,12.6,13.7,0.0,12.6,12.6
2021-02-28,NY,36015,6.9,6.9,10.0,0.0,6.9,6.9
2021-03-07,NY,36015,6.1,6.1,12.6,0.0,6.1,6.1
2021-03-14,NY,36015,4.6,4.6,12.4,0,4.7,4.6
2021-03-21,NY,36015,6.6,6.6,16.1,0,7.3,6.6
2021-03-28,NY,36015,10.0,10.0,13.7,0.0,10.0,10.0
2021-04-04,NY,36015,12.1,12.1,13.3,0.0,12.1,12.1
2021-04-11,NY,36015,11.7,11.7,14.1,0.0,11.7,11.7
2021-04-18,NY,36015,9.3,9.3,14.7,0.0,9.3,9.3
2021-04-25,NY,36015,10.0,9.6,10.0,0.0,10.0,10.0
2021-05-02,NY,36015,7.9,7.9,14.9,0.0,7.9,7.9
2021-05-09,NY,36015,0,0,12.9,0.0,0,0.0
2021-05-16,NY,36015,0,0,8.0,0.0,0,0.0
2021-05-23,NY,36015,5.0,5.0,12.0,0.0,5.0,5.0
2021-05-30,NY,36015,6.1,6.1,10.7,0.0,6.1,6.1
2021-06-06,NY,36015,4.3,4.3,14.9,0.0,4.3,4.3
2021-06-13,NY,36015,0,0,14.6,0.0,0,0.0
2021-06-20,NY,36015,0,0,16.0,0.0,0,0.0
2021-06-27,NY,36015,0,0,16.4,0.0,0,0.0
2021-07-04,NY,36015,0,0,17.1,0.0,0,0.0
2021-07-11,NY,36015,0,0,17.0,0.0,0,0.0
2021-07-18,NY,36015,0,0,15.6,0.0,0,0.0
2021-07-25,NY,36015,0,0,15.1,0.0,0,0.0
2021-08-01,NY,36015,4.3,4.3,14.6,0.0,4.3,4.3
2021-08-08,NY,36015,0,0,14.7,0.0,0,0.0
2021-08-15,NY,36015,4.4,4.4,14.0,0.0,4.4,4.4
2021-08-22,NY,36015,7.7,7.7,15.3,0.0,7.7,7.7
2021-08-29,NY,36015,13.7,13.7,14.6,0.0,13.7,13.7
2021-09-05,NY,36015,20.9,20.9,15.6,0.0,20.9,20.9
