collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36027,30.3,0,22.1,0.0,30.3,30.3
2020-08-09,NY,36027,40.0,0,23.6,0.0,40.0,40.0
2020-08-16,NY,36027,31.7,6.0,27.0,0.0,31.7,31.7
2020-08-23,NY,36027,32.1,7.1,25.200000000000003,0.0,32.1,32.1
2020-08-30,NY,36027,24.9,4.1,26.9,0.0,24.9,24.9
2020-09-06,NY,36027,27.7,0.0,24.4,0.0,27.7,27.7
2020-09-13,NY,36027,24.6,0.0,18.6,0.0,24.6,24.6
2020-09-20,NY,36027,29.3,0,20.5,0.0,29.3,29.3
2020-09-27,NY,36027,28.0,0,22.1,0.0,28.0,28.0
2020-10-04,NY,36027,32.7,7.6,19.4,0.0,32.7,32.7
2020-10-11,NY,36027,29.2,6.2,22.2,0.0,29.3,29.2
2020-10-18,NY,36027,20.0,6.6,21.9,0.0,20.0,20.0
2020-10-25,NY,36027,23.1,6.6,24.6,0.0,23.1,23.1
2020-11-01,NY,36027,22.4,9.0,21.0,0.0,22.4,22.4
2020-11-08,NY,36027,39.1,16.9,23.6,0.0,39.1,39.1
2020-11-15,NY,36027,60.8,28.9,22.3,0.0,60.8,60.8
2020-11-22,NY,36027,67.3,40.0,23.3,0.0,67.3,67.3
2020-11-29,NY,36027,79.2,58.199999999999996,33.0,0.0,79.2,79.2
2020-12-06,NY,36027,103.8,80.4,34.0,0.0,103.8,103.8
2020-12-13,NY,36027,120.39999999999999,85.6,36.6,0.0,120.39999999999999,120.39999999999999
2020-12-20,NY,36027,126.69999999999999,88.5,42.6,0.0,126.69999999999999,126.69999999999999
2020-12-27,NY,36027,146.60000000000002,109.6,46.5,0.0,146.60000000000002,146.60000000000002
2021-01-03,NY,36027,150.79999999999998,115.0,42.0,0.0,150.79999999999998,150.79999999999998
2021-01-10,NY,36027,156.7,119.39999999999999,38.4,0.0,156.7,156.7
2021-01-17,NY,36027,147.6,112.6,35.5,0.0,147.6,147.6
2021-01-24,NY,36027,149.79999999999998,113.2,40.6,0.0,150.0,149.79999999999998
2021-01-31,NY,36027,131.1,94.4,34.3,0.0,131.5,131.1
2021-02-07,NY,36027,100.10000000000001,65.8,37.7,0.0,100.30000000000001,100.10000000000001
2021-02-14,NY,36027,79.0,44.5,28.7,0.0,79.0,79.0
2021-02-21,NY,36027,56.699999999999996,22.1,21.7,0.0,56.699999999999996,56.699999999999996
2021-02-28,NY,36027,62.3,27.1,29.7,0.0,62.3,62.3
2021-03-07,NY,36027,44.199999999999996,25.1,37.1,0.0,44.199999999999996,44.199999999999996
2021-03-14,NY,36027,58.5,40.7,35.1,0.0,58.5,58.5
2021-03-21,NY,36027,58.5,45.599999999999994,35.7,0.0,58.5,58.5
2021-03-28,NY,36027,62.0,48.0,36.3,0.0,62.0,62.0
