collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36045,0.0,0,0,0.0,0.0,0.0
2020-08-09,NY,36045,0.0,0,0,0.0,0.0,0.0
2020-08-16,NY,36045,0.0,0,0,0.0,0.0,0.0
2020-08-23,NY,36045,0.0,0,0,0.0,0.0,0.0
2020-08-30,NY,36045,0,0,0,0.0,0.0,0.0
2020-09-06,NY,36045,0,0,0,0.0,0.0,0.0
2020-09-13,NY,36045,0.0,0,0,0.0,0.0,0.0
2020-09-20,NY,36045,0.0,0,0,0.0,0.0,0.0
2020-09-27,NY,36045,0.0,0.0,0,0.0,0.0,0.0
2020-10-04,NY,36045,0.0,0,4.3,0.0,0.0,0.0
2020-10-11,NY,36045,0.0,0.0,5.2,0.0,0.0,0.0
2020-10-18,NY,36045,0.0,0.0,5.1,0.0,0.0,0.0
2020-10-25,NY,36045,0.0,0.0,4.5,0.0,0.0,0.0
2020-11-01,NY,36045,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08,NY,36045,0.0,0.0,4.6,0.0,0.0,0.0
2020-11-15,NY,36045,4.7,0.0,5.4,0.0,4.7,4.7
2020-11-22,NY,36045,0.0,0.0,7.0,0.0,0.0,0.0
2020-11-29,NY,36045,5.6,0.0,5.6,0.0,5.6,5.6
2020-12-06,NY,36045,11.3,0.0,5.4,0.0,11.3,11.3
2020-12-13,NY,36045,22.299999999999997,5.9,8.7,0.0,22.299999999999997,22.299999999999997
2020-12-20,NY,36045,22.0,5.9,6.0,0.0,22.0,22.0
2020-12-27,NY,36045,22.700000000000003,4.6,7.6,0.0,22.700000000000003,22.700000000000003
2021-01-03,NY,36045,27.299999999999997,5.6,10.1,0.0,27.299999999999997,27.299999999999997
2021-01-10,NY,36045,32.3,8.4,9.1,0.0,32.3,32.3
2021-01-17,NY,36045,27.799999999999997,7.1,9.9,0.0,27.799999999999997,27.799999999999997
2021-01-24,NY,36045,25.8,6.7,5.4,0.0,25.8,25.8
2021-01-31,NY,36045,26.1,5.1,7.3,0.0,26.1,26.1
2021-02-07,NY,36045,16.3,0.0,7.7,0.0,16.6,16.3
2021-02-14,NY,36045,9.6,0.0,4.4,0.0,9.6,9.6
2021-02-21,NY,36045,12.3,4.7,0.0,0.0,12.3,12.3
2021-02-28,NY,36045,6.0,0.0,0.0,0.0,6.0,6.0
2021-03-07,NY,36045,5.1,0.0,0.0,0.0,5.1,5.1
2021-03-14,NY,36045,0.0,0.0,4.6,0.0,0.0,0.0
2021-03-21,NY,36045,0.0,0.0,5.0,0.0,0.0,0.0
2021-03-28,NY,36045,0.0,0.0,5.0,0.0,0.0,0.0
2021-04-04,NY,36045,6.1,0.0,6.1,0.0,6.1,6.1
2021-04-11,NY,36045,7.1,0.0,5.1,0.0,7.1,7.1
2021-04-18,NY,36045,7.0,0.0,6.1,0.0,7.0,7.0
2021-04-25,NY,36045,7.6,0.0,0.0,0.0,7.6,7.6
2021-05-02,NY,36045,6.3,0.0,5.3,0.0,6.3,6.3
2021-05-09,NY,36045,5.4,0.0,4.1,0.0,5.4,5.4
2021-05-16,NY,36045,6.6,0.0,4.9,0.0,6.6,6.6
2021-05-23,NY,36045,7.0,0.0,0.0,0.0,7.0,7.0
2021-05-30,NY,36045,4.3,0.0,0.0,0.0,4.3,4.3
2021-06-06,NY,36045,0,0.0,4.3,0.0,0,0.0
2021-06-13,NY,36045,0,0.0,4.9,0.0,0,0.0
2021-06-20,NY,36045,0,0.0,0.0,0.0,0,0.0
2021-06-27,NY,36045,0,0.0,0.0,0.0,0,0.0
2021-07-04,NY,36045,0.0,0.0,5.6,0.0,0.0,0.0
2021-07-11,NY,36045,0.0,0.0,6.6,0.0,0.0,0.0
2021-07-18,NY,36045,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-25,NY,36045,0.0,0.0,4.3,0.0,0.0,0.0
2021-08-01,NY,36045,4.7,0.0,5.6,0.0,4.9,4.7
2021-08-08,NY,36045,5.1,0.0,6.0,0.0,5.1,5.1
2021-08-15,NY,36045,0.0,0.0,4.1,0.0,0.0,0.0
2021-08-22,NY,36045,5.7,0.0,0.0,0.0,5.7,5.7
2021-08-29,NY,36045,5.7,0.0,0.0,0.0,5.7,5.7
2021-09-05,NY,36045,9.1,0.0,8.4,0.0,9.1,9.1
2021-09-12,NY,36045,9.1,0.0,5.3,0.0,9.1,9.1
2021-09-19,NY,36045,7.7,0.0,0.0,0.0,7.7,7.7
2021-09-26,NY,36045,11.7,0.0,7.3,0.0,11.7,11.7
2021-10-03,NY,36045,18.3,0.0,6.9,0.0,18.3,18.3
2021-10-10,NY,36045,20.1,0.0,6.9,0.0,20.1,20.1
2021-10-17,NY,36045,18.3,0.0,7.0,0.0,18.3,18.3
2021-10-24,NY,36045,19.6,0.0,10.4,0.0,19.6,19.6
2021-10-31,NY,36045,19.1,0.0,8.9,0.0,19.1,19.1
2021-11-07,NY,36045,19.6,0.0,5.9,0.0,19.6,19.6
2021-11-14,NY,36045,20.7,0.0,9.0,0.0,20.7,20.7
2021-11-21,NY,36045,19.1,0.0,9.4,0.0,19.1,19.1
2021-11-28,NY,36045,31.6,6.0,10.3,0.0,31.6,31.6
2021-12-05,NY,36045,25.6,4.6,9.0,0.0,25.6,25.6
2021-12-12,NY,36045,23.9,5.0,6.0,0.0,23.9,23.9
2021-12-19,NY,36045,18.9,0.0,9.0,0.0,19.1,18.9
2021-12-26,NY,36045,17.1,0.0,5.7,0.0,17.1,17.1
