collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36051,0,0.0,4.6,0.0,0,0.0
2020-08-09,NY,36051,0,0.0,0,0.0,0,0.0
2020-08-16,NY,36051,0,0,5.7,0.0,0,0.0
2020-08-23,NY,36051,0,0,4.6,0.0,0,0.0
2020-08-30,NY,36051,0,0,4.1,0.0,0,0.0
2020-09-06,NY,36051,0,0,0,0.0,0,0.0
2020-09-13,NY,36051,0,0.0,4.0,0.0,0,0.0
2020-09-20,NY,36051,0,0,5.0,0.0,0,0.0
2020-09-27,NY,36051,0,0.0,0,0.0,0,0.0
2020-10-04,NY,36051,0,0,4.0,0.0,0,0.0
2020-10-11,NY,36051,0,0.0,4.6,0.0,0,0.0
2020-10-18,NY,36051,0,0,0,0.0,0,0.0
2020-10-25,NY,36051,0,0,4.3,0.0,0,0.0
2020-11-01,NY,36051,0,0,0,0.0,0,0.0
2020-11-08,NY,36051,0,0,4.6,0.0,0,0.0
2020-11-15,NY,36051,5.9,0,5.4,0.0,5.9,5.9
2020-11-22,NY,36051,7.6,5.1,5.4,0.0,7.6,7.6
2020-11-29,NY,36051,5.0,0,4.7,0.0,5.0,5.0
2020-12-06,NY,36051,5.7,4.1,5.4,0.0,5.7,5.7
2020-12-13,NY,36051,6.0,0,4.6,0.0,6.0,6.0
2020-12-20,NY,36051,5.3,0,5.0,0.0,5.3,5.3
2020-12-27,NY,36051,10.7,8.3,7.4,0.0,10.7,10.7
2021-01-03,NY,36051,15.9,13.9,7.0,0.0,15.9,15.9
2021-01-10,NY,36051,15.9,14.7,6.0,0.0,15.9,15.9
2021-01-17,NY,36051,17.1,15.4,5.6,0.0,17.1,17.1
2021-01-24,NY,36051,14.3,12.9,6.7,0.0,14.3,14.3
2021-01-31,NY,36051,8.4,7.4,0,0.0,8.4,8.4
2021-02-07,NY,36051,9.3,9.1,0,0.0,9.3,9.3
2021-02-14,NY,36051,10.1,9.6,4.6,0.0,10.1,10.1
2021-02-21,NY,36051,5.1,4.7,0,0.0,5.1,5.1
2021-02-28,NY,36051,4.9,4.1,4.6,0.0,4.9,4.9
2021-03-07,NY,36051,0,0,4.4,0.0,0,0.0
2021-03-14,NY,36051,0,0,0,0.0,0,0.0
2021-03-21,NY,36051,0,0,4.6,0.0,0,0.0
2021-03-28,NY,36051,0,0,6.0,0.0,0,0.0
2021-04-04,NY,36051,0,0,5.6,0.0,0,0.0
2021-04-11,NY,36051,0,0,5.9,0.0,0,0.0
2021-04-18,NY,36051,0,0,4.9,0.0,0,0.0
2021-04-25,NY,36051,0,0,4.6,0.0,0,0.0
2021-05-02,NY,36051,0,0,4.1,0.0,0,0.0
2021-05-09,NY,36051,0,0,4.1,0.0,0,0.0
2021-05-16,NY,36051,0,0,5.1,0.0,0,0.0
2021-05-23,NY,36051,0,0,0,0.0,0,0.0
2021-05-30,NY,36051,0,0,0,0.0,0,0.0
2021-06-06,NY,36051,0,0,4.3,0.0,0,0.0
2021-06-13,NY,36051,0,0,4.7,0.0,0,0.0
2021-06-20,NY,36051,0.0,0.0,0,0.0,0.0,0.0
2021-06-27,NY,36051,0,0,0,0.0,0,0.0
2021-07-04,NY,36051,0.0,0.0,0,0.0,0.0,0.0
2021-07-11,NY,36051,0.0,0.0,0,0.0,0.0,0.0
2021-07-18,NY,36051,0,0.0,0,0.0,0,0.0
2021-07-25,NY,36051,0.0,0.0,0,0.0,0.0,0.0
2021-08-01,NY,36051,0.0,0.0,0,0.0,0.0,0.0
2021-08-08,NY,36051,0,0,0,0.0,0,0.0
2021-08-15,NY,36051,0,0,4.3,0.0,0,0.0
2021-08-22,NY,36051,0,0,4.1,0.0,0,0.0
2021-08-29,NY,36051,5.7,5.7,6.3,0.0,5.7,5.7
2021-09-05,NY,36051,9.0,9.0,6.9,0.0,9.0,9.0
2021-09-12,NY,36051,6.7,6.7,6.4,0.0,6.7,6.7
2021-09-19,NY,36051,7.4,7.4,5.7,0.0,7.4,7.4
2021-09-26,NY,36051,7.0,7.0,5.4,0.0,7.0,7.0
2021-10-03,NY,36051,6.4,6.4,5.7,0.0,6.4,6.4
2021-10-10,NY,36051,5.0,5.0,6.3,0.0,5.0,5.0
2021-10-17,NY,36051,4.6,4.6,5.6,0.0,4.6,4.6
2021-10-24,NY,36051,8.3,8.3,6.1,0.0,8.3,8.3
2021-10-31,NY,36051,8.4,8.4,6.4,0.0,8.4,8.4
2021-11-07,NY,36051,11.7,11.7,6.1,0.0,11.7,11.7
2021-11-14,NY,36051,14.7,14.7,6.1,0.0,14.7,14.7
2021-11-21,NY,36051,21.0,21.0,6.1,0.0,21.0,21.0
2021-11-28,NY,36051,24.7,24.7,6.0,0.0,24.7,24.7
2021-12-05,NY,36051,22.0,22.0,5.7,0.0,22.0,22.0
2021-12-12,NY,36051,15.4,15.4,6.0,0.0,15.4,15.4
2021-12-19,NY,36051,13.0,13.0,5.7,0.0,13.0,13.0
2021-12-26,NY,36051,12.7,12.4,6.1,0.0,12.7,12.7
