collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36053,0,0.0,0,0.0,0,0.0
2020-08-09,NY,36053,0,0.0,0,0.0,0,0.0
2020-08-16,NY,36053,0,0.0,0,0.0,0,0.0
2020-08-23,NY,36053,0,0.0,4.0,0.0,0,0.0
2020-08-30,NY,36053,0,0.0,0,0.0,0,0.0
2020-09-06,NY,36053,0.0,0.0,0,0.0,0.0,0.0
2020-09-13,NY,36053,0.0,0.0,0,0.0,0.0,0.0
2020-09-20,NY,36053,0.0,0.0,0,0.0,0.0,0.0
2020-09-27,NY,36053,0.0,0.0,0,0.0,0.0,0.0
2020-10-04,NY,36053,0.0,0.0,0,0.0,0.0,0.0
2020-10-11,NY,36053,0.0,0.0,0,0.0,0.0,0.0
2020-10-18,NY,36053,0,0.0,0,0.0,0,0.0
2020-10-25,NY,36053,0.0,0.0,0,0.0,0.0,0.0
2020-11-01,NY,36053,0.0,0.0,0,0.0,0.0,0.0
2020-11-08,NY,36053,0.0,0.0,0,0.0,0.0,0.0
2020-11-15,NY,36053,5.0,5.0,5.0,0.0,5.0,5.0
2020-11-22,NY,36053,5.0,5.0,5.0,0.0,5.0,5.0
2020-11-29,NY,36053,5.0,5.0,5.0,0.0,5.0,5.0
2020-12-06,NY,36053,9.1,9.1,5.0,0.0,9.1,9.1
2020-12-13,NY,36053,19.3,19.3,4.4,0.0,19.3,19.3
2020-12-20,NY,36053,19.5,19.5,4.4,0.0,19.5,19.5
2020-12-27,NY,36053,11.0,11.0,4.9,0.0,11.0,11.0
2021-01-03,NY,36053,19.6,19.5,5.4,0.0,19.6,19.6
2021-01-10,NY,36053,20.700000000000003,20.700000000000003,5.0,0.0,20.700000000000003,20.700000000000003
2021-01-17,NY,36053,15.6,15.6,0.0,0.0,15.6,15.6
2021-01-24,NY,36053,13.5,13.5,0.0,0.0,13.5,13.5
2021-01-31,NY,36053,4.3,4.3,0.0,0.0,4.3,4.3
2021-02-07,NY,36053,4.4,4.4,4.1,0.0,4.4,4.4
2021-02-14,NY,36053,4.7,4.7,0.0,0.0,4.7,4.7
2021-02-21,NY,36053,0,0,0.0,0.0,0,0.0
2021-02-28,NY,36053,0,0,0.0,0.0,0,0.0
2021-03-07,NY,36053,0,0,5.0,0.0,0,0.0
2021-03-14,NY,36053,0,0,0.0,0.0,0,0.0
2021-03-21,NY,36053,0,0,0.0,0.0,0,0.0
2021-03-28,NY,36053,0,0,0.0,0.0,0,0.0
2021-04-04,NY,36053,4.1,4.1,4.1,0.0,4.1,4.1
2021-04-11,NY,36053,5.0,5.0,4.4,0.0,5.0,5.0
2021-04-18,NY,36053,4.4,4.4,0.0,0.0,4.4,4.4
2021-04-25,NY,36053,0,0,0.0,0.0,0,0.0
2021-05-02,NY,36053,0,0,0.0,0.0,0,0.0
2021-05-09,NY,36053,0,0,0.0,0.0,0,0.0
2021-05-16,NY,36053,0,0,0.0,0.0,0,0.0
2021-05-23,NY,36053,0,0,0.0,0.0,0,0.0
2021-05-30,NY,36053,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-06,NY,36053,0,0,4.4,0.0,0,0.0
2021-06-13,NY,36053,0,0,5.1,0.0,0,0.0
2021-06-20,NY,36053,0.0,0.0,4.3,0.0,0.0,0.0
2021-06-27,NY,36053,0.0,0.0,5.3,0.0,0.0,0.0
2021-07-04,NY,36053,0.0,0.0,4.7,0.0,0.0,0.0
2021-07-11,NY,36053,0.0,0.0,4.7,0.0,0.0,0.0
2021-07-18,NY,36053,0.0,0.0,5.6,0.0,0.0,0.0
2021-07-25,NY,36053,0.0,0.0,4.1,0.0,0.0,0.0
2021-08-01,NY,36053,0,0,0.0,0.0,0,0.0
2021-08-08,NY,36053,0,0,4.9,0.0,0,0.0
2021-08-15,NY,36053,0,0,4.7,0.0,0,0.0
2021-08-22,NY,36053,0.0,0.0,4.1,0.0,0.0,0.0
2021-08-29,NY,36053,0,0,0.0,0.0,0,0.0
2021-09-05,NY,36053,6.4,6.4,5.1,0.0,6.4,6.4
2021-09-12,NY,36053,4.0,4.0,0.0,0.0,4.0,4.0
2021-09-19,NY,36053,6.9,6.9,4.6,0.0,6.9,6.9
2021-09-26,NY,36053,21.6,7.3,4.0,0.0,21.6,21.6
2021-10-03,NY,36053,9.0,9.0,5.0,0.0,9.0,9.0
2021-10-10,NY,36053,11.1,11.1,5.4,0.0,11.1,11.1
2021-10-17,NY,36053,10.1,10.1,5.6,0.0,10.1,10.1
2021-10-24,NY,36053,8.3,8.3,4.4,0.0,8.3,8.3
2021-10-31,NY,36053,9.1,9.1,0.0,0.0,9.1,9.1
2021-11-07,NY,36053,4.4,4.4,0.0,0.0,4.4,4.4
2021-11-14,NY,36053,0,0,4.0,0.0,0,0.0
2021-11-21,NY,36053,0,0,4.6,0.0,0,0.0
2021-11-28,NY,36053,7.1,7.1,4.9,0.0,7.1,7.1
2021-12-05,NY,36053,10.899999999999999,10.899999999999999,5.0,0.0,10.899999999999999,10.899999999999999
2021-12-12,NY,36053,13.1,13.1,5.7,0.0,13.1,13.1
2021-12-19,NY,36053,11.4,11.4,5.7,0.0,11.4,11.4
2021-12-26,NY,36053,17.4,17.4,4.9,0.0,17.4,17.4
