collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36057,0,0.0,6.4,0.0,0,0.0
2020-08-09,NY,36057,0,0,5.4,0.0,0,0.0
2020-08-16,NY,36057,0,0,4.8,0,0,0.0
2020-08-23,NY,36057,0,0,5.0,0,0,0.0
2020-08-30,NY,36057,0,0.0,0,0,4.0,0.0
2020-09-06,NY,36057,7.0,0.0,4.5,0.0,7.0,7.0
2020-09-13,NY,36057,5.0,0.0,4.3,0.0,5.0,5.0
2020-09-20,NY,36057,4.7,0,4.5,0.0,4.7,4.7
2020-09-27,NY,36057,0,0,6.0,0.0,0,0.0
2020-10-04,NY,36057,0,0.0,6.3,0.0,0,0.0
2020-10-11,NY,36057,0,0.0,4.7,0.0,0,0.0
2020-10-18,NY,36057,4.0,0.0,5.0,0.0,4.0,4.0
2020-10-25,NY,36057,0,0.0,6.7,0.0,0,0.0
2020-11-01,NY,36057,0,0,6.6,0.0,0,0.0
2020-11-08,NY,36057,4.7,0,6.5,0.0,4.7,4.7
2020-11-15,NY,36057,9.0,0,6.3,0.0,9.0,9.0
2020-11-22,NY,36057,10.6,0,6.6,0.0,10.6,10.6
2020-11-29,NY,36057,12.0,6.0,5.4,0.0,12.0,12.0
2020-12-06,NY,36057,18.9,11.9,7.0,0.0,18.9,18.9
2020-12-13,NY,36057,19.6,14.1,7.7,0.0,19.6,19.6
2020-12-20,NY,36057,14.0,12.6,6.1,0.0,14.0,14.0
2020-12-27,NY,36057,22.1,22.1,7.6,0.0,22.1,22.1
2021-01-03,NY,36057,28.4,28.4,7.6,0.0,28.4,28.4
2021-01-10,NY,36057,28.0,28.0,8.1,0.0,28.0,28.0
2021-01-17,NY,36057,23.4,23.4,7.4,0.0,23.4,23.4
2021-01-24,NY,36057,23.3,23.3,6.6,0.0,23.3,23.3
2021-01-31,NY,36057,22.4,22.4,6.6,0.0,22.4,22.4
2021-02-07,NY,36057,20.4,20.4,5.6,0.0,20.4,20.4
2021-02-14,NY,36057,19.6,19.6,5.6,0.0,19.6,19.6
2021-02-21,NY,36057,15.9,15.9,4.7,0.0,15.9,15.9
2021-02-28,NY,36057,12.0,12.0,5.0,0.0,12.0,12.0
2021-03-07,NY,36057,13.6,13.6,4.9,0.0,13.6,13.6
2021-03-14,NY,36057,11.7,11.7,7.7,0.0,11.7,11.7
2021-03-21,NY,36057,8.0,8.0,7.4,0.0,8.0,8.0
2021-03-28,NY,36057,10.6,10.6,7.0,0.0,10.6,10.6
2021-04-04,NY,36057,14.4,14.4,6.9,0.0,14.4,14.4
2021-04-11,NY,36057,11.9,11.9,6.9,0.0,11.9,11.9
2021-04-18,NY,36057,9.4,9.4,5.6,0.0,9.4,9.4
2021-04-25,NY,36057,7.0,7.0,5.3,0.0,7.0,7.0
2021-05-02,NY,36057,5.6,5.6,5.7,0.0,5.6,5.6
2021-05-09,NY,36057,6.6,6.6,5.6,0.0,6.6,6.6
2021-05-16,NY,36057,5.4,5.4,5.7,0.0,5.4,5.4
2021-05-23,NY,36057,7.1,7.1,6.4,0.0,7.1,7.1
2021-05-30,NY,36057,0,0,5.7,0.0,0,0.0
2021-06-06,NY,36057,0,0,4.1,0.0,0,0.0
2021-06-13,NY,36057,0.0,0.0,4.9,0.0,0.0,0.0
2021-06-20,NY,36057,0.0,0.0,6.9,0.0,0.0,0.0
2021-06-27,NY,36057,0,0,4.6,0.0,0,0.0
2021-07-04,NY,36057,0,0,5.0,0.0,0,0.0
2021-07-11,NY,36057,0.0,0.0,4.6,0.0,0.0,0.0
2021-07-18,NY,36057,0.0,0.0,4.3,0.0,0.0,0.0
2021-07-25,NY,36057,0,0,4.0,0.0,0,0.0
2021-08-01,NY,36057,0,0,5.4,0.0,0,0.0
2021-08-08,NY,36057,5.4,5.4,6.0,0.0,5.4,5.4
2021-08-15,NY,36057,8.1,8.1,7.7,0.0,8.1,8.1
2021-08-22,NY,36057,8.6,8.6,6.6,0.0,8.6,8.6
2021-08-29,NY,36057,10.4,10.4,7.0,0.0,10.4,10.4
2021-09-05,NY,36057,11.4,11.4,6.9,0.0,11.4,11.4
2021-09-12,NY,36057,12.4,12.4,6.3,0.0,12.4,12.4
2021-09-19,NY,36057,12.3,12.3,6.3,0.0,12.3,12.3
2021-09-26,NY,36057,11.7,11.7,7.3,0.0,11.7,11.7
2021-10-03,NY,36057,15.1,15.1,7.3,0,15.3,15.1
2021-10-10,NY,36057,21.1,21.1,7.4,0,21.3,21.1
2021-10-17,NY,36057,18.6,18.6,8.1,0.0,18.6,18.6
2021-10-24,NY,36057,17.1,17.1,7.9,0.0,17.1,17.1
2021-10-31,NY,36057,17.7,17.7,7.7,0.0,17.7,17.7
2021-11-07,NY,36057,14.4,14.4,6.4,0.0,14.4,14.4
2021-11-14,NY,36057,11.1,11.1,6.9,0.0,11.1,11.1
2021-11-21,NY,36057,14.9,14.9,7.1,0.0,14.9,14.9
2021-11-28,NY,36057,18.1,18.1,6.7,0.0,18.1,18.1
2021-12-05,NY,36057,17.9,17.9,7.6,0.0,17.9,17.9
2021-12-12,NY,36057,18.9,18.9,6.7,0.0,18.9,18.9
2021-12-19,NY,36057,21.9,21.9,6.7,0.0,21.9,21.9
2021-12-26,NY,36057,20.7,20.7,7.3,0.0,20.7,20.7
