collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36059,83.6,35.9,204.39999999999998,0.0,88.2,83.6
2020-08-09,NY,36059,79.2,39.0,207.39999999999998,0.0,82.30000000000001,79.2
2020-08-16,NY,36059,65.30000000000001,28.6,198.59999999999997,0.0,69.5,65.30000000000001
2020-08-23,NY,36059,59.4,27.599999999999998,182.50000000000003,0.0,63.0,59.4
2020-08-30,NY,36059,26.5,10.4,199.0,0.0,27.1,26.5
2020-09-06,NY,36059,29.6,12.0,206.70000000000002,0.0,34.5,29.6
2020-09-13,NY,36059,38.1,9.7,211.2,0.0,38.7,38.1
2020-09-20,NY,36059,42.4,17.3,213.2,0.0,42.6,42.4
2020-09-27,NY,36059,49.300000000000004,26.499999999999996,210.9,0.0,53.900000000000006,49.300000000000004
2020-10-04,NY,36059,61.800000000000004,32.9,209.4,0.0,64.9,61.800000000000004
2020-10-11,NY,36059,84.5,45.6,209.3,0.0,87.2,84.5
2020-10-18,NY,36059,84.39999999999999,58.599999999999994,206.9,0.0,84.70000000000002,84.39999999999999
2020-10-25,NY,36059,71.8,41.8,208.6,0.0,72.2,71.8
2020-11-01,NY,36059,103.4,70.8,192.09999999999997,0.0,103.4,103.4
2020-11-08,NY,36059,137.4,104.10000000000001,183.5,0.0,138.4,137.4
2020-11-15,NY,36059,153.0,121.4,190.20000000000002,0.0,153.20000000000002,153.0
2020-11-22,NY,36059,203.79999999999998,178.09999999999997,194.60000000000002,0.0,204.39999999999998,203.79999999999998
2020-11-29,NY,36059,267.29999999999995,244.39999999999998,193.39999999999998,0.0,268.09999999999997,267.29999999999995
2020-12-06,NY,36059,338.0,310.9,186.5,0.0,338.3,338.0
2020-12-13,NY,36059,426.3,392.4,183.8,0.0,427.2,426.3
2020-12-20,NY,36059,483.19999999999993,448.7,190.4,0.0,483.69999999999993,483.19999999999993
2020-12-27,NY,36059,554.2,524.3000000000001,200.5,0.0,554.7,554.2
2021-01-03,NY,36059,617.3000000000001,582.4,219.60000000000002,0.0,618.2,617.3000000000001
2021-01-10,NY,36059,665.9,630.3,231.5,0.0,666.1,665.9
2021-01-17,NY,36059,662.5000000000001,631.8,233.10000000000002,0.0,662.6,662.5000000000001
