collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36061,361.90000000000003,128.50000000000003,650.1,10.9,379.9,372.8
2020-08-09,NY,36061,367.2000000000001,107.39999999999999,636.6999999999999,16.200000000000003,388.40000000000003,383.4000000000001
2020-08-16,NY,36061,354.2,85.4,636.1,13.200000000000001,370.7,367.4
2020-08-23,NY,36061,353.09999999999997,78.3,654.6,10.1,369.2,363.2
2020-08-30,NY,36061,345.3999999999999,76.39999999999999,657.1,14.3,363.0,359.69999999999993
2020-09-06,NY,36061,335.7,86.1,652.4,11.0,359.00000000000006,346.7
2020-09-13,NY,36061,337.2,95.4,669.4000000000001,21.0,360.09999999999997,358.2
2020-09-20,NY,36061,339.19999999999993,111.20000000000002,666.8999999999999,14.8,358.79999999999995,353.99999999999994
2020-09-27,NY,36061,365.2000000000001,135.9,676.1999999999999,11.4,390.4,376.6000000000001
2020-10-04,NY,36061,430.4,178.7,902.4,8.9,455.4,439.29999999999995
2020-10-11,NY,36061,480.8,220.6,891.9000000000001,13.4,503.20000000000005,494.2
2020-10-18,NY,36061,479.0,203.0,906.8,10.1,500.29999999999995,489.1
2020-10-25,NY,36061,471.5,206.7,905.5999999999999,34.6,512.0,506.1
2020-11-01,NY,36061,439.0999999999999,204.6,890.6999999999999,12.9,458.6000000000001,451.9999999999999
2020-11-08,NY,36061,503.5999999999999,241.7,912.6,13.9,528.1999999999999,517.4999999999999
2020-11-15,NY,36061,592.1,323.0,889.2,13.0,610.6,605.1
2020-11-22,NY,36061,631.0000000000001,403.49999999999994,856.9,11.3,647.8000000000001,642.3000000000001
2020-11-29,NY,36061,803.4,526.5999999999999,873.6999999999999,15.4,825.7000000000002,818.8
2020-12-06,NY,36061,931.0999999999999,660.8999999999999,885.3,19.1,961.0000000000001,950.1999999999999
2020-12-13,NY,36061,1066.5,822.8,801.0999999999999,88.5,1157.4,1155.0
2020-12-20,NY,36061,1172.9999999999998,947.0999999999999,775.2,39.7,1222.7,1212.6999999999998
2020-12-27,NY,36061,1376.5,1151.1,755.8,42.6,1421.6999999999998,1419.1
2021-01-03,NY,36061,1546.9000000000003,1300.0,829.8000000000002,48.7,1597.7000000000003,1595.6000000000004
2021-01-10,NY,36061,1634.5,1381.5,864.7,46.3,1684.7,1680.8
2021-01-17,NY,36061,1720.2999999999997,1490.5,867.6,45.7,1772.1000000000004,1765.9999999999998
2021-01-24,NY,36061,1733.8000000000002,1516.8,906.1,71.5,1809.8,1805.3000000000002
2021-01-31,NY,36061,1742.8,1496.5,920.1,52.7,1798.3000000000002,1795.5
2021-02-07,NY,36061,1694.1000000000004,1465.7,941.0999999999998,49.0,1746.8,1743.1000000000004
2021-02-14,NY,36061,1576.4,1385.8999999999996,899.3999999999999,37.4,1624.3,1613.8000000000002
2021-02-21,NY,36061,1533.8999999999999,1320.1000000000001,905.2000000000002,42.699999999999996,1584.4,1576.6
2021-02-28,NY,36061,1421.2,1236.6999999999998,904.3,38.7,1469.2999999999997,1459.9
2021-03-07,NY,36061,1404.5000000000002,1202.5,903.6999999999999,42.0,1448.6,1446.5000000000002
2021-03-14,NY,36061,1303.7,1100.1999999999998,908.4,46.6,1354.1999999999998,1350.3
2021-03-21,NY,36061,1252.1999999999996,1075.7,898.9000000000001,38.9,1300.6999999999998,1291.0999999999997
2021-03-28,NY,36061,1154.7000000000003,998.0,873.2000000000002,39.6,1201.7999999999997,1194.3000000000002
2021-04-04,NY,36061,1086.8,930.3,882.5999999999999,34.5,1126.4,1121.3
2021-04-11,NY,36061,1005.3,836.6999999999999,881.4000000000001,16.9,1030.8999999999999,1022.1999999999999
2021-04-18,NY,36061,885.3,711.0,890.6,13.9,909.4,899.1999999999999
2021-04-25,NY,36061,737.4,570.9,879.0,10.1,757.5999999999999,747.5
2021-05-02,NY,36061,591.9000000000001,446.2,852.9999999999999,6.7,604.4000000000001,598.6000000000001
2021-05-09,NY,36061,489.00000000000006,343.49999999999994,823.9999999999999,8.9,502.5000000000001,497.90000000000003
2021-05-16,NY,36061,434.40000000000003,262.5,809.5000000000001,7.6,448.50000000000006,442.00000000000006
2021-05-23,NY,36061,369.1,220.5,813.0,7.7,382.0,376.8
2021-05-30,NY,36061,322.5,169.2,793.1,5.7,336.0,328.2
2021-06-06,NY,36061,303.40000000000003,146.2,802.3999999999999,6.4,316.79999999999995,309.8
2021-06-13,NY,36061,263.79999999999995,110.19999999999999,793.1,6.3,278.7,270.09999999999997
2021-06-20,NY,36061,238.9,86.10000000000001,795.9,4.1,249.2,243.0
2021-06-27,NY,36061,204.2,76.7,784.7,0.0,211.6,204.2
2021-07-04,NY,36061,234.1,81.8,764.4,4.1,243.79999999999998,238.2
2021-07-11,NY,36061,225.0,81.29999999999998,807.3000000000002,4.1,235.0,229.1
2021-07-18,NY,36061,239.79999999999998,105.6,785.4000000000001,0.0,250.1,239.79999999999998
2021-07-25,NY,36061,300.5,140.70000000000002,793.0999999999999,10.7,315.5,311.2
2021-08-01,NY,36061,313.9,161.5,800.8,13.3,332.6,327.2
2021-08-08,NY,36061,398.8,217.6,813.9000000000001,11.3,416.3,410.1
2021-08-15,NY,36061,439.30000000000007,272.4,795.4000000000001,6.0,456.39999999999986,445.30000000000007
2021-08-22,NY,36061,499.7,335.3,797.6,7.0,515.0,506.7
2021-08-29,NY,36061,513.3000000000001,349.5,806.0,17.799999999999997,537.6999999999999,531.1
2021-09-05,NY,36061,483.30000000000007,327.90000000000003,792.7999999999998,13.1,504.5,496.4000000000001
2021-09-12,NY,36061,453.1,298.79999999999995,827.1,14.5,469.69999999999993,467.6
2021-09-19,NY,36061,463.19999999999993,308.8,819.9,17.0,482.3,480.19999999999993
2021-09-26,NY,36061,448.0,283.4,813.3999999999999,17.0,467.8999999999999,465.0
2021-10-03,NY,36061,396.2,243.70000000000002,805.8,13.3,414.1,409.5
2021-10-10,NY,36061,359.1,218.50000000000003,807.2999999999998,11.7,378.0,370.8
2021-10-17,NY,36061,345.90000000000003,206.4,802.3000000000001,12.3,362.29999999999995,358.20000000000005
2021-10-24,NY,36061,312.1,163.1,805.2,10.600000000000001,326.90000000000003,322.70000000000005
2021-10-31,NY,36061,284.1,138.5,796.1000000000001,10.3,298.0,294.40000000000003
2021-11-07,NY,36061,278.6,137.70000000000002,787.4,5.9,290.3,284.5
2021-11-14,NY,36061,278.29999999999995,145.59999999999997,781.1000000000003,5.0,293.6,283.29999999999995
2021-11-21,NY,36061,301.6,171.20000000000002,765.9999999999999,5.7,318.8,307.3
2021-11-28,NY,36061,363.0,222.5,773.8000000000001,12.100000000000001,380.29999999999995,375.1
2021-12-05,NY,36061,463.6,300.2,806.0999999999998,13.7,485.4,477.3
2021-12-12,NY,36061,580.7,399.09999999999997,809.3,20.1,607.6,600.8000000000001
2021-12-19,NY,36061,886.5999999999999,625.9,763.5,41.800000000000004,940.1,928.3999999999999
2021-12-26,NY,36061,1711.6000000000001,1396.3999999999999,752.9,72.5,1796.9,1784.1000000000001
