collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36067,8.3,4.7,127.30000000000001,0.0,8.4,8.3
2020-08-09,NY,36067,7.9,5.4,128.3,0.0,7.9,7.9
2020-08-16,NY,36067,9.1,5.6,124.0,0.0,9.6,9.1
2020-08-23,NY,36067,8.7,7.1,128.0,0.0,9.6,8.7
2020-08-30,NY,36067,6.7,4.7,150.0,0.0,7.7,6.7
2020-09-06,NY,36067,4.6,4.6,147.3,0.0,4.6,4.6
2020-09-13,NY,36067,6.9,4.3,144.39999999999998,0.0,7.6,6.9
2020-09-20,NY,36067,6.6,0,151.60000000000002,0.0,7.0,6.6
2020-09-27,NY,36067,15.7,11.7,149.0,0.0,18.2,15.7
2020-10-04,NY,36067,19.1,16.0,146.4,0.0,20.4,19.1
2020-10-11,NY,36067,12.1,9.4,145.3,0.0,13.3,12.1
2020-10-18,NY,36067,25.7,22.299999999999997,147.3,0.0,27.5,25.7
2020-10-25,NY,36067,33.3,31.299999999999997,145.1,0.0,34.5,33.3
2020-11-01,NY,36067,46.7,45.5,141.89999999999998,0.0,47.1,46.7
2020-11-08,NY,36067,73.9,70.2,148.1,0.0,75.6,73.9
2020-11-15,NY,36067,105.30000000000001,102.60000000000001,141.4,0.0,105.9,105.30000000000001
2020-11-22,NY,36067,137.6,132.7,143.5,0.0,138.4,137.6
2020-11-29,NY,36067,191.2,188.2,152.2,0.0,192.1,191.2
2020-12-06,NY,36067,253.4,249.3,159.39999999999998,0.0,255.0,253.4
2020-12-13,NY,36067,301.3,297.8,159.8,0.0,305.0,301.3
2020-12-20,NY,36067,402.70000000000005,394.70000000000005,161.4,0.0,403.9,402.70000000000005
2020-12-27,NY,36067,344.2,334.29999999999995,163.1,0.0,346.7,344.2
2021-01-03,NY,36067,330.29999999999995,322.4,156.4,0.0,333.7,330.29999999999995
2021-01-10,NY,36067,265.5,253.8,157.7,4.6,270.0,270.1
2021-01-17,NY,36067,233.1,225.1,153.8,0.0,235.8,233.1
2021-01-24,NY,36067,189.2,182.8,155.60000000000002,0.0,192.8,189.2
2021-01-31,NY,36067,163.2,156.39999999999998,154.3,0.0,166.39999999999998,163.2
2021-02-07,NY,36067,141.9,135.20000000000002,148.3,0.0,145.4,141.9
2021-02-14,NY,36067,110.8,106.0,147.60000000000002,0.0,112.8,110.8
2021-02-21,NY,36067,71.0,69.1,144.8,0.0,73.6,71.0
2021-02-28,NY,36067,54.8,53.599999999999994,146.5,0.0,56.0,54.8
2021-03-07,NY,36067,48.2,46.4,138.1,0.0,49.9,48.2
2021-03-14,NY,36067,37.0,36.599999999999994,146.7,0.0,39.3,37.0
2021-03-21,NY,36067,37.5,36.4,141.7,0.0,39.2,37.5
2021-03-28,NY,36067,39.7,39.4,140.10000000000002,0.0,41.4,39.7
2021-04-04,NY,36067,44.4,44.3,154.10000000000002,0.0,45.900000000000006,44.4
2021-04-11,NY,36067,59.400000000000006,58.7,152.8,0.0,59.6,59.400000000000006
2021-04-18,NY,36067,65.9,65.6,153.5,0.0,66.9,65.9
2021-04-25,NY,36067,51.3,51.0,145.8,0.0,53.8,51.3
2021-05-02,NY,36067,53.0,52.5,143.8,0.0,55.8,53.0
2021-05-09,NY,36067,47.0,46.6,142.6,0.0,48.9,47.0
2021-05-16,NY,36067,40.8,39.9,148.7,0.0,42.6,40.8
2021-05-23,NY,36067,41.400000000000006,41.0,147.0,0.0,43.5,41.400000000000006
2021-05-30,NY,36067,34.400000000000006,34.3,148.2,0.0,36.6,34.400000000000006
2021-06-06,NY,36067,26.1,25.9,151.7,0.0,28.4,26.1
2021-06-13,NY,36067,21.400000000000002,20.8,148.3,0.0,23.5,21.400000000000002
2021-06-20,NY,36067,8.7,8.3,143.1,0.0,9.9,8.7
2021-06-27,NY,36067,5.7,5.0,152.39999999999998,0.0,6.9,5.7
2021-07-04,NY,36067,5.0,4.3,146.4,0.0,5.9,5.0
2021-07-11,NY,36067,7.7,7.3,150.3,0.0,8.3,7.7
