collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36077,5.0,0,23.8,0.0,5.0,5.0
2020-08-09,NY,36077,0,0.0,20.3,0.0,0,0.0
2020-08-16,NY,36077,0,0,17.4,0.0,0,0.0
2020-08-23,NY,36077,0,0.0,13.6,0.0,0,0.0
2020-08-30,NY,36077,0,0.0,11.6,0.0,0,0.0
2020-09-06,NY,36077,0,0.0,14.2,0.0,0,0.0
2020-09-13,NY,36077,4.4,0.0,21.3,0.0,4.4,4.4
2020-09-20,NY,36077,0,0,26.8,0.0,0,0.0
2020-09-27,NY,36077,0.0,0.0,28.4,0.0,0.0,0.0
2020-10-04,NY,36077,0.0,0.0,23.8,0.0,0.0,0.0
2020-10-11,NY,36077,0,0.0,18.6,0.0,0,0.0
2020-10-18,NY,36077,0,0,26.6,0.0,0,0.0
2020-10-25,NY,36077,0,0.0,26.8,0.0,0,0.0
2020-11-01,NY,36077,0,0,27.9,0.0,0,0.0
2020-11-08,NY,36077,0,0,28.7,0.0,0,0.0
2020-11-15,NY,36077,4.0,4.0,28.0,0.0,4.0,4.0
2020-11-22,NY,36077,7.1,6.6,26.6,0.0,7.1,7.1
2020-11-29,NY,36077,15.8,13.700000000000001,26.6,0.0,15.8,15.8
2020-12-06,NY,36077,20.2,20.2,26.1,0.0,20.2,20.2
2020-12-13,NY,36077,23.6,23.6,24.7,0.0,23.6,23.6
2020-12-20,NY,36077,23.3,23.3,24.6,0.0,23.3,23.3
2020-12-27,NY,36077,30.6,30.4,27.1,0.0,30.6,30.6
2021-01-03,NY,36077,36.7,36.7,27.3,0.0,36.7,36.7
2021-01-10,NY,36077,43.6,43.6,27.6,0.0,43.6,43.6
2021-01-17,NY,36077,38.4,37.599999999999994,25.4,0.0,38.4,38.4
2021-01-24,NY,36077,27.0,27.0,24.4,0.0,27.0,27.0
2021-01-31,NY,36077,30.200000000000003,29.9,28.0,0.0,30.200000000000003,30.200000000000003
2021-02-07,NY,36077,24.1,24.1,26.7,0.0,24.1,24.1
2021-02-14,NY,36077,16.3,14.700000000000001,25.9,0.0,16.3,16.3
2021-02-21,NY,36077,10.7,10.7,27.9,0.0,10.7,10.7
2021-02-28,NY,36077,11.9,11.9,22.4,0.0,11.9,11.9
2021-03-07,NY,36077,10.600000000000001,10.600000000000001,26.1,0.0,10.600000000000001,10.600000000000001
2021-03-14,NY,36077,13.5,13.5,25.4,0.0,13.5,13.5
2021-03-21,NY,36077,12.0,12.0,26.6,0.0,12.0,12.0
2021-03-28,NY,36077,16.0,16.0,26.6,0.0,16.0,16.0
