collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36079,0,0,0,0.0,0,0.0
2020-08-09,NY,36079,0.0,0.0,0,0.0,0,0.0
2020-08-16,NY,36079,0,0.0,0,0.0,0,0.0
2020-08-23,NY,36079,0,0.0,0,0.0,0,0.0
2020-08-30,NY,36079,0,0,0,0.0,0,0.0
2020-09-06,NY,36079,0,0,5.0,0.0,0,0.0
2020-09-13,NY,36079,0,0,5.0,0.0,0,0.0
2020-09-20,NY,36079,0,0.0,5.4,0.0,0,0.0
2020-09-27,NY,36079,0,0,6.9,0,4.4,0.0
2020-10-04,NY,36079,4.1,0,4.6,0,4.3,4.1
2020-10-11,NY,36079,5.4,0,0,0.0,5.4,5.4
2020-10-18,NY,36079,6.0,4.0,4.1,0.0,6.0,6.0
2020-10-25,NY,36079,5.4,0,6.7,0.0,5.4,5.4
2020-11-01,NY,36079,0,0,5.6,0.0,0,0.0
2020-11-08,NY,36079,5.3,0,5.3,0.0,5.3,5.3
2020-11-15,NY,36079,6.7,0,0,0.0,6.7,6.7
2020-11-22,NY,36079,15.3,6.6,4.9,0.0,15.3,15.3
2020-11-29,NY,36079,16.6,12.0,0,0.0,16.6,16.6
2020-12-06,NY,36079,16.4,12.4,4.6,0.0,16.4,16.4
2020-12-13,NY,36079,19.7,18.1,5.3,0.0,19.7,19.7
2020-12-20,NY,36079,19.3,18.1,5.1,0.0,19.3,19.3
2020-12-27,NY,36079,15.9,14.3,5.7,0.0,15.9,15.9
2021-01-03,NY,36079,24.6,22.3,4.3,0.0,24.6,24.6
2021-01-10,NY,36079,30.9,28.4,5.0,0.0,30.9,30.9
2021-01-17,NY,36079,25.3,22.0,6.0,0.0,25.3,25.3
2021-01-24,NY,36079,21.1,19.1,5.6,0,21.4,21.1
2021-01-31,NY,36079,18.4,15.0,5.6,0,18.6,18.4
2021-02-07,NY,36079,12.4,9.4,5.7,0.0,12.4,12.4
2021-02-14,NY,36079,9.4,7.6,4.3,0.0,9.4,9.4
2021-02-21,NY,36079,7.7,6.4,4.0,0.0,7.7,7.7
2021-02-28,NY,36079,8.9,8.9,0,0.0,8.9,8.9
2021-03-07,NY,36079,7.6,6.6,4.7,0.0,7.6,7.6
2021-03-14,NY,36079,8.1,7.0,5.4,0.0,8.1,8.1
2021-03-21,NY,36079,10.4,9.7,6.4,0.0,10.4,10.4
2021-03-28,NY,36079,12.4,10.6,4.9,0.0,12.4,12.4
2021-04-04,NY,36079,7.7,5.9,4.6,0.0,7.7,7.7
2021-04-11,NY,36079,6.3,6.0,4.1,0.0,6.3,6.3
2021-04-18,NY,36079,5.1,4.1,4.4,0.0,5.1,5.1
2021-04-25,NY,36079,7.1,5.6,4.4,0.0,7.1,7.1
2021-05-02,NY,36079,4.3,0,0,0.0,4.3,4.3
2021-05-09,NY,36079,0,0,0,0.0,0,0.0
2021-05-16,NY,36079,0,0.0,4.0,0.0,0,0.0
2021-05-23,NY,36079,0,0,0,0.0,0,0.0
2021-05-30,NY,36079,0,0,4.6,0.0,0,0.0
2021-06-06,NY,36079,0,0,4.3,0.0,0,0.0
2021-06-13,NY,36079,0,0.0,5.9,0.0,0,0.0
2021-06-20,NY,36079,0,0,6.4,0.0,0,0.0
2021-06-27,NY,36079,0.0,0.0,5.6,0.0,0.0,0.0
2021-07-04,NY,36079,0,0.0,6.3,0.0,0,0.0
2021-07-11,NY,36079,0,0,5.4,0.0,0,0.0
2021-07-18,NY,36079,0,0,5.4,0.0,0,0.0
2021-07-25,NY,36079,0,0,5.6,0.0,0,0.0
2021-08-01,NY,36079,0,0,5.1,0.0,0,0.0
2021-08-08,NY,36079,0,0,4.9,0.0,0,0.0
2021-08-15,NY,36079,0,0,5.0,0.0,0,0.0
2021-08-22,NY,36079,4.1,0,7.3,0,4.3,4.1
2021-08-29,NY,36079,0,0,7.4,0.0,0,0.0
2021-09-05,NY,36079,0,0,7.0,0.0,0,0.0
2021-09-12,NY,36079,0,0,7.6,0,0,0.0
2021-09-19,NY,36079,4.3,0,7.3,0,4.4,4.3
2021-09-26,NY,36079,0,0,6.3,0,0,0.0
2021-10-03,NY,36079,4.4,0,6.0,0.0,4.4,4.4
2021-10-10,NY,36079,6.3,5.9,5.0,0.0,6.3,6.3
2021-10-17,NY,36079,6.4,5.3,6.6,0.0,6.4,6.4
2021-10-24,NY,36079,5.1,0,6.1,0.0,5.1,5.1
2021-10-31,NY,36079,0,0,6.1,0,0,0.0
2021-11-07,NY,36079,4.3,0,7.9,0.0,4.3,4.3
2021-11-14,NY,36079,0,0,5.9,0.0,0,0.0
2021-11-21,NY,36079,5.1,4.7,6.9,0.0,5.1,5.1
2021-11-28,NY,36079,4.6,4.3,7.6,0.0,4.6,4.6
2021-12-05,NY,36079,7.6,6.3,4.7,0.0,7.6,7.6
2021-12-12,NY,36079,12.3,11.6,7.7,0.0,12.3,12.3
2021-12-19,NY,36079,20.6,18.6,8.3,0.0,20.6,20.6
2021-12-26,NY,36079,23.7,21.1,7.7,0,23.9,23.7
