collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36083,12.3,11.4,13.3,0.0,12.3,12.3
2020-08-09,NY,36083,12.1,11.6,14.0,0.0,12.1,12.1
2020-08-16,NY,36083,13.0,12.1,12.6,0.0,13.0,13.0
2020-08-23,NY,36083,12.0,11.6,11.7,0.0,12.0,12.0
2020-08-30,NY,36083,9.1,7.7,10.3,0.0,9.1,9.1
2020-09-06,NY,36083,6.0,4.6,9.1,0.0,6.0,6.0
2020-09-13,NY,36083,0,0,12.0,0.0,0,0.0
2020-09-20,NY,36083,0,0,12.0,0.0,0,0.0
2020-09-27,NY,36083,0,0,12.0,0.0,0,0.0
2020-10-04,NY,36083,0,0,12.1,0.0,0,0.0
2020-10-11,NY,36083,5.4,4.0,12.6,0.0,5.4,5.4
2020-10-18,NY,36083,8.7,6.7,14.3,0.0,8.7,8.7
2020-10-25,NY,36083,9.7,7.7,13.3,0.0,9.7,9.7
2020-11-01,NY,36083,13.4,10.6,12.1,0.0,13.4,13.4
2020-11-08,NY,36083,14.4,11.4,11.3,0.0,14.4,14.4
2020-11-15,NY,36083,14.7,9.7,11.7,0.0,14.7,14.7
2020-11-22,NY,36083,12.4,10.4,10.9,0.0,12.4,12.4
2020-11-29,NY,36083,17.4,17.0,15.6,0.0,17.4,17.4
2020-12-06,NY,36083,29.9,29.4,16.4,0.0,29.9,29.9
2020-12-13,NY,36083,38.3,38.3,14.4,0.0,38.3,38.3
2020-12-20,NY,36083,39.7,39.7,13.7,0,41.0,39.7
2020-12-27,NY,36083,38.7,38.4,14.6,0.0,38.7,38.7
2021-01-03,NY,36083,46.0,45.6,16.4,0.0,46.0,46.0
2021-01-10,NY,36083,43.3,43.3,16.3,0.0,43.3,43.3
2021-01-17,NY,36083,43.0,43.0,15.3,0.0,43.0,43.0
2021-01-24,NY,36083,41.6,41.6,16.1,0.0,41.6,41.6
2021-01-31,NY,36083,41.4,41.4,17.7,0.0,41.4,41.4
2021-02-07,NY,36083,29.0,29.0,15.6,0.0,29.0,29.0
2021-02-14,NY,36083,18.3,18.3,12.6,0.0,18.3,18.3
2021-02-21,NY,36083,22.0,22.0,13.9,0.0,22.0,22.0
2021-02-28,NY,36083,15.4,15.4,13.9,0.0,15.4,15.4
2021-03-07,NY,36083,11.0,11.0,13.7,0.0,11.0,11.0
2021-03-14,NY,36083,12.1,11.4,12.1,0.0,12.1,12.1
2021-03-21,NY,36083,12.0,12.0,14.7,0.0,12.0,12.0
2021-03-28,NY,36083,10.3,10.1,16.6,0.0,10.3,10.3
2021-04-04,NY,36083,9.0,9.0,11.0,0.0,9.0,9.0
2021-04-11,NY,36083,10.9,10.9,14.1,0.0,10.9,10.9
2021-04-18,NY,36083,8.6,8.3,17.9,0.0,8.6,8.6
2021-04-25,NY,36083,6.9,6.9,17.7,0.0,6.9,6.9
2021-05-02,NY,36083,7.6,7.6,15.3,0.0,7.6,7.6
2021-05-09,NY,36083,4.4,4.3,13.6,0.0,4.4,4.4
2021-05-16,NY,36083,0,0,16.1,0.0,0,0.0
2021-05-23,NY,36083,0.0,0.0,16.7,0.0,0.0,0.0
2021-05-30,NY,36083,0.0,0.0,12.9,0.0,0.0,0.0
2021-06-06,NY,36083,0.0,0.0,14.6,0.0,0.0,0.0
2021-06-13,NY,36083,0.0,0.0,17.1,0.0,0.0,0.0
2021-06-20,NY,36083,0.0,0.0,14.7,0.0,0.0,0.0
2021-06-27,NY,36083,0.0,0.0,15.4,0.0,0.0,0.0
2021-07-04,NY,36083,0.0,0.0,18.3,0.0,0.0,0.0
2021-07-11,NY,36083,0.0,0.0,17.7,0.0,0.0,0.0
2021-07-18,NY,36083,0.0,0.0,18.3,0.0,0.0,0.0
2021-07-25,NY,36083,0.0,0.0,17.7,0.0,0.0,0.0
2021-08-01,NY,36083,6.1,6.0,17.7,0.0,6.1,6.1
2021-08-08,NY,36083,4.6,4.6,15.4,0.0,4.6,4.6
2021-08-15,NY,36083,8.9,8.6,16.0,0.0,8.9,8.9
2021-08-22,NY,36083,11.9,11.7,16.3,0.0,11.9,11.9
2021-08-29,NY,36083,10.7,10.4,16.1,0.0,10.7,10.7
2021-09-05,NY,36083,12.4,12.4,15.3,0.0,12.4,12.4
2021-09-12,NY,36083,16.1,16.1,16.9,0.0,16.1,16.1
2021-09-19,NY,36083,21.6,21.0,19.4,0.0,21.6,21.6
2021-09-26,NY,36083,24.3,24.3,19.1,0.0,24.3,24.3
2021-10-03,NY,36083,24.3,24.3,16.7,0.0,24.3,24.3
2021-10-10,NY,36083,20.7,20.6,14.6,0.0,20.7,20.7
2021-10-17,NY,36083,23.1,23.1,15.4,0.0,23.1,23.1
2021-10-24,NY,36083,21.3,21.1,16.7,0.0,21.3,21.3
2021-10-31,NY,36083,20.0,20.0,16.9,0.0,20.0,20.0
2021-11-07,NY,36083,21.9,21.9,15.7,0.0,21.9,21.9
2021-11-14,NY,36083,21.0,21.0,16.4,0.0,21.0,21.0
2021-11-21,NY,36083,29.4,29.4,18.3,0.0,29.4,29.4
