collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36085,30.6,13.899999999999999,43.0,0.0,32.1,30.6
2020-08-09,NY,36085,25.5,12.700000000000001,41.6,0.0,27.299999999999997,25.5
2020-08-16,NY,36085,21.1,8.1,39.0,0.0,22.4,21.1
2020-08-23,NY,36085,11.3,4.7,39.5,0.0,12.7,11.3
2020-08-30,NY,36085,12.3,5.0,45.9,0.0,12.3,12.3
2020-09-06,NY,36085,17.3,9.1,46.3,0.0,18.1,17.3
2020-09-13,NY,36085,17.1,9.3,51.1,0.0,17.9,17.1
2020-09-20,NY,36085,16.4,8.3,51.3,0.0,17.9,16.4
2020-09-27,NY,36085,27.3,11.4,48.1,0.0,28.2,27.3
2020-10-04,NY,36085,26.7,21.4,39.3,0.0,27.099999999999998,26.7
2020-10-11,NY,36085,34.1,22.6,47.1,0.0,36.1,34.1
2020-10-18,NY,36085,62.0,30.3,69.2,0,64.7,62.0
2020-10-25,NY,36085,59.9,33.1,67.69999999999999,0.0,61.4,59.9
2020-11-01,NY,36085,64.7,37.300000000000004,69.2,0.0,66.6,64.7
2020-11-08,NY,36085,81.1,56.1,72.6,0,83.0,81.1
2020-11-15,NY,36085,102.4,91.8,82.19999999999999,0,103.30000000000001,102.4
2020-11-22,NY,36085,156.1,142.5,96.0,0.0,157.4,156.1
2020-11-29,NY,36085,204.7,167.0,102.69999999999999,0,206.5,204.7
2020-12-06,NY,36085,252.2,196.7,108.19999999999999,0.0,254.2,252.2
2020-12-13,NY,36085,249.4,190.7,111.1,0.0,250.6,249.4
2020-12-20,NY,36085,251.2,184.7,111.69999999999999,0,253.2,251.2
2020-12-27,NY,36085,252.4,177.9,111.1,0,255.39999999999998,252.4
2021-01-03,NY,36085,265.6,196.3,115.30000000000001,0,266.3,265.6
2021-01-10,NY,36085,291.3,216.6,121.30000000000001,0,293.1,291.3
2021-01-17,NY,36085,294.0,221.4,116.19999999999999,0,298.8,294.0
2021-01-24,NY,36085,254.6,200.6,113.30000000000001,0,258.9,254.6
2021-01-31,NY,36085,241.5,188.4,111.6,0,244.3,241.5
2021-02-07,NY,36085,238.1,191.3,114.0,0,240.79999999999998,238.1
2021-02-14,NY,36085,213.0,171.1,114.4,0,215.79999999999998,213.0
2021-02-21,NY,36085,184.3,144.1,112.6,0.0,185.3,184.3
2021-02-28,NY,36085,159.79999999999998,120.3,111.89999999999999,0,161.5,159.79999999999998
2021-03-07,NY,36085,181.6,133.6,113.10000000000001,0.0,183.3,181.6
2021-03-14,NY,36085,178.3,131.1,112.4,0,178.7,178.3
2021-03-21,NY,36085,202.10000000000002,148.1,111.6,0,204.5,202.10000000000002
2021-03-28,NY,36085,206.3,147.3,112.0,0,209.0,206.3
2021-04-04,NY,36085,181.0,127.7,112.7,0.0,182.4,181.0
2021-04-11,NY,36085,162.9,109.3,110.10000000000001,0.0,163.8,162.9
2021-04-18,NY,36085,148.39999999999998,96.1,110.7,0.0,150.0,148.39999999999998
2021-04-25,NY,36085,126.80000000000001,84.4,105.69999999999999,0,128.1,126.80000000000001
2021-05-02,NY,36085,88.19999999999999,51.4,103.80000000000001,0,89.6,88.19999999999999
2021-05-09,NY,36085,66.3,39.1,108.8,0.0,67.3,66.3
2021-05-16,NY,36085,56.6,31.3,103.69999999999999,0.0,56.7,56.6
2021-05-23,NY,36085,47.400000000000006,25.3,93.0,0.0,48.3,47.400000000000006
2021-05-30,NY,36085,42.300000000000004,17.9,92.19999999999999,0,43.7,42.300000000000004
2021-06-06,NY,36085,35.5,14.7,91.8,0.0,37.0,35.5
2021-06-13,NY,36085,33.9,16.3,92.4,0.0,35.0,33.9
2021-06-20,NY,36085,37.1,14.4,86.30000000000001,0,41.9,37.1
2021-06-27,NY,36085,39.6,17.9,88.4,0,40.4,39.6
2021-07-04,NY,36085,37.6,22.3,92.30000000000001,0.0,39.0,37.6
2021-07-11,NY,36085,35.0,18.4,92.9,0.0,36.3,35.0
2021-07-18,NY,36085,38.5,18.6,90.7,0,40.0,38.5
2021-07-25,NY,36085,53.0,23.6,91.3,0,54.0,53.0
2021-08-01,NY,36085,65.4,31.3,91.19999999999999,0.0,67.4,65.4
2021-08-08,NY,36085,89.7,57.1,92.30000000000001,0.0,91.3,89.7
2021-08-15,NY,36085,95.0,59.7,97.19999999999999,0.0,97.6,95.0
2021-08-22,NY,36085,77.4,43.1,97.69999999999999,0.0,79.3,77.4
2021-08-29,NY,36085,76.3,46.9,102.6,0.0,78.2,76.3
2021-09-05,NY,36085,75.3,47.7,107.4,0.0,78.0,75.3
2021-09-12,NY,36085,74.2,47.0,101.3,0.0,76.0,74.2
2021-09-19,NY,36085,81.2,48.3,105.0,0.0,83.30000000000001,81.2
2021-09-26,NY,36085,74.4,41.4,104.0,0,78.3,74.4
2021-10-03,NY,36085,58.1,29.0,104.80000000000001,0.0,60.8,58.1
2021-10-10,NY,36085,54.5,31.6,109.4,0.0,56.5,54.5
2021-10-17,NY,36085,59.900000000000006,37.4,109.7,0,63.099999999999994,59.900000000000006
2021-10-24,NY,36085,56.300000000000004,36.7,111.0,0.0,58.6,56.300000000000004
2021-10-31,NY,36085,64.0,40.1,111.1,0.0,66.6,64.0
2021-11-07,NY,36085,63.6,37.4,113.7,0,65.2,63.6
2021-11-14,NY,36085,56.699999999999996,32.0,111.9,0.0,58.5,56.699999999999996
2021-11-21,NY,36085,54.0,36.3,105.7,0,57.300000000000004,54.0
