collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36091,4.0,4.0,25.7,0.0,4.0,4.0
2020-08-09,NY,36091,0,0,25.0,0.0,0,0.0
2020-08-16,NY,36091,0,0,21.5,0.0,0,0.0
2020-08-23,NY,36091,0,0,22.5,0.0,0,0.0
2020-08-30,NY,36091,0,0,21.5,0.0,0,0.0
2020-09-06,NY,36091,0,0,18.7,0.0,0,0.0
2020-09-13,NY,36091,0,0,19.5,0.0,0,0.0
2020-09-20,NY,36091,0,0,23.5,0.0,0,0.0
2020-09-27,NY,36091,0,0,22.0,0.0,0,0.0
2020-10-04,NY,36091,0,0,26.3,0.0,0,0.0
2020-10-11,NY,36091,0,0,22.4,0.0,0,0.0
2020-10-18,NY,36091,0,0,22.6,0.0,0,0.0
2020-10-25,NY,36091,0,0,25.4,0.0,0,0.0
2020-11-01,NY,36091,0,0,23.8,0.0,0,0.0
2020-11-08,NY,36091,5.7,5.3,22.7,0.0,5.7,5.7
2020-11-15,NY,36091,8.0,8.0,18.1,0.0,8.0,8.0
2020-11-22,NY,36091,7.6,7.6,14.1,0.0,7.6,7.6
2020-11-29,NY,36091,7.7,7.7,14.0,0.0,7.7,7.7
2020-12-06,NY,36091,8.4,8.4,10.7,0.0,8.4,8.4
2020-12-13,NY,36091,13.1,13.1,12.6,0.0,13.1,13.1
2020-12-20,NY,36091,20.1,20.1,13.7,0.0,20.1,20.1
2020-12-27,NY,36091,26.7,26.7,14.3,0.0,26.7,26.7
2021-01-03,NY,36091,38.3,38.3,14.0,0.0,38.3,38.3
2021-01-10,NY,36091,50.4,50.4,14.3,0.0,50.4,50.4
2021-01-17,NY,36091,57.7,57.7,15.3,0.0,57.7,57.7
2021-01-24,NY,36091,46.4,46.4,14.1,0.0,46.4,46.4
2021-01-31,NY,36091,33.0,33.0,13.4,0.0,33.0,33.0
2021-02-07,NY,36091,25.1,25.1,9.9,0.0,25.1,25.1
2021-02-14,NY,36091,16.9,16.9,7.9,0.0,16.9,16.9
2021-02-21,NY,36091,6.1,6.1,11.4,0.0,6.1,6.1
2021-02-28,NY,36091,5.3,5.3,12.6,0.0,5.3,5.3
2021-03-07,NY,36091,6.4,6.4,14.1,0.0,6.4,6.4
2021-03-14,NY,36091,6.0,6.0,13.6,0.0,6.0,6.0
2021-03-21,NY,36091,8.7,8.7,15.0,0.0,8.7,8.7
2021-03-28,NY,36091,12.4,12.4,13.0,0.0,12.4,12.4
2021-04-04,NY,36091,15.9,15.9,12.4,0.0,15.9,15.9
2021-04-11,NY,36091,13.4,13.4,14.4,0.0,13.4,13.4
2021-04-18,NY,36091,13.7,13.7,12.7,0.0,13.7,13.7
2021-04-25,NY,36091,12.9,12.9,12.6,0.0,12.9,12.9
2021-05-02,NY,36091,9.6,9.6,14.7,0.0,9.6,9.6
2021-05-09,NY,36091,10.0,10.0,12.6,0.0,10.0,10.0
2021-05-16,NY,36091,9.4,9.4,14.6,0.0,9.4,9.4
2021-05-23,NY,36091,10.3,10.3,13.9,0.0,10.3,10.3
2021-05-30,NY,36091,8.1,7.7,11.1,0.0,8.1,8.1
2021-06-06,NY,36091,0,0,12.9,0.0,0,0.0
2021-06-13,NY,36091,0,0,11.9,0.0,0,0.0
2021-06-20,NY,36091,0,0,11.9,0.0,0,0.0
2021-06-27,NY,36091,0,0,12.0,0.0,0,0.0
2021-07-04,NY,36091,0,0,12.6,0.0,0,0.0
2021-07-11,NY,36091,0,0,14.3,0.0,0,0.0
2021-07-18,NY,36091,0,0,15.4,0.0,0,0.0
2021-07-25,NY,36091,5.9,5.9,14.3,0.0,5.9,5.9
2021-08-01,NY,36091,12.6,12.6,15.1,0.0,12.6,12.6
2021-08-08,NY,36091,13.9,13.9,14.0,0.0,13.9,13.9
2021-08-15,NY,36091,16.9,16.9,14.6,0.0,16.9,16.9
2021-08-22,NY,36091,18.9,18.9,15.6,0.0,18.9,18.9
2021-08-29,NY,36091,17.0,17.0,14.7,0.0,17.0,17.0
2021-09-05,NY,36091,21.7,21.7,15.9,0.0,21.7,21.7
2021-09-12,NY,36091,21.0,21.0,15.7,0.0,21.0,21.0
2021-09-19,NY,36091,16.0,16.0,16.1,0.0,16.0,16.0
2021-09-26,NY,36091,12.1,12.1,15.0,0.0,12.1,12.1
2021-10-03,NY,36091,13.0,13.0,16.1,0.0,13.0,13.0
2021-10-10,NY,36091,12.9,12.9,14.9,0.0,12.9,12.9
2021-10-17,NY,36091,18.7,18.7,16.0,0.0,18.7,18.7
2021-10-24,NY,36091,18.6,18.6,14.9,0.0,18.6,18.6
2021-10-31,NY,36091,12.9,12.9,14.4,0.0,12.9,12.9
2021-11-07,NY,36091,10.6,10.6,14.0,0.0,10.6,10.6
2021-11-14,NY,36091,23.4,23.4,17.0,0.0,23.4,23.4
2021-11-21,NY,36091,34.4,34.4,15.0,0.0,34.4,34.4
2021-11-28,NY,36091,42.1,42.1,16.1,0.0,42.1,42.1
2021-12-05,NY,36091,42.0,42.0,16.9,0.0,42.0,42.0
2021-12-12,NY,36091,34.4,34.4,14.7,0.0,34.4,34.4
2021-12-19,NY,36091,29.3,29.3,16.4,0.0,29.3,29.3
2021-12-26,NY,36091,27.0,27.0,13.9,0.0,27.0,27.0
