collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36093,5.7,0.0,32.0,0.0,5.7,5.7
2020-08-09,NY,36093,7.6,0,24.0,0.0,7.6,7.6
2020-08-16,NY,36093,13.7,6.9,26.9,0,14.0,13.7
2020-08-23,NY,36093,14.7,8.7,25.7,0.0,14.7,14.7
2020-08-30,NY,36093,11.7,4.1,27.4,0.0,11.7,11.7
2020-09-06,NY,36093,8.6,4.0,24.4,0.0,8.6,8.6
2020-09-13,NY,36093,9.0,0,28.7,0.0,9.0,9.0
2020-09-20,NY,36093,10.3,0,30.0,0.0,10.3,10.3
2020-09-27,NY,36093,9.7,0.0,27.7,0.0,9.7,9.7
2020-10-04,NY,36093,10.7,0,32.1,0.0,10.7,10.7
2020-10-11,NY,36093,14.0,0,28.1,0.0,14.0,14.0
2020-10-18,NY,36093,15.0,6.7,19.7,0.0,15.0,15.0
2020-10-25,NY,36093,10.9,6.4,28.3,0.0,10.9,10.9
2020-11-01,NY,36093,12.1,8.7,33.7,0.0,12.1,12.1
2020-11-08,NY,36093,17.1,12.1,33.1,0.0,17.1,17.1
2020-11-15,NY,36093,17.9,15.3,28.4,0.0,17.9,17.9
2020-11-22,NY,36093,31.9,29.700000000000003,27.6,0.0,31.9,31.9
2020-11-29,NY,36093,43.9,43.9,31.0,0.0,43.9,43.9
2020-12-06,NY,36093,64.1,63.400000000000006,28.4,0.0,64.1,64.1
2020-12-13,NY,36093,79.7,66.4,31.3,0.0,79.7,79.7
2020-12-20,NY,36093,72.4,71.7,27.9,0.0,72.4,72.4
2020-12-27,NY,36093,73.1,71.3,25.6,0.0,73.1,73.1
2021-01-03,NY,36093,77.6,72.6,24.9,0.0,77.6,77.6
2021-01-10,NY,36093,82.6,81.69999999999999,27.9,0.0,82.6,82.6
2021-01-17,NY,36093,72.1,71.9,30.3,0.0,72.1,72.1
2021-01-24,NY,36093,54.800000000000004,53.6,29.1,0.0,54.800000000000004,54.800000000000004
2021-01-31,NY,36093,43.7,42.9,30.4,0.0,43.7,43.7
2021-02-07,NY,36093,44.5,44.0,30.1,0.0,44.5,44.5
2021-02-14,NY,36093,30.200000000000003,29.700000000000003,32.6,0.0,30.200000000000003,30.200000000000003
