collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36101,0,0,0,0.0,0,0.0
2020-08-09,NY,36101,0.0,0.0,4.6,0.0,0.0,0.0
2020-08-16,NY,36101,0.0,0.0,4.6,0.0,0.0,0.0
2020-08-23,NY,36101,0.0,0.0,5.3,0.0,0.0,0.0
2020-08-30,NY,36101,0.0,0.0,6.0,0.0,0.0,0.0
2020-09-06,NY,36101,0.0,0.0,5.1,0.0,0.0,0.0
2020-09-13,NY,36101,0.0,0.0,5.6,0.0,0.0,0.0
2020-09-20,NY,36101,6.7,6.7,5.7,0.0,6.7,6.7
2020-09-27,NY,36101,7.7,7.7,6.0,0.0,8.0,7.7
2020-10-04,NY,36101,9.0,8.9,6.0,0.0,9.1,9.0
2020-10-11,NY,36101,12.3,11.3,5.7,0.0,13.1,12.3
2020-10-18,NY,36101,9.7,9.7,5.1,0.0,9.7,9.7
2020-10-25,NY,36101,10.9,10.9,5.7,0.0,10.9,10.9
2020-11-01,NY,36101,13.3,13.3,5.8,0.0,13.3,13.3
2020-11-08,NY,36101,13.3,13.3,5.7,0.0,13.3,13.3
2020-11-15,NY,36101,15.4,15.4,7.0,0.0,15.4,15.4
2020-11-22,NY,36101,23.0,23.0,7.2,0.0,23.0,23.0
2020-11-29,NY,36101,23.4,23.4,6.9,0.0,23.4,23.4
2020-12-06,NY,36101,27.0,24.4,5.6,0.0,27.0,27.0
2020-12-13,NY,36101,30.299999999999997,28.799999999999997,6.0,0.0,30.299999999999997,30.299999999999997
2020-12-20,NY,36101,28.0,27.099999999999998,6.6,0.0,28.0,28.0
2020-12-27,NY,36101,31.0,29.3,7.4,0.0,31.0,31.0
2021-01-03,NY,36101,31.4,30.6,7.1,0.0,31.4,31.4
2021-01-10,NY,36101,32.7,31.799999999999997,7.4,0.0,32.7,32.7
2021-01-17,NY,36101,28.900000000000002,28.5,7.1,0.0,28.900000000000002,28.900000000000002
2021-01-24,NY,36101,24.9,24.200000000000003,6.3,0.0,24.9,24.9
2021-01-31,NY,36101,16.4,16.4,4.1,0.0,16.4,16.4
2021-02-07,NY,36101,10.3,10.3,5.0,0.0,10.7,10.3
2021-02-14,NY,36101,4.7,4.7,5.4,0.0,4.7,4.7
2021-02-21,NY,36101,6.9,6.9,5.9,0.0,6.9,6.9
2021-02-28,NY,36101,5.0,5.0,5.1,0.0,5.0,5.0
2021-03-07,NY,36101,5.3,5.3,4.4,0.0,5.3,5.3
2021-03-14,NY,36101,5.6,5.6,0.0,0.0,5.6,5.6
2021-03-21,NY,36101,4.7,4.7,6.0,0.0,4.7,4.7
2021-03-28,NY,36101,6.0,6.0,4.4,0.0,6.0,6.0
2021-04-04,NY,36101,7.4,7.4,6.3,0.0,7.4,7.4
2021-04-11,NY,36101,5.3,5.3,6.6,0.0,5.3,5.3
2021-04-18,NY,36101,8.0,8.0,4.7,0.0,8.0,8.0
2021-04-25,NY,36101,6.0,6.0,5.0,0.0,6.0,6.0
2021-05-02,NY,36101,0.0,0.0,4.7,0.0,0.0,0.0
2021-05-09,NY,36101,0,0,4.1,0.0,0,0.0
2021-05-16,NY,36101,0,0.0,6.0,0.0,0,0.0
2021-05-23,NY,36101,5.4,0.0,5.3,0.0,5.4,5.4
2021-05-30,NY,36101,0.0,0.0,4.4,0.0,0.0,0.0
2021-06-06,NY,36101,0,0,5.1,0.0,0,0.0
2021-06-13,NY,36101,0.0,0.0,6.4,0.0,0.0,0.0
2021-06-20,NY,36101,0.0,0.0,4.6,0.0,0.0,0.0
2021-06-27,NY,36101,0.0,0.0,5.0,0.0,0.0,0.0
2021-07-04,NY,36101,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-11,NY,36101,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-18,NY,36101,0.0,0.0,4.3,0.0,0.0,0.0
2021-07-25,NY,36101,0.0,0.0,4.6,0.0,0.0,0.0
2021-08-01,NY,36101,0.0,0.0,5.9,0.0,0.0,0.0
2021-08-08,NY,36101,0.0,0.0,6.6,0.0,0.0,0.0
2021-08-15,NY,36101,4.9,4.9,4.4,0.0,4.9,4.9
2021-08-22,NY,36101,8.9,8.9,6.0,0.0,8.9,8.9
2021-08-29,NY,36101,8.4,8.4,4.1,0.0,8.4,8.4
2021-09-05,NY,36101,7.4,7.4,5.0,0.0,7.4,7.4
2021-09-12,NY,36101,9.0,9.0,6.4,0.0,9.0,9.0
2021-09-19,NY,36101,12.3,12.3,5.6,0.0,12.3,12.3
2021-09-26,NY,36101,21.4,21.3,5.4,0.0,21.4,21.4
2021-10-03,NY,36101,22.200000000000003,22.200000000000003,6.3,0.0,22.200000000000003,22.200000000000003
2021-10-10,NY,36101,21.5,21.5,7.7,0.0,21.5,21.5
2021-10-17,NY,36101,22.6,22.6,7.3,0.0,22.6,22.6
2021-10-24,NY,36101,24.8,24.8,7.4,0.0,24.8,24.8
2021-10-31,NY,36101,22.3,22.3,7.6,0.0,22.3,22.3
