collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36103,138.20000000000002,35.0,201.5,0.0,142.6,138.20000000000002
2020-08-09,NY,36103,125.2,38.1,227.8,0.0,129.3,125.2
2020-08-16,NY,36103,124.1,51.2,210.3,0.0,130.8,124.1
2020-08-23,NY,36103,122.80000000000001,40.1,226.2,0.0,126.30000000000001,122.80000000000001
2020-08-30,NY,36103,72.8,25.999999999999996,242.4,0.0,75.0,72.8
2020-09-06,NY,36103,75.7,21.6,242.4,0.0,77.39999999999999,75.7
2020-09-13,NY,36103,63.69999999999999,17.8,230.4,0.0,65.0,63.69999999999999
2020-09-20,NY,36103,66.3,14.5,233.89999999999998,0.0,67.3,66.3
2020-09-27,NY,36103,79.1,21.900000000000002,237.3,0.0,80.8,79.1
2020-10-04,NY,36103,51.8,17.3,244.9,0.0,52.1,51.8
2020-10-11,NY,36103,69.3,26.4,236.8,0.0,71.30000000000001,69.3
2020-10-18,NY,36103,68.69999999999999,21.299999999999997,241.4,0.0,71.0,68.69999999999999
2020-10-25,NY,36103,68.2,28.799999999999997,236.5,0.0,70.2,68.2
2020-11-01,NY,36103,93.49999999999999,43.60000000000001,244.79999999999998,0.0,96.1,93.49999999999999
2020-11-08,NY,36103,123.10000000000001,61.7,240.5,0.0,126.70000000000002,123.10000000000001
2020-11-15,NY,36103,155.20000000000002,102.60000000000001,240.9,0.0,156.8,155.20000000000002
2020-11-22,NY,36103,220.6,172.1,234.4,0.0,223.3,220.6
2020-11-29,NY,36103,328.69999999999993,277.5,244.0,0.0,332.5,328.69999999999993
2020-12-06,NY,36103,446.6,380.2,261.0,0.0,450.0,446.6
2020-12-13,NY,36103,525.4,457.4,279.0,0.0,526.5,525.4
2020-12-20,NY,36103,631.5,563.5,281.4,0.0,634.6999999999999,631.5
