collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36105,0,0.0,5.4,0.0,0,0.0
2020-08-09,NY,36105,0,0.0,6.8,0.0,0,0.0
2020-08-16,NY,36105,0,0.0,7.8,0.0,0,0.0
2020-08-23,NY,36105,4.3,0,6.4,0.0,4.3,4.3
2020-08-30,NY,36105,0,0,6.4,0.0,0,0.0
2020-09-06,NY,36105,4.0,0,5.8,0.0,4.0,4.0
2020-09-13,NY,36105,4.2,0,6.8,0.0,4.2,4.2
2020-09-20,NY,36105,5.3,0,6.6,0.0,5.3,5.3
2020-09-27,NY,36105,6.9,0,8.3,0.0,6.9,6.9
2020-10-04,NY,36105,4.6,0,7.1,0.0,4.6,4.6
2020-10-11,NY,36105,4.0,0,7.8,0.0,4.0,4.0
2020-10-18,NY,36105,0,0,6.2,0.0,0,0.0
2020-10-25,NY,36105,0,0,0,0.0,0,0.0
2020-11-01,NY,36105,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08,NY,36105,7.1,0.0,4.1,0.0,7.1,7.1
2020-11-15,NY,36105,6.9,0.0,4.4,0.0,6.9,6.9
2020-11-22,NY,36105,8.6,4.3,4.6,0.0,8.6,8.6
2020-11-29,NY,36105,10.9,7.4,5.4,0.0,10.9,10.9
2020-12-06,NY,36105,8.6,6.4,0.0,0.0,8.6,8.6
2020-12-13,NY,36105,15.1,12.0,6.7,0.0,15.1,15.1
2020-12-20,NY,36105,22.3,20.6,6.9,0.0,22.3,22.3
2020-12-27,NY,36105,22.4,21.0,7.6,0.0,22.4,22.4
2021-01-03,NY,36105,13.4,11.3,6.4,0.0,13.4,13.4
2021-01-10,NY,36105,8.9,8.9,7.1,0.0,8.9,8.9
2021-01-17,NY,36105,7.3,7.3,6.7,0.0,7.3,7.3
2021-01-24,NY,36105,7.0,7.0,6.7,0.0,7.0,7.0
2021-01-31,NY,36105,5.4,4.6,5.3,0.0,5.4,5.4
2021-02-07,NY,36105,7.4,6.3,6.0,0.0,7.4,7.4
2021-02-14,NY,36105,8.4,8.4,7.1,0.0,8.4,8.4
2021-02-21,NY,36105,10.3,10.3,7.0,0.0,10.3,10.3
2021-02-28,NY,36105,8.4,8.4,7.3,0.0,8.4,8.4
2021-03-07,NY,36105,9.7,9.4,7.1,0.0,9.7,9.7
2021-03-14,NY,36105,11.0,10.6,8.1,0.0,11.0,11.0
2021-03-21,NY,36105,12.0,12.0,7.7,0.0,12.0,12.0
2021-03-28,NY,36105,13.0,12.7,7.3,0.0,13.0,13.0
2021-04-04,NY,36105,13.6,13.6,4.4,0.0,13.6,13.6
2021-04-11,NY,36105,12.7,12.7,6.0,0.0,12.7,12.7
2021-04-18,NY,36105,13.3,13.3,4.9,0.0,13.3,13.3
2021-04-25,NY,36105,7.7,7.7,6.3,0.0,7.7,7.7
2021-05-02,NY,36105,0.0,0.0,5.9,0.0,0.0,0.0
2021-05-09,NY,36105,5.0,5.0,7.4,0.0,5.0,5.0
2021-05-16,NY,36105,5.6,5.6,7.0,0.0,5.6,5.6
2021-05-23,NY,36105,0.0,0.0,6.0,0.0,0.0,0.0
2021-05-30,NY,36105,0.0,0.0,4.7,0.0,0.0,0.0
2021-06-06,NY,36105,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-13,NY,36105,0.0,0.0,5.9,0.0,0.0,0.0
2021-06-20,NY,36105,0.0,0.0,4.1,0.0,0.0,0.0
2021-06-27,NY,36105,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,NY,36105,0.0,0.0,4.0,0.0,0.0,0.0
2021-07-11,NY,36105,0.0,0.0,4.6,0.0,0.0,0.0
2021-07-18,NY,36105,0.0,0.0,5.1,0.0,0.0,0.0
2021-07-25,NY,36105,0.0,0.0,0.0,0.0,0.0,0.0
