collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36109,0,0.0,7.6,0.0,0,0.0
2020-08-09,NY,36109,0,0.0,6.4,0.0,0,0.0
2020-08-16,NY,36109,0,0.0,7.0,0.0,0,0.0
2020-08-23,NY,36109,0,0.0,5.9,0.0,0,0.0
2020-08-30,NY,36109,0,0.0,6.1,0.0,0,0.0
2020-09-06,NY,36109,0,0.0,6.4,0.0,0,0.0
2020-09-13,NY,36109,0,0,6.9,0,0,0.0
2020-09-20,NY,36109,0,0,5.3,0.0,0,0.0
2020-09-27,NY,36109,0,0,5.7,0.0,0,0.0
2020-10-04,NY,36109,4.6,0,7.7,0.0,4.6,4.6
2020-10-11,NY,36109,4.7,0,7.9,0.0,4.7,4.7
2020-10-18,NY,36109,8.4,6.6,10.7,0.0,8.4,8.4
2020-10-25,NY,36109,11.8,6.3,8.0,0.0,11.8,11.8
2020-11-01,NY,36109,6.7,5.3,8.4,0.0,6.7,6.7
2020-11-08,NY,36109,12.1,7.6,8.6,0.0,12.1,12.1
2020-11-15,NY,36109,13.1,7.0,8.7,0.0,13.1,13.1
2020-11-22,NY,36109,13.7,8.4,7.6,0.0,13.7,13.7
2020-11-29,NY,36109,15.3,9.7,6.4,0.0,15.3,15.3
2020-12-06,NY,36109,15.4,10.4,8.6,0.0,15.4,15.4
2020-12-13,NY,36109,21.0,16.1,10.4,0.0,21.0,21.0
2020-12-20,NY,36109,23.4,21.3,11.4,0.0,23.4,23.4
2020-12-27,NY,36109,33.4,31.1,13.7,0.0,33.4,33.4
2021-01-03,NY,36109,35.3,32.9,11.4,0.0,35.3,35.3
2021-01-10,NY,36109,27.1,26.9,10.0,0.0,27.1,27.1
2021-01-17,NY,36109,24.4,22.9,9.9,0.0,24.4,24.4
2021-01-24,NY,36109,19.0,17.3,12.0,0.0,19.0,19.0
2021-01-31,NY,36109,12.0,11.3,11.7,0.0,12.0,12.0
2021-02-07,NY,36109,7.7,6.3,12.4,0.0,7.7,7.7
2021-02-14,NY,36109,6.4,5.3,7.9,0.0,6.4,6.4
2021-02-21,NY,36109,0,0,5.1,0.0,0,0.0
2021-02-28,NY,36109,0,0,6.3,0.0,0,0.0
2021-03-07,NY,36109,0,0,7.9,0.0,0,0.0
2021-03-14,NY,36109,0,0,9.4,0.0,0,0.0
2021-03-21,NY,36109,0,0,4.9,0.0,0,0.0
2021-03-28,NY,36109,4.3,0,8.0,0.0,4.3,4.3
2021-04-04,NY,36109,6.1,5.4,7.3,0.0,6.1,6.1
2021-04-11,NY,36109,6.0,5.1,6.7,0.0,6.0,6.0
2021-04-18,NY,36109,5.3,5.1,6.7,0.0,5.3,5.3
2021-04-25,NY,36109,8.0,7.3,7.6,0.0,8.0,8.0
2021-05-02,NY,36109,6.3,6.3,6.1,0.0,6.3,6.3
2021-05-09,NY,36109,4.9,0,6.0,0.0,4.9,4.9
2021-05-16,NY,36109,0,0,7.0,0.0,0,0.0
2021-05-23,NY,36109,0,0,6.6,0,0,0.0
2021-05-30,NY,36109,0,0,10.7,0,0,0.0
2021-06-06,NY,36109,0,0,9.7,0.0,0,0.0
2021-06-13,NY,36109,0,0,7.4,0.0,0,0.0
2021-06-20,NY,36109,0,0,7.7,0.0,0,0.0
2021-06-27,NY,36109,0,0,9.7,0.0,0,0.0
2021-07-04,NY,36109,0,0,5.6,0.0,0,0.0
2021-07-11,NY,36109,0,0,6.9,0.0,0,0.0
2021-07-18,NY,36109,0,0,8.4,0.0,0,0.0
2021-07-25,NY,36109,0,0,8.3,0.0,0,0.0
2021-08-01,NY,36109,4.6,0,9.7,0.0,4.6,4.6
2021-08-08,NY,36109,11.9,10.1,11.7,0.0,11.9,11.9
2021-08-15,NY,36109,14.4,11.9,11.4,0.0,14.4,14.4
2021-08-22,NY,36109,11.6,7.0,7.3,0.0,11.6,11.6
2021-08-29,NY,36109,11.1,8.0,7.9,0.0,11.1,11.1
2021-09-05,NY,36109,16.3,10.4,9.4,0.0,16.3,16.3
2021-09-12,NY,36109,17.3,12.9,9.7,0.0,17.3,17.3
2021-09-19,NY,36109,14.4,11.1,9.9,0.0,14.4,14.4
2021-09-26,NY,36109,16.6,13.0,9.7,0,17.1,16.6
2021-10-03,NY,36109,16.4,13.9,8.7,0,17.4,16.4
2021-10-10,NY,36109,12.7,9.6,9.6,0,13.7,12.7
2021-10-17,NY,36109,11.7,8.6,9.7,0,13.1,11.7
2021-10-24,NY,36109,11.7,9.3,10.6,0,13.3,11.7
2021-10-31,NY,36109,10.3,5.9,8.9,0,11.3,10.3
2021-11-07,NY,36109,8.9,5.1,8.9,0,9.0,8.9
2021-11-14,NY,36109,12.4,7.6,8.0,0.0,12.4,12.4
2021-11-21,NY,36109,11.6,7.4,9.0,0,11.9,11.6
2021-11-28,NY,36109,12.9,9.1,12.0,0,13.1,12.9
2021-12-05,NY,36109,14.9,12.7,11.0,0.0,14.9,14.9
2021-12-12,NY,36109,16.7,15.4,11.0,0.0,16.7,16.7
2021-12-19,NY,36109,20.6,20.6,10.9,0,21.0,20.6
2021-12-26,NY,36109,22.1,22.1,12.1,0.0,22.1,22.1
