collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36111,0.0,0.0,5.9,0.0,0.0,0.0
2020-08-09,NY,36111,0,0,0.0,0.0,0.0,0.0
2020-08-16,NY,36111,0,0,0.0,27.9,31.3,27.9
2020-08-23,NY,36111,0,0,6.3,0.0,0.0,0.0
2020-08-30,NY,36111,4.0,0,5.0,0.0,4.0,4.0
2020-09-06,NY,36111,4.4,0,5.1,0.0,4.4,4.4
2020-09-13,NY,36111,5.9,0,4.3,0.0,6.1,5.9
2020-09-20,NY,36111,4.7,0.0,6.7,0.0,5.3,4.7
2020-09-27,NY,36111,6.9,0.0,5.0,0.0,6.9,6.9
2020-10-04,NY,36111,7.1,0.0,5.1,0.0,7.1,7.1
2020-10-11,NY,36111,8.4,5.1,4.9,0.0,8.4,8.4
2020-10-18,NY,36111,6.7,4.1,5.4,0.0,6.7,6.7
2020-10-25,NY,36111,9.3,0.0,5.6,0.0,9.3,9.3
2020-11-01,NY,36111,9.9,4.4,5.4,0.0,9.9,9.9
2020-11-08,NY,36111,17.6,12.2,6.6,0.0,17.6,17.6
2020-11-15,NY,36111,14.7,10.3,7.9,0.0,14.7,14.7
2020-11-22,NY,36111,10.6,5.7,4.9,0.0,10.6,10.6
2020-11-29,NY,36111,15.1,6.7,0.0,0.0,15.1,15.1
2020-12-06,NY,36111,31.1,16.3,4.3,0.0,31.1,31.1
2020-12-13,NY,36111,34.4,24.1,0.0,0.0,34.4,34.4
2020-12-20,NY,36111,31.6,21.4,4.0,0.0,31.6,31.6
2020-12-27,NY,36111,36.1,24.6,7.4,0.0,36.1,36.1
2021-01-03,NY,36111,46.1,32.6,7.3,0.0,46.1,46.1
2021-01-10,NY,36111,39.6,27.5,6.9,0.0,39.6,39.6
2021-01-17,NY,36111,41.5,33.8,8.3,0.0,41.5,41.5
2021-01-24,NY,36111,40.8,33.5,7.7,0.0,40.8,40.8
2021-01-31,NY,36111,39.3,33.2,6.9,0.0,39.6,39.3
2021-02-07,NY,36111,23.1,19.0,5.0,0.0,23.1,23.1
2021-02-14,NY,36111,13.0,4.7,6.6,0.0,13.0,13.0
2021-02-21,NY,36111,5.3,0.0,4.1,0.0,5.3,5.3
2021-02-28,NY,36111,7.7,5.6,0.0,0.0,7.7,7.7
2021-03-07,NY,36111,7.6,5.7,4.6,0.0,7.6,7.6
2021-03-14,NY,36111,4.7,4.1,6.7,0.0,4.7,4.7
2021-03-21,NY,36111,9.3,8.3,6.7,0.0,9.3,9.3
2021-03-28,NY,36111,14.4,11.1,5.6,0.0,14.4,14.4
2021-04-04,NY,36111,13.9,10.4,4.9,0.0,13.9,13.9
2021-04-11,NY,36111,11.9,11.3,7.3,0.0,11.9,11.9
2021-04-18,NY,36111,16.200000000000003,14.1,4.9,0.0,16.200000000000003,16.200000000000003
2021-04-25,NY,36111,14.7,14.3,5.7,0.0,14.7,14.7
2021-05-02,NY,36111,13.3,12.0,6.6,0.0,13.3,13.3
2021-05-09,NY,36111,9.9,9.3,4.0,0.0,9.9,9.9
2021-05-16,NY,36111,7.3,6.6,5.4,0.0,7.3,7.3
2021-05-23,NY,36111,6.1,5.1,0.0,0.0,6.3,6.1
2021-05-30,NY,36111,0.0,0.0,5.3,0.0,0.0,0.0
2021-06-06,NY,36111,0.0,0.0,4.4,0.0,0.0,0.0
2021-06-13,NY,36111,0.0,0.0,4.1,0.0,0.0,0.0
2021-06-20,NY,36111,0.0,0.0,4.7,0.0,0.0,0.0
2021-06-27,NY,36111,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,NY,36111,0.0,0.0,6.9,0.0,0.0,0.0
2021-07-11,NY,36111,0.0,0.0,6.4,0.0,0.0,0.0
2021-07-18,NY,36111,0.0,0.0,4.0,0.0,0.0,0.0
2021-07-25,NY,36111,0.0,0.0,4.1,0.0,0.0,0.0
2021-08-01,NY,36111,0.0,0.0,5.0,0.0,0.0,0.0
2021-08-08,NY,36111,0.0,0.0,5.3,0.0,0.0,0.0
2021-08-15,NY,36111,6.9,6.9,6.7,0.0,6.9,6.9
2021-08-22,NY,36111,4.1,4.1,6.3,0.0,4.1,4.1
2021-08-29,NY,36111,6.0,5.7,6.4,0.0,6.0,6.0
2021-09-05,NY,36111,9.9,9.3,5.9,0.0,9.9,9.9
2021-09-12,NY,36111,13.0,12.3,5.1,0.0,13.0,13.0
2021-09-19,NY,36111,11.6,11.6,5.9,0.0,11.6,11.6
2021-09-26,NY,36111,8.3,8.3,4.6,0.0,8.3,8.3
2021-10-03,NY,36111,8.4,8.3,4.9,0.0,8.4,8.4
2021-10-10,NY,36111,7.4,7.0,5.3,0.0,7.4,7.4
2021-10-17,NY,36111,7.3,7.3,5.7,0.0,7.3,7.3
2021-10-24,NY,36111,7.0,7.0,5.9,0.0,7.0,7.0
2021-10-31,NY,36111,5.3,5.3,4.3,0.0,5.3,5.3
