collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36113,0,0,12.3,0.0,0,0.0
2020-08-09,NY,36113,0,0,8.0,0.0,0,0.0
2020-08-16,NY,36113,0,0,6.9,0.0,0,0.0
2020-08-23,NY,36113,0,0,10.0,0.0,0,0.0
2020-08-30,NY,36113,0,0.0,9.7,0.0,0,0.0
2020-09-06,NY,36113,0,0.0,11.1,0.0,0,0.0
2020-09-13,NY,36113,0,0,11.7,0.0,0,0.0
2020-09-20,NY,36113,0,0,10.9,0.0,0,0.0
2020-09-27,NY,36113,0,0,8.7,0.0,0,0.0
2020-10-04,NY,36113,0,0,10.1,0.0,0,0.0
2020-10-11,NY,36113,0,0,10.3,0.0,0,0.0
2020-10-18,NY,36113,0,0,13.4,0.0,0,0.0
2020-10-25,NY,36113,0,0,11.1,0.0,0,0.0
2020-11-01,NY,36113,0,0,7.9,0.0,0,0.0
2020-11-08,NY,36113,0.0,0.0,7.4,0.0,0.0,0.0
2020-11-15,NY,36113,0,0,7.6,0.0,0,0.0
2020-11-22,NY,36113,0,0,11.1,0.0,0,0.0
2020-11-29,NY,36113,0,0,8.6,0.0,0,0.0
2020-12-06,NY,36113,7.4,7.4,9.4,0.0,7.4,7.4
2020-12-13,NY,36113,14.4,14.4,8.6,0.0,14.4,14.4
2020-12-20,NY,36113,30.6,26.3,9.7,0.0,30.6,30.6
2020-12-27,NY,36113,40.1,25.6,13.3,0.0,40.1,40.1
2021-01-03,NY,36113,30.9,29.7,13.6,0.0,30.9,30.9
2021-01-10,NY,36113,38.0,37.6,12.7,0.0,38.0,38.0
2021-01-17,NY,36113,36.4,36.4,12.4,0.0,36.4,36.4
2021-01-24,NY,36113,25.4,25.4,12.3,0.0,25.4,25.4
2021-01-31,NY,36113,22.7,22.7,9.9,0.0,22.7,22.7
2021-02-07,NY,36113,16.6,16.6,9.3,0.0,16.6,16.6
2021-02-14,NY,36113,14.9,14.9,6.0,0.0,14.9,14.9
2021-02-21,NY,36113,10.3,10.3,8.9,0.0,10.3,10.3
2021-02-28,NY,36113,4.4,4.4,10.4,0.0,4.4,4.4
2021-03-07,NY,36113,4.7,4.4,8.6,0.0,4.7,4.7
2021-03-14,NY,36113,5.4,5.4,11.1,0.0,5.4,5.4
2021-03-21,NY,36113,8.7,8.7,10.0,0.0,8.7,8.7
2021-03-28,NY,36113,8.3,8.3,9.9,0.0,8.3,8.3
2021-04-04,NY,36113,8.9,8.7,11.0,0.0,8.9,8.9
2021-04-11,NY,36113,10.4,10.4,10.9,0.0,10.4,10.4
2021-04-18,NY,36113,12.3,12.3,9.4,0.0,12.3,12.3
2021-04-25,NY,36113,12.0,12.0,10.6,0.0,12.0,12.0
2021-05-02,NY,36113,4.0,4.0,9.3,0.0,4.0,4.0
2021-05-09,NY,36113,5.4,5.4,12.0,0.0,5.4,5.4
2021-05-16,NY,36113,6.9,6.9,8.4,0.0,6.9,6.9
2021-05-23,NY,36113,5.7,5.7,10.9,0.0,5.7,5.7
2021-05-30,NY,36113,0,0,9.1,0.0,0,0.0
2021-06-06,NY,36113,4.4,4.4,10.7,0.0,4.4,4.4
2021-06-13,NY,36113,0,0,11.1,0.0,0,0.0
2021-06-20,NY,36113,0,0,11.6,0.0,0,0.0
2021-06-27,NY,36113,0,0,11.4,0.0,0,0.0
2021-07-04,NY,36113,0.0,0.0,10.6,0.0,0.0,0.0
2021-07-11,NY,36113,0,0,8.6,0.0,0,0.0
2021-07-18,NY,36113,0,0,5.7,0.0,0,0.0
2021-07-25,NY,36113,0,0,8.4,0.0,0,0.0
2021-08-01,NY,36113,0,0,10.3,0.0,0,0.0
2021-08-08,NY,36113,9.0,9.0,10.6,0.0,9.0,9.0
2021-08-15,NY,36113,14.3,14.3,11.4,0.0,14.3,14.3
2021-08-22,NY,36113,14.6,14.6,12.1,0.0,14.6,14.6
2021-08-29,NY,36113,13.9,13.9,12.4,0.0,13.9,13.9
2021-09-05,NY,36113,11.4,11.4,12.6,0.0,11.4,11.4
2021-09-12,NY,36113,17.1,17.1,10.9,0.0,17.1,17.1
2021-09-19,NY,36113,20.0,20.0,11.6,0.0,20.0,20.0
2021-09-26,NY,36113,17.6,17.6,11.9,0.0,17.6,17.6
2021-10-03,NY,36113,19.3,19.3,12.7,0.0,19.3,19.3
2021-10-10,NY,36113,18.1,18.1,13.9,0.0,18.1,18.1
2021-10-17,NY,36113,24.1,24.1,14.4,0.0,24.1,24.1
2021-10-24,NY,36113,23.0,23.0,14.7,0.0,23.0,23.0
2021-10-31,NY,36113,25.9,25.9,13.9,0.0,25.9,25.9
2021-11-07,NY,36113,37.4,37.4,12.0,0.0,37.4,37.4
2021-11-14,NY,36113,42.6,42.6,13.9,0.0,42.6,42.6
2021-11-21,NY,36113,48.3,48.1,15.1,0,48.4,48.3
2021-11-28,NY,36113,48.7,48.7,14.1,0.0,48.7,48.7
2021-12-05,NY,36113,44.6,44.6,12.0,0,44.7,44.6
2021-12-12,NY,36113,32.1,32.1,12.6,0.0,32.1,32.1
2021-12-19,NY,36113,27.6,27.3,13.7,0.0,27.6,27.6
2021-12-26,NY,36113,25.9,25.9,11.7,0.0,25.9,25.9
