collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NY,36119,111.09999999999998,24.2,51.099999999999994,0.0,127.6,111.09999999999998
2020-08-09,NY,36119,110.60000000000001,25.2,51.8,0.0,130.4,110.60000000000001
2020-08-16,NY,36119,111.89999999999999,18.0,51.0,0.0,136.4,111.89999999999999
2020-08-23,NY,36119,111.39999999999999,12.7,55.0,0.0,133.20000000000002,111.39999999999999
2020-08-30,NY,36119,95.7,8.3,53.300000000000004,0.0,107.80000000000001,95.7
2020-09-06,NY,36119,106.19999999999999,9.7,45.1,5.0,112.1,111.19999999999999
2020-09-13,NY,36119,91.69999999999999,12.7,50.099999999999994,7.4,99.8,99.1
2020-09-20,NY,36119,103.69999999999999,10.0,57.6,8.9,112.69999999999999,112.6
2020-09-27,NY,36119,88.7,8.1,40.4,9.0,97.7,97.7
2020-10-04,NY,36119,108.89999999999999,25.3,45.8,6.0,115.0,114.89999999999999
2020-10-11,NY,36119,136.0,36.3,43.699999999999996,4.4,141.0,140.4
2020-10-18,NY,36119,98.0,32.7,120.39999999999999,11.1,109.9,109.1
2020-10-25,NY,36119,113.60000000000001,34.4,134.99999999999997,10.9,124.6,124.50000000000001
2020-11-01,NY,36119,129.5,54.9,143.1,7.4,137.0,136.9
2020-11-08,NY,36119,160.89999999999998,89.5,142.39999999999998,13.4,174.5,174.29999999999998
2020-11-15,NY,36119,184.39999999999998,121.3,142.20000000000002,9.7,192.0,194.09999999999997
2020-11-22,NY,36119,240.10000000000002,160.79999999999998,139.2,26.9,267.3,267.0
2020-11-29,NY,36119,299.5,209.70000000000002,147.6,22.6,322.70000000000005,322.1
2020-12-06,NY,36119,333.3,256.2,143.8,22.9,356.40000000000003,356.2
2020-12-13,NY,36119,327.9,290.4,147.20000000000002,8.6,336.59999999999997,336.5
2020-12-20,NY,36119,360.69999999999993,322.50000000000006,144.49999999999997,5.7,366.7,366.3999999999999
2020-12-27,NY,36119,409.59999999999997,351.90000000000003,150.3,7.9,417.7,417.49999999999994
2021-01-03,NY,36119,428.4,380.20000000000005,157.30000000000004,7.9,436.49999999999994,436.29999999999995
2021-01-10,NY,36119,485.70000000000005,449.7,159.0,8.4,495.1,494.1
2021-01-17,NY,36119,473.09999999999997,438.2,162.9,11.0,484.4,484.09999999999997
2021-01-24,NY,36119,470.90000000000003,438.40000000000003,167.70000000000002,9.0,480.2,479.90000000000003
2021-01-31,NY,36119,417.1,388.09999999999997,162.8,8.6,427.1,425.70000000000005
2021-02-07,NY,36119,396.29999999999995,357.70000000000005,165.4,8.4,406.2,404.69999999999993
2021-02-14,NY,36119,339.80000000000007,307.20000000000005,165.2,8.0,347.80000000000007,347.80000000000007
2021-02-21,NY,36119,312.79999999999995,270.4,164.60000000000002,6.6,319.4,319.4
2021-02-28,NY,36119,271.3,227.8,158.70000000000002,6.0,277.7,277.3
2021-03-07,NY,36119,248.70000000000002,200.39999999999998,157.0,5.3,255.3,254.00000000000003
2021-03-14,NY,36119,247.79999999999998,209.39999999999998,145.6,6.6,255.2,254.39999999999998
2021-03-21,NY,36119,245.09999999999997,205.5,150.4,10.1,255.60000000000002,255.19999999999996
2021-03-28,NY,36119,227.4,188.4,146.1,7.4,235.20000000000002,234.8
2021-04-04,NY,36119,214.1,173.0,145.29999999999998,6.4,220.70000000000002,220.5
2021-04-11,NY,36119,173.0,136.6,145.4,4.3,177.59999999999997,177.3
2021-04-18,NY,36119,129.6,105.6,139.6,0.0,132.6,129.6
2021-04-25,NY,36119,117.00000000000001,89.1,131.0,5.3,122.89999999999999,122.30000000000001
2021-05-02,NY,36119,104.89999999999998,79.39999999999999,139.79999999999998,0.0,107.39999999999998,104.89999999999998
2021-05-09,NY,36119,64.5,42.1,149.3,4.0,68.7,68.5
2021-05-16,NY,36119,56.6,39.7,130.9,0.0,57.9,56.6
2021-05-23,NY,36119,51.6,30.700000000000003,136.0,0.0,52.5,51.6
2021-05-30,NY,36119,32.1,20.1,130.60000000000002,0.0,32.400000000000006,32.1
2021-06-06,NY,36119,27.200000000000003,16.9,130.1,0.0,27.200000000000003,27.200000000000003
2021-06-13,NY,36119,5.1,5.1,129.0,0.0,10.4,5.1
2021-06-20,NY,36119,10.3,0.0,124.4,0.0,10.3,10.3
2021-06-27,NY,36119,11.100000000000001,0.0,120.39999999999999,0.0,11.100000000000001,11.100000000000001
2021-07-04,NY,36119,8.7,0.0,124.4,0.0,8.9,8.7
2021-07-11,NY,36119,17.200000000000003,8.7,128.8,0.0,17.599999999999998,17.200000000000003
2021-07-18,NY,36119,10.4,4.7,133.4,0.0,10.600000000000001,10.4
2021-07-25,NY,36119,21.2,15.5,134.29999999999998,0.0,21.2,21.2
2021-08-01,NY,36119,36.900000000000006,23.799999999999997,123.30000000000001,0.0,37.50000000000001,36.900000000000006
2021-08-08,NY,36119,61.3,42.599999999999994,128.8,0.0,64.1,61.3
2021-08-15,NY,36119,77.70000000000002,57.800000000000004,126.9,0.0,81.4,77.70000000000002
2021-08-22,NY,36119,94.0,68.2,133.5,0.0,96.9,94.0
2021-08-29,NY,36119,94.39999999999999,70.8,139.5,4.0,98.39999999999999,98.39999999999999
2021-09-05,NY,36119,99.60000000000001,73.0,136.1,4.4,104.0,104.00000000000001
2021-09-12,NY,36119,80.20000000000002,57.8,139.2,4.1,84.60000000000001,84.30000000000001
2021-09-19,NY,36119,71.1,44.300000000000004,137.79999999999998,0.0,74.19999999999999,71.1
2021-09-26,NY,36119,51.9,31.0,128.6,0.0,54.1,51.9
2021-10-03,NY,36119,54.6,28.1,128.6,0.0,56.800000000000004,54.6
2021-10-10,NY,36119,57.9,36.9,132.0,0.0,61.300000000000004,57.9
2021-10-17,NY,36119,63.5,39.5,132.8,0.0,64.5,63.5
2021-10-24,NY,36119,40.599999999999994,17.0,138.6,0.0,41.6,40.599999999999994
2021-10-31,NY,36119,41.3,17.3,134.9,0.0,43.1,41.3
2021-11-07,NY,36119,39.6,21.6,132.8,0.0,40.9,39.6
2021-11-14,NY,36119,46.4,24.5,131.5,0.0,48.1,46.4
2021-11-21,NY,36119,59.3,39.3,139.1,0.0,62.8,59.3
2021-11-28,NY,36119,79.4,59.4,134.4,0.0,81.8,79.4
2021-12-05,NY,36119,118.9,98.0,136.79999999999998,0.0,121.50000000000001,118.9
2021-12-12,NY,36119,124.20000000000002,103.8,139.9,0.0,126.5,124.20000000000002
2021-12-19,NY,36119,174.29999999999998,150.0,140.09999999999997,7.4,183.39999999999998,181.7
2021-12-26,NY,36119,312.4,279.0,137.29999999999998,18.1,331.9,330.5
