collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-09,NY,36121,0.0,0.0,5.0,0.0,0.0,0.0
2020-09-06,NY,36121,0,0,0,0.0,0,0.0
2020-10-11,NY,36121,0,0,0,0.0,0,0.0
2020-10-25,NY,36121,6.0,6.0,0,0.0,6.0,6.0
2020-11-08,NY,36121,5.5,5.0,0,0.0,5.5,5.5
2020-11-15,NY,36121,6.6,6.6,4.9,0.0,6.6,6.6
2020-11-22,NY,36121,7.8,7.8,4.3,0.0,7.8,7.8
2020-11-29,NY,36121,11.7,11.7,4.4,0.0,11.7,11.7
2020-12-06,NY,36121,12.0,12.0,0,0.0,12.0,12.0
2020-12-13,NY,36121,14.4,14.4,5.1,0.0,14.4,14.4
2020-12-20,NY,36121,13.4,13.4,4.4,0.0,13.4,13.4
2020-12-27,NY,36121,14.6,14.6,4.3,0.0,14.6,14.6
2021-01-03,NY,36121,10.5,10.5,5.8,0.0,10.5,10.5
2021-01-10,NY,36121,12.6,12.6,6.0,0.0,12.6,12.6
2021-01-17,NY,36121,17.3,17.3,5.4,0.0,17.3,17.3
2021-01-24,NY,36121,8.4,8.4,4.0,0.0,8.4,8.4
2021-01-31,NY,36121,5.0,5.0,0,0.0,5.0,5.0
2021-02-07,NY,36121,0,0,0,0.0,0,0.0
2021-02-14,NY,36121,0,0,0,0.0,0,0.0
2021-02-21,NY,36121,0,0,4.4,0.0,0,0.0
2021-02-28,NY,36121,0,0,4.1,0.0,0,0.0
2021-03-07,NY,36121,0,0,0,0.0,0,0.0
2021-03-14,NY,36121,0,0,5.1,0.0,0,0.0
2021-03-21,NY,36121,0,0,5.9,0.0,0,0.0
2021-03-28,NY,36121,0,0,5.0,0.0,0,0.0
2021-04-04,NY,36121,4.7,4.7,4.3,0.0,4.7,4.7
2021-04-11,NY,36121,0,0,0,0.0,0,0.0
2021-04-18,NY,36121,0,0,0,0.0,0,0.0
2021-04-25,NY,36121,0,0,0,0.0,0,0.0
2021-05-02,NY,36121,0,0,4.0,0.0,0,0.0
2021-05-09,NY,36121,0,0,0,0.0,0,0.0
2021-05-16,NY,36121,0,0,4.0,0.0,0,0.0
2021-05-23,NY,36121,0,0,0,0.0,0,0.0
2021-05-30,NY,36121,0.0,0.0,0,0.0,0.0,0.0
2021-06-06,NY,36121,0,0,0,0.0,0,0.0
2021-06-13,NY,36121,0.0,0.0,4.7,0.0,0.0,0.0
2021-06-20,NY,36121,0,0,5.0,0.0,0,0.0
2021-06-27,NY,36121,0.0,0.0,4.7,0.0,0.0,0.0
2021-07-04,NY,36121,0,0,4.9,0.0,0,0.0
2021-07-11,NY,36121,0.0,0.0,0,0.0,0.0,0.0
2021-07-18,NY,36121,0,0,4.1,0.0,0,0.0
2021-07-25,NY,36121,0.0,0.0,4.1,0.0,0.0,0.0
2021-08-01,NY,36121,0,0,6.3,0.0,0,0.0
2021-08-08,NY,36121,0,0,5.1,0.0,0,0.0
2021-08-15,NY,36121,0,0,4.7,0.0,0,0.0
2021-08-22,NY,36121,0,0,6.9,0.0,0,0.0
2021-08-29,NY,36121,0,0,5.7,0.0,0,0.0
2021-09-05,NY,36121,0,0,4.3,0.0,0,0.0
2021-09-12,NY,36121,4.4,4.4,4.1,0.0,4.4,4.4
2021-09-19,NY,36121,0,0,4.9,0.0,0,0.0
2021-09-26,NY,36121,0,0,4.4,0.0,0,0.0
2021-10-03,NY,36121,6.4,6.4,5.7,0.0,6.4,6.4
2021-10-10,NY,36121,5.1,5.1,5.7,0.0,5.1,5.1
2021-10-17,NY,36121,0,0,5.3,0.0,0,0.0
2021-10-24,NY,36121,8.0,8.0,6.4,0.0,8.0,8.0
2021-10-31,NY,36121,7.3,7.3,5.3,0.0,7.3,7.3
2021-11-07,NY,36121,8.7,8.7,6.9,0.0,8.7,8.7
2021-11-14,NY,36121,12.4,12.4,6.9,0.0,12.4,12.4
2021-11-21,NY,36121,15.6,15.6,6.7,0.0,15.6,15.6
2021-11-28,NY,36121,19.3,19.3,7.4,0.0,19.3,19.3
2021-12-05,NY,36121,16.4,16.4,8.3,0.0,16.4,16.4
2021-12-12,NY,36121,12.3,12.3,4.3,0.0,12.3,12.3
2021-12-19,NY,36121,5.3,5.3,0,0.0,5.3,5.3
2021-12-26,NY,36121,0,0,8.1,0.0,0,0.0
