collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OH,39003,34.7,16.6,19.4,0.0,34.7,34.7
2020-08-09,OH,39003,30.6,14.4,17.7,0.0,30.6,30.6
2020-08-16,OH,39003,32.3,18.700000000000003,33.5,0.0,32.3,32.3
2020-08-23,OH,39003,36.7,20.5,35.599999999999994,0.0,36.7,36.7
2020-08-30,OH,39003,43.599999999999994,24.2,36.3,0.0,43.599999999999994,43.599999999999994
2020-09-06,OH,39003,46.800000000000004,26.5,33.2,0.0,46.800000000000004,46.800000000000004
2020-09-13,OH,39003,34.4,19.0,31.6,0.0,34.4,34.4
2020-09-20,OH,39003,32.4,15.6,29.6,0.0,32.7,32.4
2020-09-27,OH,39003,44.6,21.7,33.3,0.0,44.7,44.6
2020-10-04,OH,39003,69.0,36.6,33.4,0.0,69.0,69.0
2020-10-11,OH,39003,87.3,48.099999999999994,45.4,0.0,87.60000000000001,87.3
2020-10-18,OH,39003,93.39999999999999,64.8,46.099999999999994,0.0,93.39999999999999,93.39999999999999
2020-10-25,OH,39003,68.89999999999999,68.6,41.9,0.0,69.3,68.89999999999999
2020-11-01,OH,39003,82.7,82.4,44.0,0.0,82.7,82.7
2020-11-08,OH,39003,98.9,98.6,49.0,0.0,98.9,98.9
2020-11-15,OH,39003,114.7,114.4,46.0,0.0,115.10000000000001,114.7
2020-11-22,OH,39003,116.30000000000001,116.30000000000001,45.1,0.0,116.5,116.30000000000001
2020-11-29,OH,39003,108.0,107.0,44.6,0.0,108.19999999999999,108.0
2020-12-06,OH,39003,89.0,88.69999999999999,37.8,0.0,89.0,89.0
2020-12-13,OH,39003,96.9,96.0,50.8,0.0,97.5,96.9
2020-12-20,OH,39003,101.0,100.0,45.400000000000006,0.0,101.6,101.0
2020-12-27,OH,39003,100.30000000000001,99.30000000000001,36.7,0.0,100.30000000000001,100.30000000000001
2021-01-03,OH,39003,94.19999999999999,93.69999999999999,40.3,0.0,94.69999999999999,94.19999999999999
2021-01-10,OH,39003,86.10000000000001,86.0,32.6,0.0,86.8,86.10000000000001
2021-01-17,OH,39003,83.30000000000001,82.80000000000001,39.5,0.0,85.1,83.30000000000001
2021-01-24,OH,39003,78.0,77.19999999999999,39.3,0.0,79.0,78.0
2021-01-31,OH,39003,63.7,63.7,34.5,0.0,64.0,63.7
2021-02-07,OH,39003,33.4,33.0,40.1,0.0,33.4,33.4
2021-02-14,OH,39003,23.0,22.8,34.599999999999994,0.0,23.099999999999998,23.0
2021-02-21,OH,39003,14.9,14.9,36.599999999999994,0.0,15.4,14.9
2021-02-28,OH,39003,14.6,14.3,28.5,0.0,14.7,14.6
2021-03-07,OH,39003,11.3,10.6,28.5,0.0,11.7,11.3
2021-03-14,OH,39003,8.3,7.9,31.400000000000002,0.0,8.7,8.3
2021-03-21,OH,39003,9.1,9.0,33.0,0.0,9.1,9.1
2021-03-28,OH,39003,9.4,8.7,26.1,0.0,9.6,9.4
2021-04-04,OH,39003,8.4,8.4,33.7,0.0,8.7,8.4
2021-04-11,OH,39003,20.2,20.0,28.3,0.0,20.5,20.2
2021-04-18,OH,39003,16.3,16.3,40.3,0.0,16.3,16.3
2021-04-25,OH,39003,19.7,19.6,37.3,0.0,19.7,19.7
2021-05-02,OH,39003,13.0,12.7,37.3,0.0,13.0,13.0
2021-05-09,OH,39003,12.4,12.0,37.7,0.0,17.0,12.4
