collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OH,39007,0.0,0.0,4.7,0.0,0.0,0.0
2020-08-09,OH,39007,0.0,0.0,4.9,0.0,0.0,0.0
2020-08-16,OH,39007,0.0,0.0,5.0,0.0,0.0,0.0
2020-08-23,OH,39007,0.0,0.0,4.9,0.0,0.0,0.0
2020-08-30,OH,39007,0.0,0.0,4.9,0.0,0.0,0.0
2020-09-06,OH,39007,0.0,0.0,6.6,0.0,0.0,0.0
2020-09-13,OH,39007,0.0,0.0,4.3,0.0,0.0,0.0
2020-09-20,OH,39007,0.0,0.0,6.1,0.0,0.0,0.0
2020-09-27,OH,39007,0.0,0.0,4.7,0.0,0.0,0.0
2020-10-04,OH,39007,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,OH,39007,0.0,0.0,0,0.0,0.0,0.0
2020-10-18,OH,39007,0,0,0,0.0,0,0.0
2020-10-25,OH,39007,0,0,5.9,0.0,0,0.0
2020-11-01,OH,39007,4.1,4.1,9.1,0.0,4.3,4.1
2020-11-08,OH,39007,20.9,20.1,9.7,0.0,21.3,20.9
2020-11-15,OH,39007,25.799999999999997,23.4,10.7,0.0,25.799999999999997,25.799999999999997
2020-11-22,OH,39007,26.6,23.0,11.1,0.0,26.6,26.6
2020-11-29,OH,39007,34.8,32.8,15.799999999999999,0.0,34.8,34.8
2020-12-06,OH,39007,34.2,32.6,11.2,0.0,34.2,34.2
2020-12-13,OH,39007,32.7,31.3,8.1,0.0,32.7,32.7
2020-12-20,OH,39007,30.700000000000003,25.799999999999997,9.1,0.0,30.700000000000003,30.700000000000003
2020-12-27,OH,39007,31.5,30.3,6.9,0.0,31.5,31.5
2021-01-03,OH,39007,26.9,21.4,10.1,0.0,26.9,26.9
2021-01-10,OH,39007,19.3,14.4,8.3,0.0,19.3,19.3
2021-01-17,OH,39007,14.0,13.6,7.9,0.0,14.0,14.0
2021-01-24,OH,39007,4.1,0,0.0,0.0,4.1,4.1
