collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,OH,39017,50.6,19.7,58.3,0.0,50.6,50.6
2020-08-09,OH,39017,52.400000000000006,15.8,52.699999999999996,0.0,52.400000000000006,52.400000000000006
2020-08-16,OH,39017,61.9,24.700000000000003,62.9,0.0,62.1,61.9
2020-08-23,OH,39017,71.5,24.9,63.4,0.0,71.5,71.5
2020-08-30,OH,39017,58.2,22.1,66.3,0.0,58.2,58.2
2020-09-06,OH,39017,68.3,26.799999999999997,70.1,0.0,68.3,68.3
2020-09-13,OH,39017,63.1,25.1,76.6,0.0,63.1,63.1
2020-09-20,OH,39017,65.80000000000001,27.8,76.1,0.0,65.80000000000001,65.80000000000001
2020-09-27,OH,39017,66.9,27.500000000000004,70.0,0.0,66.9,66.9
2020-10-04,OH,39017,61.300000000000004,25.700000000000003,72.0,0.0,63.099999999999994,61.300000000000004
2020-10-11,OH,39017,55.900000000000006,26.700000000000003,70.30000000000001,0.0,57.0,55.900000000000006
2020-10-18,OH,39017,73.1,38.3,75.4,0.0,73.1,73.1
2020-10-25,OH,39017,70.0,45.599999999999994,74.0,0.0,70.0,70.0
2020-11-01,OH,39017,94.4,69.2,75.69999999999999,0.0,94.4,94.4
2020-11-08,OH,39017,114.2,91.69999999999999,75.5,0.0,114.2,114.2
2020-11-15,OH,39017,141.8,112.10000000000001,74.6,0.0,142.5,141.8
2020-11-22,OH,39017,156.10000000000002,116.60000000000001,76.0,0.0,156.3,156.10000000000002
2020-11-29,OH,39017,198.10000000000002,164.89999999999998,85.6,0.0,198.10000000000002,198.10000000000002
2020-12-06,OH,39017,181.4,144.9,81.5,0.0,181.4,181.4
2020-12-13,OH,39017,186.0,155.89999999999998,78.0,0.0,186.0,186.0
2020-12-20,OH,39017,170.60000000000002,143.39999999999998,76.5,0.0,170.60000000000002,170.60000000000002
2020-12-27,OH,39017,184.8,151.3,82.80000000000001,0.0,185.0,184.8
2021-01-03,OH,39017,173.39999999999998,143.7,87.5,0.0,173.39999999999998,173.39999999999998
2021-01-10,OH,39017,161.39999999999998,130.4,86.0,0.0,161.39999999999998,161.39999999999998
2021-01-17,OH,39017,162.0,132.8,83.2,0.0,162.3,162.0
2021-01-24,OH,39017,133.2,105.9,79.9,0.0,133.2,133.2
2021-01-31,OH,39017,127.5,102.5,80.5,0.0,127.5,127.5
2021-02-07,OH,39017,103.5,77.9,69.5,0.0,103.5,103.5
2021-02-14,OH,39017,85.69999999999999,63.9,81.0,0.0,85.69999999999999,85.69999999999999
2021-02-21,OH,39017,70.5,45.599999999999994,72.0,0.0,70.5,70.5
2021-02-28,OH,39017,45.1,23.4,74.4,0.0,45.1,45.1
2021-03-07,OH,39017,51.8,23.5,76.4,0.0,51.8,51.8
2021-03-14,OH,39017,55.50000000000001,29.200000000000003,76.4,0.0,56.00000000000001,55.50000000000001
2021-03-21,OH,39017,44.900000000000006,24.900000000000002,66.80000000000001,0.0,44.900000000000006,44.900000000000006
2021-03-28,OH,39017,51.6,30.1,72.30000000000001,0.0,51.6,51.6
2021-04-04,OH,39017,48.0,24.9,72.0,0.0,48.0,48.0
2021-04-11,OH,39017,56.9,28.6,70.69999999999999,0.0,57.0,56.9
2021-04-18,OH,39017,50.6,28.400000000000002,74.6,0.0,50.6,50.6
2021-04-25,OH,39017,37.2,18.2,73.1,0.0,37.3,37.2
2021-05-02,OH,39017,36.6,15.0,69.3,0.0,36.6,36.6
2021-05-09,OH,39017,39.0,17.8,77.1,0.0,39.0,39.0
2021-05-16,OH,39017,33.800000000000004,11.8,70.6,0.0,33.800000000000004,33.800000000000004
2021-05-23,OH,39017,42.3,15.0,77.0,0.0,42.3,42.3
2021-05-30,OH,39017,30.9,6.6,73.1,0.0,30.9,30.9
2021-06-06,OH,39017,23.4,4.1,64.4,0.0,23.4,23.4
2021-06-13,OH,39017,26.4,0,71.6,0.0,26.4,26.4
2021-06-20,OH,39017,34.3,5.0,68.30000000000001,0.0,34.3,34.3
2021-06-27,OH,39017,28.1,4.1,69.5,0.0,28.1,28.1
2021-07-04,OH,39017,27.4,0,66.19999999999999,0.0,27.4,27.4
2021-07-11,OH,39017,26.7,0,73.69999999999999,0.0,26.7,26.7
2021-07-18,OH,39017,30.6,6.4,63.300000000000004,0.0,30.6,30.6
2021-07-25,OH,39017,32.8,13.7,65.7,0.0,32.8,32.8
2021-08-01,OH,39017,48.199999999999996,22.299999999999997,79.5,0.0,48.199999999999996,48.199999999999996
2021-08-08,OH,39017,55.3,32.5,73.2,0.0,57.0,55.3
2021-08-15,OH,39017,78.7,53.5,75.7,0.0,78.7,78.7
2021-08-22,OH,39017,93.5,65.8,76.8,0.0,93.6,93.5
2021-08-29,OH,39017,113.49999999999999,86.19999999999999,82.0,0.0,113.49999999999999,113.49999999999999
2021-09-05,OH,39017,129.7,104.80000000000001,85.7,0.0,129.8,129.7
2021-09-12,OH,39017,131.0,106.0,86.8,0.0,131.0,131.0
2021-09-19,OH,39017,143.0,118.0,82.2,0.0,143.0,143.0
2021-09-26,OH,39017,133.8,104.2,83.4,0.0,133.8,133.8
2021-10-03,OH,39017,119.8,97.4,90.4,0.0,119.8,119.8
2021-10-10,OH,39017,118.9,90.4,86.5,0.0,119.19999999999999,118.9
2021-10-17,OH,39017,105.19999999999999,78.30000000000001,81.60000000000001,0.0,105.19999999999999,105.19999999999999
2021-10-24,OH,39017,88.4,65.8,84.4,0.0,88.4,88.4
2021-10-31,OH,39017,76.6,53.3,78.80000000000001,0.0,76.6,76.6
2021-11-07,OH,39017,67.4,48.8,79.30000000000001,0.0,67.4,67.4
2021-11-14,OH,39017,72.2,57.699999999999996,80.4,0.0,72.2,72.2
2021-11-21,OH,39017,88.0,70.7,84.80000000000001,0.0,88.0,88.0
2021-11-28,OH,39017,111.10000000000001,93.4,83.0,0.0,111.10000000000001,111.10000000000001
2021-12-05,OH,39017,133.9,115.7,87.7,0.0,133.9,133.9
2021-12-12,OH,39017,149.10000000000002,127.5,90.1,0.0,149.4,149.10000000000002
2021-12-19,OH,39017,143.5,126.30000000000001,92.1,0.0,143.7,143.5
2021-12-26,OH,39017,144.8,128.1,89.7,0.0,144.8,144.8
